key	es-ES
K45::XTM.vuio[weIntegrationBlinds.pasteFromClipboard]	Borrar todo y pegar desde el portapapeles
K45::XTM.vuio[weIntegrationBlinds.prefixShort]	Prefijo
K45::XTM.vuio[weIntegrationBlinds.removeStep]	Eliminar
K45::XTM.vuio[weIntegrationBlinds.sampleFormat]	Muestra estática: "{sampleValue}" ({sampleType}) - Total de fotogramas clave: {keyframeCount}
K45::XTM.vuio[weIntegrationBlinds.saveStep]	Guardar paso
K45::XTM.vuio[weIntegrationBlinds.staticKeyframeIdx]	Fotograma clave para usar como persiana estática
K45::XTM.vuio[weIntegrationBlinds.suffixShort]	Sufijo
K45::XTM.vuio[weIntegrationBlinds.theEndOfLine]	<Fin de la línea>
K45::XTM.vuio[weIntegrationBlinds.title]	Escribe en todas partes - Estores personalizados
K45::XTM.vuio[weIntegrationBlinds.useUntilStop]	Usar hasta el tope
K45::XTM.vuio[weIntegrationBlinds.deleteStep]	Eliminar paso
K45::XTM.vuio[weIntegrationBlinds.moveDown]	Bajar
K45::XTM.vuio[weIntegrationBlinds.moveUp]	Subir
K45::XTM.vuio[weIntegrationBlinds.resetDefaults]	Restablecer los valores predeterminados
K45::XTM.vuio[weIntegrationBlinds.useUntil]	Usar hasta: {stationName}
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityName]	Parada de destino del paso
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityNameOrDistrict]	Parada de destino o distrito o Carretera
K45::XTM.vuio[weIntegrationBlinds.keyframeType.FixedString]	Texto estático
K45::XTM.vuio[weIntegrationBlinds.keyframeType.NextStopSimple]	Próxima parada
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteName]	Nombre de la ruta
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteNumber]	Número de ruta
K45::XTM.vuio[lineStationDetail.waiting.cargo]	Carga almacenada en espera: {quantity}
K45::XTM.vuio[lineStationDetail.waiting.passengers]	Pasajeros en espera: {quantity}
::TUI	interfaz de usuario
::GLineListing	Listado de líneas
::LUseXtmLineListingDefault	Utilice el listado de líneas XTM de forma predeterminada
::DUseXtmLineListingDefault	Cuando está habilitado, la descripción general del transporte se abre con la lista de tarjetas XTM. Cuando está deshabilitado, se abre con la tabla básica. El alternador del encabezado aún cambia los estilos para la sesión actual.
K45::XTM.vuio[lineList.toggleXtmListing]	Listado de líneas XTM alternativas
K45::XTM.vuio[lineList.showAll]	Mostrar todo
K45::XTM.vuio[lineList.hideAll]	Ocultar todo
K45::XTM.vuio[lineList.passengerLines]	Líneas de pasajeros
K45::XTM.vuio[lineList.cargoRoutes]	Rutas de carga
K45::XTM.vuio[lineList.linesCurrentFilterFormat]	{LINECOUNT} líneas
K45::XTM.vuio[lineList.title]	Pauta
K45::XTM.vuio[lineList.filterDisabled]	Desactivado
K45::XTM.vuio[lineList.filterDayNight]	Día y noche
K45::XTM.vuio[lineList.filterDay]	solo dia
K45::XTM.vuio[lineList.filterNight]	Sólo noche
K45::XTM.vuio[lineList.lineDisabled]	Línea deshabilitada
K45::XTM.vuio[lineList.sort.title]	ordenar líneas
K45::XTM.vuio[lineList.sort.routeNumber]	Número de línea
K45::XTM.vuio[lineList.sort.acronym]	Acrónimo de línea
K45::XTM.vuio[lineList.sort.length]	Longitud de línea
K45::XTM.vuio[lineList.sort.usage]	Uso de línea (%)
K45::XTM.vuio[lineList.sort.cargo]	Pasajeros/Carga por mes
K45::XTM.vuio[lineList.sort.schedule]	Estado de programación
K45::XTM.vuio[lineList.openDetails]	Detalles
K45::XTM.vuio[lineList.editColor]	Cambiar color de línea
K45::XTM.vuio[lineList.restorePalette]	Restaurar el color de la paleta
K45::XTM.vuio[lineList.editIdentity]	Editar acrónimo/número de línea
K45::XTM.vuio[lineList.edit.acronym]	Acrónimo de línea
K45::XTM.vuio[lineList.edit.internalNumber]	Número de línea interna
K45::XTM.vuio[lineList.noMatchingLines]	No hay líneas coincidentes
K45::XTM.vuio[lineList.noLinesInCity]	No hay colas en la ciudad.
K45::XTM.vuio[lineStationDetail.crowdness]	{waiting} / {capacity} ({percent})
K45::XTM.vuio[lineViewer.showPlatformCrowdnessLbl]	Mostrar afluencia de plataformas
K45::XTM.vuio[lineViewer.occupancyTooltip]	Ocupación media de vehículos entre {startHour} y {endHour}.
K45::XTM.vuio[lineViewer.occupancyHeadingTo]	Vehículos con destino: {to}
K45::XTM.vuio[lineViewer.occupancyDayAverage]	Ocupación promedio por día: {value}
K45::XTM.vuio[lineViewer.segmentOccupancyDisplayed]	Ocupación del segmento mostrada: {mode}
K45::XTM.vuio[lineViewer.segmentOccupancyMenuTitle]	Ocupación del segmento
K45::XTM.vuio[lineViewer.segmentOccupancyMode.none]	Ninguno
K45::XTM.vuio[lineViewer.segmentOccupancyMode.currentHour]	Hora actual
K45::XTM.vuio[lineViewer.segmentOccupancyMode.dayAverage]	Promedio diario
K45::XTM.vuio[lineViewer.occupancyDayAverageTooltip]	Ocupación media de vehículos a lo largo del día.
K45::XTM.vuio[lineViewer.lineHistoricalOccupancy]	Ocupación histórica
K45::XTM.vuio[occupancyReport.changeMode]	Cambiar modo
K45::XTM.vuio[occupancyReport.mode.listing]	Listado de líneas
K45::XTM.vuio[occupancyReport.mode.occupancyPassengers]	Informe de ocupación: Pasajeros
K45::XTM.vuio[occupancyReport.mode.occupancyCargo]	Informe de ocupación: carga
K45::XTM.vuio[occupancyReport.refreshData]	Actualizar datos
K45::XTM.vuio[occupancyReport.dataAsOf]	Datos al {datetime}
K45::XTM.vuio[occupancyReport.topLinesTitle]	Líneas principales por ocupación del percentil 30
K45::XTM.vuio[occupancyReport.topSegmentsTitle]	Principales segmentos por ocupación
K45::XTM.vuio[occupancyReport.columnOverall]	En general
K45::XTM.vuio[occupancyReport.noData]	Sin datos
K45::XTM.vuio[occupancyReport.loading]	Cargando…
K45::XTM.vuio[occupancyReport.backToOverview]	Volver a la descripción general
K45::XTM.vuio[fareGroups.mode]	Grupos de tarifas
K45::XTM.vuio[fareGroups.screenTitle]	Grupos de tarifas
K45::XTM.vuio[fareGroups.groupCount]	{count} grupos
K45::XTM.vuio[fareGroups.listTitle]	Grupos
K45::XTM.vuio[fareGroups.addGroup]	Agregar grupo de tarifas
K45::XTM.vuio[fareGroups.loading]	Cargando…
K45::XTM.vuio[fareGroups.emptyList]	Aún no hay grupos de tarifas
K45::XTM.vuio[fareGroups.selectGroup]	Seleccione un grupo de tarifas
K45::XTM.vuio[fareGroups.unnamed]	Grupo sin nombre
K45::XTM.vuio[fareGroups.fareFree]	Gratis
K45::XTM.vuio[fareGroups.lineCount]	{count} líneas
K45::XTM.vuio[fareGroups.delete.tooltip]	Eliminar grupo de tarifas
K45::XTM.vuio[fareGroups.delete.title]	Eliminar grupo de tarifas
K45::XTM.vuio[fareGroups.delete.message]	¿Está seguro de que desea eliminar el grupo de tarifas "{name}"?
K45::XTM.vuio[fareGroups.field.name]	Nombre
K45::XTM.vuio[fareGroups.field.defaultFare]	Tarifa predeterminada
K45::XTM.vuio[fareGroups.exceptions.title]	Excepciones horarias
K45::XTM.vuio[fareGroups.exceptions.empty]	Sin excepciones
K45::XTM.vuio[fareGroups.exceptions.startHour]	Comenzar
K45::XTM.vuio[fareGroups.exceptions.endHour]	Fin
K45::XTM.vuio[fareGroups.exceptions.fare]	Tarifa
K45::XTM.vuio[fareGroups.exceptions.remove]	Eliminar excepción
K45::XTM.vuio[fareGroups.exceptions.add]	Agregar excepción
K45::XTM.vuio[fareGroups.exceptions.errorMax]	Máximo de {count} excepciones
K45::XTM.vuio[fareGroups.exceptions.errorOverlap]	Las horas de excepción no deben superponerse
K45::XTM.vuio[fareGroups.exceptions.errorInvalid]	Rango de horas no válido
K45::XTM.vuio[fareGroups.exceptions.saveBlocked]	Corregir horas de excepción antes de que se puedan guardar los cambios.
K45::XTM.vuio[fareGroups.linkedLines]	Líneas en este grupo
K45::XTM.vuio[fareGroups.linkedEmpty]	No hay líneas enlazadas
K45::XTM.vuio[fareGroups.availableLines]	Líneas disponibles para vincular a este grupo
K45::XTM.vuio[fareGroups.availableEmpty]	No hay líneas coincidentes
K45::XTM.vuio[fareGroups.removeLine]	Eliminar línea del grupo
K45::XTM.vuio[fareGroups.addLine]	Agregar línea al grupo
K45::XTM.vuio[fareGroups.otherGroup.unknown]	otro grupo
K45::XTM.vuio[fareGroups.otherGroup.warning]	Pertenece a {group}. Agregarlo aquí lo eliminará de ese grupo.
K45::XTM.vuio[fareGroups.exceptions.summary]	La tarifa {fare}¢ se aplicará desde {start}:00 hasta {end}:59
K45::XTM.vuio[fareGroups.exceptions.summaryFree]	Los viajes gratuitos se aplicarán desde {start}:00 hasta {end}:59
K45::XTM.vuio[fareGroups.filterAssigned]	Líneas ya asignadas a un grupo
K45::XTM.vuio[fareGroups.addAllFiltered]	Agregar todas las líneas filtradas a este grupo
K45::XTM.vuio[fareGroups.removeAllLines]	Eliminar todas las líneas de este grupo
K45::XTM.vuio[fareGroups.ticketPrice.managedBy]	Esta línea pertenece al grupo tarifario {name}. Tarifa actual: <{fare}>.\nCambiar esta tarifa afectará a <{count}> líneas.
K45::XTM.vuio[fareGroups.ticketPrice.editGroup]	Editar grupo de tarifas
K45::XTM.vuio[fareGroups.ticketPrice.andOthers]	... y {count} otros
K45::XTM.vuio[vehicleModelGroups.unnamed]	Grupo de modelos de vehículos sin nombre
K45::XTM.vuio[vehicleModelGroups.sort.title]	Clasificar vehículos
K45::XTM.vuio[vehicleModelGroups.sort.name]	Nombre
K45::XTM.vuio[vehicleModelGroups.sort.capacity]	Capacidad
K45::XTM.vuio[vehicleModelGroups.sort.length]	longitud total
K45::XTM.vuio[vehicleModelGroups.mode]	Grupos de modelos de vehículos
K45::XTM.vuio[vehicleModelGroups.screenTitle]	Grupos de modelos de vehículos
K45::XTM.vuio[vehicleModelGroups.groupCount]	{count} grupos
K45::XTM.vuio[vehicleModelGroups.listTitle]	Grupos
K45::XTM.vuio[vehicleModelGroups.addGroup]	Agregar grupo de modelos de vehículos
K45::XTM.vuio[vehicleModelGroups.loading]	Cargando…
K45::XTM.vuio[vehicleModelGroups.typeMenu.empty]	Ningún tipo de transporte
K45::XTM.vuio[vehicleModelGroups.typeMenuTitle]	Seleccione el tipo de transporte a editar
K45::XTM.vuio[vehicleModelGroups.emptyList]	Aún no hay grupos de modelos de vehículos para este tipo
K45::XTM.vuio[vehicleModelGroups.selectGroup]	Seleccione un grupo de modelo de vehículo
K45::XTM.vuio[vehicleModelGroups.modelCount]	{count} modelos
K45::XTM.vuio[vehicleModelGroups.lineCount]	{count} líneas
K45::XTM.vuio[vehicleModelGroups.delete.tooltip]	Eliminar grupo de modelos de vehículos
K45::XTM.vuio[vehicleModelGroups.delete.title]	Eliminar grupo de modelos de vehículos
K45::XTM.vuio[vehicleModelGroups.delete.message]	¿Está seguro de que desea eliminar el grupo de modelos de vehículos "{name}"?
K45::XTM.vuio[vehicleModelGroups.field.name]	Nombre
K45::XTM.vuio[vehicleModelGroups.modelsRequired]	Agregue al menos una composición con un vehículo antes de poder guardar los cambios.
K45::XTM.vuio[vehicleModelGroups.compositions]	Composiciones
K45::XTM.vuio[vehicleModelGroups.compositionsEmpty]	Aún no hay composiciones: agregue una para elegir vehículos
K45::XTM.vuio[vehicleModelGroups.addComposition]	Agregar composición
K45::XTM.vuio[vehicleModelGroups.removeComposition]	Quitar composición
K45::XTM.vuio[vehicleModelGroups.pickVehicle]	Escoger vehículo
K45::XTM.vuio[vehicleModelGroups.pickPrimary]	Seleccionar motor/primario
K45::XTM.vuio[vehicleModelGroups.pickCarriage]	Recoger carro
K45::XTM.vuio[vehicleModelGroups.linkedLines]	Líneas en este grupo
K45::XTM.vuio[vehicleModelGroups.linkedEmpty]	No hay líneas enlazadas
K45::XTM.vuio[vehicleModelGroups.availableLines]	Líneas disponibles para vincular a este grupo
K45::XTM.vuio[vehicleModelGroups.availableEmpty]	No hay líneas coincidentes
K45::XTM.vuio[vehicleModelGroups.filterAssigned]	Líneas ya asignadas a un grupo
K45::XTM.vuio[vehicleModelGroups.addAllFiltered]	Agregar todas las líneas filtradas a este grupo
K45::XTM.vuio[vehicleModelGroups.addLine]	Agregar línea al grupo
K45::XTM.vuio[vehicleModelGroups.removeLine]	Eliminar línea del grupo
K45::XTM.vuio[vehicleModelGroups.removeAllLines]	Eliminar todas las líneas de este grupo
K45::XTM.vuio[vehicleModelGroups.otherGroup.unknown]	otro grupo
K45::XTM.vuio[vehicleModelGroups.otherGroup.warning]	Pertenece a {group}. Agregarlo aquí lo eliminará de ese grupo.
K45::XTM.vuio[vehicleModelGroups.carriage]	Carro
K45::XTM.vuio[vehicleModelGroups.stat.cap]	TAPA
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltip]	Capacidad de pasajeros
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltipCargo]	Capacidad de carga
K45::XTM.vuio[vehicleModelGroups.stat.units]	UNIDADES
K45::XTM.vuio[vehicleModelGroups.stat.units.tooltip]	Recuento de unidades de composición
K45::XTM.vuio[vehicleModelGroups.stat.len.unit]	ULÉN
K45::XTM.vuio[vehicleModelGroups.stat.len.unit.tooltip]	Longitud de un solo vehículo
K45::XTM.vuio[vehicleModelGroups.stat.len.tooltip]	Longitud total del vehículo
K45::XTM.vuio[vehicleModelGroups.stat.len.paired.tooltip]	Longitud total de la composición:\nunidades × (motor + vagones × (coches − 1))
K45::XTM.vuio[vehicleModelGroups.stat.unit.pax]	paz
K45::XTM.vuio[vehicleModelGroups.stat.unit.weight]	kilos
K45::XTM.vuio[vehicleModelGroups.stat.unit.cars]	carros
K45::XTM.vuio[vehicleModelGroups.stat.unit.meters]	metro
K45::XTM.vuio[vehicleModelGroups.selectVehicles.managedBy]	Esta línea pertenece al grupo de modelos de vehículos <{name}>.\nCambiar estos modelos afectará a las líneas <{count}>.
K45::XTM.vuio[vehicleModelGroups.selectVehicles.editGroup]	Editar grupo de modelos de vehículos
K45::XTM.vuio[vehicleModelGroups.selectVehicles.removeFromGroup]	Quitar del grupo
K45::XTM.vuio[vehicleModelGroups.selectVehicles.moveToGroup]	Pasar a otro grupo
K45::XTM.vuio[vehicleModelGroups.selectVehicles.andOthers]	... y {count} otros
K45::XTM.vuio[fareGroups.ticketPrice.removeFromGroup]	Quitar del grupo
K45::XTM.vuio[fareGroups.ticketPrice.moveToGroup]	Pasar a otro grupo
K45::XTM.vuio[fareGroups.fareTable.title]	Horario de tarifas
K45::XTM.vuio[fareGroups.fareTable.default]	Por defecto
K45::XTM.vuio[fareGroups.fareTable.hours]	{start}:00 - {end}:59
K45::XTM.vuio[managedGroups.sip.menuTooltip]	Opciones de grupos
K45::XTM.vuio[managedGroups.sip.noGroupsAvailable]	<No hay grupos disponibles>
K45::XTM.vuio[managedGroups.sip.assignFareTitle]	Asignar al grupo de tarifas
K45::XTM.vuio[managedGroups.sip.assignModelsTitle]	Asignar al grupo de modelos de vehículos
K45::XTM.vuio[managedGroups.sip.manageFareGroups]	Gestionar grupos de tarifas
K45::XTM.vuio[managedGroups.sip.manageModelGroups]	Administrar grupos de modelos de vehículos
K45::XTM.vuio[lineViewerEditor.internalNumber]	Número de ruta interna
K45::XTM.vuio[lineViewerEditor.internalNumber.tooltip]	Utilizado por paletas y nombres.
K45::XTM.vuio[lineViewerEditor.displayIdentifier]	Identificador de ruta
K45::XTM.vuio[lineViewerEditor.displayIdentifier.tooltip]	Anula el número de ruta cuando se generan el nombre y el escudo
K45::XTM.vuio[lineViewerEditor.ignorePalette]	Usar color fijo
K45::XTM.vuio[lineViewerEditor.ignorePalette.tooltip]	Ignorar la configuración de la paleta para esta línea
K45::XTM.vuio[lineList.editName]	Editar nombre de línea
K45::XTM.vuio[lineViewer.advancedData]	Estadísticas avanzadas
K45::XTM.vuio[palettes.section.passengers]	Pasajeros
K45::XTM.vuio[palettes.section.cargo]	Carga
K45::XTM.vuio[palettes.paletteCount]	{count} paletas
K45::XTM.vuio[paletteEditor.import.invalidFile]	No es un archivo de paleta válido
::LShowEditorPalettesButton	Botón Mostrar paletas en el Editor
::DShowEditorPalettesButton	Cuando está habilitado, se agrega un botón XTM a la barra de herramientas del Editor para abrir la biblioteca de paletas. Tiene efecto la próxima vez que se ingresa al modo Editor.
Editor.TOOL[k45__xtm_MainWindow]	XTM: Configuración de paleta
K45::XTM.vuio[paletteEditor.appendPalette]	Agregar paleta
K45::XTM.vuio[paletteEditor.append.title]	Agregar paleta
K45::XTM.vuio[paletteEditor.append.prompt]	Seleccione un archivo .hex para adjuntar. Sus colores se agregarán al final de la paleta actual.
K45::XTM.vuio[paletteEditor.copyPalette]	Copiar paleta
K45::XTM.vuio[paletteEditor.pasteReplacePalette]	Pegar paleta (reemplazar)
K45::XTM.vuio[paletteEditor.pasteAppendPalette]	Pegar paleta (añadir)
K45::XTM.vuio[paletteEditor.resetChanges]	Restablecer cambios
K45::XTM.vuio[paletteEditor.clipboard.invalid]	El portapapeles no contiene una paleta .hex válida
K45::XTM.vuio[paletteEditor.clipboard.copyFailed]	No se pudo copiar al portapapeles
K45::XTM.vuio[paletteEditor.clipboard.pasteFailed]	No se pudo leer el portapapeles
K45::XTM.vuio[paletteEditor.clipboard.copied]	Paleta copiada
K45::XTM.vuio[paletteEditor.reset.title]	Restablecer cambios
K45::XTM.vuio[paletteEditor.reset.message]	¿Descartar los cambios no guardados en esta paleta? Esto no se puede deshacer.
K45::XTM.vuio[glossary.toggleXtm]	Glosario XTM
K45::XTM.vuio[glossary.title]	Enciclopedia XTM
K45::XTM.vuio[glossary.tab.overview]	Descripción general de XTM
K45::XTM.vuio[glossary.index.title]	Gerente de Transporte Extendido
K45::XTM.vuio[glossary.index.intro]	XTM amplía el transporte público de Cities: Skylines II con una gestión de líneas más completa, información sobre ocupación, grupos de tarifas, grupos de modelos de vehículos y paletas. Este glosario documentará esas herramientas; comience aquí para obtener una descripción general de lo que agrega el mod.
K45::XTM.vuio[glossary.index.sectionsHeading]	Próxima documentación
K45::XTM.vuio[glossary.index.bodyHeading]	Bienvenido
K45::XTM.vuio[glossary.index.body]	Utilice el botón XTM a la derecha de este panel para alternar entre la Enciclopedia del juego y la propia ayuda de XTM. Las secciones detalladas aparecerán en la lista de la izquierda a medida que se escriban.
K45::XTM.vuio[glossary.index.placeholderNote]	Las entradas de las secciones son marcadores de posición por ahora; el contenido aparecerá en una actualización posterior.
K45::XTM.vuio[glossary.index.placeholder.overview]	Descripción general de la modificación
K45::XTM.vuio[glossary.index.placeholder.lines]	Listado de líneas y descripción general
K45::XTM.vuio[glossary.index.placeholder.fares]	Tarifas y precios de billetes
K45::XTM.vuio[glossary.index.placeholder.vehicles]	Grupos de modelos de vehículos
K45::XTM.vuio[glossary.index.placeholder.palettes]	Paletas de colores de línea
K45::XTM.vuio[glossary.search.placeholder]	Buscar…
K45::XTM.vuio[glossary.packFilter]	Paquetes
K45::XTM.vuio[glossary.packFilter.all]	Todos los paquetes
K45::XTM.vuio[glossary.tableOfContents]	Tabla de contenido
K45::XTM.vuio[glossary.tab.all]	Todo
K45::XTM.vuio[glossary.tab.start]	Comience aquí
K45::XTM.vuio[glossary.tab.lines]	Líneas y Rutas
K45::XTM.vuio[glossary.tab.map]	Mapa y red
K45::XTM.vuio[glossary.tab.statistics]	Estadística
K45::XTM.vuio[glossary.tab.groups]	Tarifas y modelos de vehículos
K45::XTM.vuio[glossary.tab.appearance]	Paletas e integraciones
K45::XTM.vuio[glossary.category.start.overview]	Descripción general
K45::XTM.vuio[glossary.category.start.gettingAround]	Moverse
K45::XTM.vuio[glossary.category.start.settings]	Configuración y soporte
K45::XTM.vuio[glossary.category.lines.listing]	Listado y filtros
K45::XTM.vuio[glossary.category.lines.identity]	Identidad y apariencia
K45::XTM.vuio[glossary.category.lines.scheduling]	Programación y acciones
K45::XTM.vuio[glossary.category.lines.stopOrder]	detener orden
K45::XTM.vuio[glossary.category.map.linear]	Mapa lineal XTM
K45::XTM.vuio[glossary.category.map.stops]	Paradas y geografía
K45::XTM.vuio[glossary.category.map.interchanges]	Intercambios
K45::XTM.vuio[glossary.category.map.vehicles]	Vehículos
K45::XTM.vuio[glossary.category.map.advanced]	Datos de línea avanzados
K45::XTM.vuio[glossary.category.statistics.occupancy]	Ocupación y hacinamiento
K45::XTM.vuio[glossary.category.groups.fareBasics]	Grupos de tarifas
K45::XTM.vuio[glossary.category.groups.fareTime]	Tarifas basadas en el tiempo
K45::XTM.vuio[glossary.category.groups.fareMembership]	Membresía tarifaria
K45::XTM.vuio[glossary.category.groups.modelBasics]	Conceptos básicos del grupo modelo
K45::XTM.vuio[glossary.category.groups.compositions]	Composiciones
K45::XTM.vuio[glossary.category.groups.modelMembership]	Membresía modelo
K45::XTM.vuio[glossary.category.groups.incompatibilities]	Incompatibilidades
K45::XTM.vuio[glossary.category.appearance.library]	Biblioteca de paletas
K45::XTM.vuio[glossary.category.appearance.editing]	Edición de paleta
K45::XTM.vuio[glossary.category.appearance.autoColor]	Coloración automática
K45::XTM.vuio[glossary.category.appearance.we]	Escribe en todas partes
K45::XTM.vuio[glossary.section.start.overview.whatAdds]	Lo que XTM añade
K45::XTM.vuio[glossary.section.start.overview.mainScreens]	Pantallas principales y palanca XTM
K45::XTM.vuio[glossary.section.start.overview.linesVsCargo]	Líneas de pasajeros versus rutas de carga
K45::XTM.vuio[glossary.section.start.gettingAround.overview]	Descripción general del transporte
K45::XTM.vuio[glossary.section.start.gettingAround.sip]	Panel de información seleccionado
K45::XTM.vuio[glossary.section.start.gettingAround.linearMap]	mapa lineal
K45::XTM.vuio[glossary.section.start.gettingAround.editorPalettes]	Herramienta de paleta del editor
K45::XTM.vuio[glossary.section.start.settings.uiDefaults]	Valores predeterminados de la interfaz de usuario
K45::XTM.vuio[glossary.section.start.settings.logging]	Registro y diagnóstico
K45::XTM.vuio[glossary.section.start.settings.localization]	Localización
K45::XTM.vuio[glossary.section.start.settings.support]	Enlaces de soporte
K45::XTM.vuio[glossary.section.lines.listing.modes]	Modos de transporte
K45::XTM.vuio[glossary.section.lines.listing.passengerCargo]	Filtros de pasajeros y carga.
