key	fr-fr
K45::XTM.vuio[glossary.section.lines.identity.displayId]	Afficher l'identifiant
K45::XTM.vuio[glossary.index.placeholder.palettes]	Palettes de couleurs de lignes
K45::XTM.vuio[glossary.section.appearance.editing.colors]	Ajouter et réorganiser les couleurs
K45::XTM.vuio[fareGroups.field.name]	Nom
K45::XTM.vuio[fareGroups.ticketPrice.editGroup]	Modifier le groupe tarifaire
K45::XTM.vuio[glossary.section.groups.modelBasics.crud]	Créer, renommer, supprimer
K45::XTM.vuio[glossary.imagePreview.tooltip]	Cliquez pour voir l'image complète
K45::XTM.vuio[lineViewerEditor.lineFixedColor]	Couleur de ligne fixe
K45::XTM.vuio[lineViewer.occupancyTooltip]	Occupation moyenne des véhicules entre {startHour} et {endHour}.
K45::XTM.vuio[glossary.section.lines.listing.passengerCargo]	Filtres passagers et cargo
K45::XTM.vuio[lineList.sort.acronym]	Acronyme de la ligne
K45::XTM.vuio[loadBtn]	Charger
::GEditor	Éditeur
K45::XTM.vuio[glossary.section.map.interchanges.connected]	Lignes connectées
K45::XTM.vuio[vehicleModelGroups.sort.title]	Trier les véhicules
K45::XTM.vuio[glossary.section.groups.compositions.duplicates]	Prévention et limites des doublons
K45::XTM.vuio[paletteEditor.addNewPalette]	Ajouter une palette
K45::XTM.vuio[vehicleModelGroups.compositionsEmpty]	Aucune composition pour l'instant — ajoutez-en une pour choisir des véhicules
K45::XTM.vuio[glossary.section.start.settings.logging]	Journalisation et diagnostics
K45::XTM.vuio[lineViewer.dataLineFullLapAverageTime]	Durée prévue de l'aller-retour
K45::XTM.vuio[vehicleModelGroups.stat.units.tooltip]	Nombre d'unités de composition
K45::XTM.vuio[glossary.search.placeholder]	Rechercher…
K45::XTM.vuio[glossary.section.statistics.occupancy.howCalculated]	Comment l'occupation est calculée
::TUI	Interface utilisateur
K45::XTM.vuio[vehicleModelGroups.addLine]	Ajouter une ligne au groupe
K45::XTM.vuio[lineStationDetail.nextVehicleStopsRemaning]	{stops} arrêts
K45::XTM.vuio[vehicleModelGroups.emptyList]	Aucun groupe de modèles de véhicules pour ce type pour l'instant
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteNumber]	Numéro d'itinéraire
K45::XTM.vuio[glossary.category.appearance.library]	Bibliothèque de palettes
K45::XTM.vuio[glossary.category.start.overview]	Aperçu
K45::XTM.vuio[glossary.tab.all]	Tous
K45::XTM.vuio[glossary.section.lines.identity.color]	Couleur fixe par rapport à la couleur de la palette
K45::XTM.vuio[lineViewerEditor.internalNumber]	Numéro de route interne
K45::XTM.vuio[fareGroups.exceptions.endHour]	Fin
K45::XTM.vuio[glossary.tableOfContents]	Table des matières
K45::XTM.vuio[glossary.tab.overview]	Présentation du XTM
K45::XTM.vuio[lineViewer.dataTotalCargoLoaded]	Cargaison chargée dans des véhicules
K45::XTM.vuio[lineStationDetail.selectBuilding]	Sélectionnez le bâtiment
K45::XTM.vuio[lineViewer.lineData]	Données de ligne
K45::XTM.vuio[autoColorDisabled]	--Couleur automatique désactivée--
K45::XTM.vuio[weIntegrationBlinds.keyframesTitle]	Images clés
K45::XTM.vuio[lineViewer.dataAverageVehicleOccupance]	Occupation moyenne des véhicules
K45::XTM.vuio[glossary.section.appearance.autoColor.assign]	Attribuer la palette par type de transport
K45::XTM.vuio[vehicleModelGroups.stat.unit.pax]	personne
K45::XTM.vuio[glossary.section.appearance.library.default]	Bibliothèque par défaut
K45::XTM.vuio[paletteEditor.noPalettes]	Pas de palettes !
K45::XTM.vuio[fareGroups.exceptions.remove]	Supprimer l'exception
K45::XTM.vuio[lineViewerEditor.ignorePalette]	Utiliser une couleur fixe
K45::XTM.vuio[lineStationDetail.setAsFirstStop]	Définir comme premier arrêt de la ligne
K45::XTM.vuio[glossary.section.groups.fareBasics.create]	Création et suppression de groupes
K45::XTM.vuio[lineList.restorePalette]	Restaurer la couleur de la palette
K45::XTM.vuio[lineViewer.segmentOccupancyMode.currentHour]	Heure actuelle
K45::XTM.vuio[vehicleModelGroups.removeLine]	Supprimer la ligne du groupe
K45::XTM.vuio[occupancyReport.refreshData]	Actualiser les données
K45::XTM.vuio[fareGroups.delete.message]	Voulez-vous vraiment supprimer le groupe tarifaire "{name}" ?
K45::XTM.vuio[fareGroups.ticketPrice.removeFromGroup]	Supprimer du groupe
K45::XTM.vuio[fareGroups.exceptions.errorInvalid]	Plage d'heures invalide
K45::XTM.vuio[fareGroups.field.defaultFare]	Tarif par défaut
K45::XTM.vuio[lineViewerEditor.displayIdentifier.tooltip]	Remplace le numéro de route lorsque le nom et le bouclier sont générés
K45::XTM.vuio[fareGroups.unnamed]	Groupe sans nom
K45::XTM.vuio[glossary.section.start.settings.support]	Liens d'assistance
K45::XTM.vuio[vehicleModelGroups.typeMenu.empty]	Aucun type de transport
K45::XTM.vuio[fareGroups.removeAllLines]	Supprimer toutes les lignes de ce groupe
K45::XTM.vuio[glossary.category.groups.fareTime]	Tarifs basés sur le temps
K45::XTM.vuio[fareGroups.removeLine]	Supprimer la ligne du groupe
K45::XTM.vuio[vehicleModelGroups.removeComposition]	Supprimer la composition
K45::XTM.vuio[glossary.section.map.advanced.demand]	Attente et demande chargée
K45::XTM.vuio[fareGroups.fareTable.hours]	{start} :00 - {end} :59
K45::XTM.vuio[paletteEditor.import.libraryBookmark]	Bibliothèque par défaut
K45::XTM.vuio[managedGroups.sip.menuTooltip]	Options de groupes
K45::XTM.vuio[weIntegrationBlinds.prefixShort]	Préfixe
K45::XTM.vuio[cityPalettesLibrary.title]	Palettes disponibles
K45::XTM.vuio[lineList.sort.schedule]	État de planification
K45::XTM.vuio[lineList.cargoRoutes]	Itinéraires de fret
K45::XTM.vuio[glossary.category.appearance.autoColor]	Coloration automatique
K45::XTM.vuio[glossary.category.lines.listing]	Liste et filtres
K45::XTM.vuio[glossary.category.groups.modelBasics]	Notions de base du groupe modèle
::LShowEditorPalettesButton	Afficher le bouton des palettes dans l'éditeur
K45::XTM.vuio[paletteEditor.append.prompt]	Sélectionnez un fichier .hex à ajouter. Ses couleurs seront ajoutées à la fin de la palette courante
K45::XTM.vuio[glossary.section.start.gettingAround.overview]	Aperçu du transport
K45::XTM.vuio[fareGroups.lineCount]	{count} lignes
K45::XTM.vuio[glossary.category.map.advanced]	Données de ligne avancées
K45::XTM.vuio[glossary.section.start.settings.uiDefaults]	Paramètres par défaut de l'interface utilisateur
K45::XTM.vuio[paletteEditor.noPaletteSelected]	Aucune palette sélectionnée
K45::XTM.vuio[lineList.title]	Lignes
K45::XTM.vuio[glossary.category.map.vehicles]	Véhicules
K45::XTM.vuio[glossary.section.groups.fareTime.exceptions]	Exceptions horaires
K45::XTM.vuio[lineViewer.dataTotalCargoWaiting]	Cargaison stockée dans les gares
K45::XTM.vuio[vehicleModelGroups.field.name]	Nom
K45::XTM.vuio[glossary.section.lines.listing.modes]	Modes de transport
K45::XTM.vuio[glossary.index.title]	Gestionnaire de transport étendu
K45::XTM.vuio[fareGroups.selectGroup]	Sélectionnez un groupe tarifaire
K45::XTM.vuio[lineViewer.dataAverageStopWaiting]	Occupation moyenne des arrêts
K45::XTM.vuio[weIntegrationBlinds.addStep]	Ajouter une étape
K45::XTM.vuio[vehicleModelGroups.otherGroup.unknown]	un autre groupe
K45::XTM.vuio[weIntegrationBlinds.pasteFromClipboard]	Tout effacer et coller du presse-papiers
K45::XTM.vuio[lineList.openDetails]	Détails
K45::XTM.vuio[weIntegrationBlinds.deleteStep]	Supprimer l'étape
K45::XTM.vuio[glossary.section.lines.identity.shields]	Formes et badges de bouclier
K45::XTM.vuio[vehicleModelGroups.stat.len.paired.tooltip]	Longueur totale de la composition :\nunités × (moteur + wagons × (voitures − 1))
K45::XTM.vuio[glossary.section.map.interchanges.select]	Sélection d'itinéraires liés
K45::XTM.vuio[lineList.passengerLines]	Lignes passagers
K45::XTM.vuio[fareGroups.exceptions.title]	Exceptions horaires
K45::XTM.vuio[fareGroups.otherGroup.warning]	Appartient à {group}. L'ajouter ici le supprimera de ce groupe.
::GLineListing	Liste des lignes
K45::XTM.vuio[weIntegrationBlinds.moveDown]	Descendre
::DUseXtmLineListingDefault	Lorsqu'il est activé, l'aperçu des transports s'ouvre avec la liste des cartes XTM. Lorsqu'il est désactivé, il s'ouvre avec la table vanille. La bascule d'en-tête change toujours de style pour la session en cours.
K45::XTM.vuio[lineViewer.segmentOccupancyDisplayed]	Occupation du segment affichée : {mode}
K45::XTM.vuio[glossary.section.lines.stopOrder.firstStop]	Premier arrêt
K45::XTM.vuio[paletteEditor.appendPalette]	Ajouter une palette
K45::XTM.vuio[vehicleModelGroups.delete.tooltip]	Supprimer le groupe de modèles de véhicule
K45::XTM.vuio[vehicleModelGroups.stat.cap]	CAPUCHON
K45::XTM.vuio[vehicleModelGroups.selectVehicles.andOthers]	... et {count} autres
K45::XTM.vuio[vehicleModelGroups.pickCarriage]	Chariot de sélection
K45::XTM.vuio[paletteEditor.clipboard.copied]	Palette copiée
K45::XTM.vuio[lineList.editIdentity]	Modifier l'acronyme/le numéro de la ligne
K45::XTM.vuio[paletteEditor.deletePalette]	Supprimer la palette
K45::XTM.vuio[lineList.toggleXtmListing]	Liste de lignes XTM alternative
K45::XTM.vuio[fareGroups.ticketPrice.andOthers]	... et {count} autres
Editor.TOOL[k45__xtm_MainWindow]	XTM : paramètres de palette
K45::XTM.vuio[vehicleModelGroups.selectVehicles.managedBy]	Cette ligne appartient au groupe de modèles de véhicules <{name}>.\nLa modification de ces modèles affectera <{count}> lignes.
K45::XTM.vuio[glossary.category.map.interchanges]	Échanges
K45::XTM.vuio[paletteEditor.pasteReplacePalette]	Coller la palette (remplacer)
K45::XTM.vuio[fareGroups.addAllFiltered]	Ajouter toutes les lignes filtrées à ce groupe
K45::XTM.vuio[glossary.category.appearance.editing]	Modification des palettes
K45::XTM.vuio[glossary.section.start.settings.localization]	Localisation
K45::XTM.vuio[weIntegrationBlinds.framesLblShort]	Durée (images)
K45::XTM.vuio[glossary.tab.map]	Carte et réseau
K45::XTM.vuio[lineList.sort.usage]	Utilisation de la ligne (%)
K45::XTM.vuio[glossary.section.map.vehicles.odometer]	Compteur kilométrique et entretien
K45::XTM.vuio[glossary.section.map.linear.whiteBg]	Fond blanc
K45::XTM.vuio[fareGroups.availableLines]	Lignes disponibles pour lier à ce groupe
K45::XTM.vuio[weIntegrationBlinds.framesNumberFmt]	affiché pendant {frames} images
K45::XTM.vuio[managedGroups.sip.assignFareTitle]	Attribuer à un groupe tarifaire
K45::XTM.vuio[fareGroups.ticketPrice.moveToGroup]	Passer à un autre groupe
K45::XTM.vuio[weIntegrationBlinds.cancel]	Annuler
K45::XTM.vuio[glossary.index.body]	Utilisez le bouton XTM à droite de ce panneau pour basculer entre l'Encyclopédie du jeu et l'aide de XTM. Les sections détaillées apparaîtront dans la liste de gauche au fur et à mesure de leur rédaction.
K45::XTM.vuio[paletteEditor.clipboard.pasteFailed]	Impossible de lire le presse-papiers
K45::XTM.vuio[glossary.section.statistics.occupancy.mapDisplay]	Modes d'affichage de la carte
K45::XTM.vuio[occupancyReport.loading]	Chargement…
K45::XTM.vuio[vehicleModelGroups.stat.len.tooltip]	Longueur totale du véhicule
K45::XTM.vuio[glossary.category.statistics.occupancy]	Occupation et encombrement
K45::XTM.vuio[vehicleModelGroups.stat.units]	UNITÉS
K45::XTM.vuio[paletteEditor.delete.message]	Etes-vous sûr de vouloir supprimer la palette "{palette}" ? Cette action est irréversible.
K45::XTM.vuio[paletteEditor.clipboard.invalid]	Le Presse-papiers ne contient pas de palette .hex valide
K45::XTM.vuio[lineViewer.lineHistoricalOccupancy]	Occupation historique
K45::XTM.vuio[vehicleModelGroups.addAllFiltered]	Ajouter toutes les lignes filtrées à ce groupe
K45::XTM.vuio[fareGroups.emptyList]	Aucun groupe tarifaire pour l'instant
K45::XTM.vuio[lineViewer.showPlatformCrowdnessLbl]	Afficher la fréquentation des plateformes
K45::XTM.vuio[lineViewer.segmentOccupancyMode.none]	Aucun
K45::XTM.vuio[fareGroups.delete.title]	Supprimer le groupe tarifaire
K45::XTM.vuio[fareGroups.exceptions.errorOverlap]	Les heures d'exception ne doivent pas se chevaucher
K45::XTM.vuio[glossary.section.map.vehicles.live]	Positions des véhicules en direct
K45::XTM.vuio[glossary.tab.start]	Commencez ici
K45::XTM.vuio[lineViewer.showDistrictsLbl]	Afficher les limites des districts
K45::XTM.vuio[vehicleModelGroups.addGroup]	Ajouter un groupe de modèles de véhicules
K45::XTM.vuio[lineList.noLinesInCity]	Pas de file d'attente en ville
K45::XTM.vuio[lineList.filterDisabled]	Désactivé
K45::XTM.vuio[glossary.section.map.stops.districts]	Limites des districts
K45::XTM.vuio[lineStationDetail.nextVehicleInformation]	Informations sur le prochain véhicule
K45::XTM.vuio[glossary.section.lines.listing.serviceState]	Filtres d'état de service
K45::XTM.vuio[glossary.category.map.linear]	Carte linéaire XTM
K45::XTM.vuio[fareGroups.exceptions.errorMax]	Maximum de {count} exceptions
K45::XTM.vuio[vehicleModelGroups.typeMenuTitle]	Sélectionnez le type de transport à modifier
K45::XTM.vuio[paletteEditor.rename.title]	Renommer la palette
K45::XTM.vuio[paletteEditor.import.prompt]	Sélectionnez un fichier .hex à importer. Le fichier doit avoir une couleur RVB (#RRGGBB) par ligne
K45::XTM.vuio[paletteEditor.import.title]	Palette d'importation
K45::XTM.vuio[lineList.sort.cargo]	Passagers/Cargo par mois
K45::XTM.vuio[vehicleModelGroups.pickVehicle]	Choisir un véhicule
K45::XTM.vuio[fareGroups.linkedLines]	Lignes de ce groupe
K45::XTM.vuio[glossary.section.start.gettingAround.editorPalettes]	Outil de palette d'édition
K45::XTM.vuio[lineStationDetail.waiting.cargo]	Cargaison stockée en attente : {quantity}
K45::XTM.vuio[paletteEditor.reset.title]	Réinitialiser les modifications
K45::XTM.vuio[vehicleModelGroups.stat.unit.weight]	kilos
K45::XTM.vuio[weIntegrationBlinds.fixedStringShort]	Texte fixe
K45::XTM.vuio[glossary.tab.statistics]	Statistiques
K45::XTM.vuio[glossary.section.appearance.library.city]	Palettes de ville
K45::XTM.vuio[lineViewer.segmentOccupancyMenuTitle]	Occupation du segment
K45::XTM.vuio[lineStationDetail.nextVehicleIncoming]	Entrant !
K45::XTM.vuio[fareGroups.linkedEmpty]	Aucune ligne liée
K45::XTM.vuio[weIntegrationBlinds.removeStep]	Retirer
K45::XTM.vuio[fareGroups.groupCount]	{count} groupes
K45::XTM.vuio[glossary.section.lines.scheduling.openDetails]	Détails de la ligne d'ouverture
K45::XTM.vuio[occupancyReport.columnOverall]	Dans l'ensemble
K45::XTM.vuio[lineList.editName]	Modifier le nom de la ligne
K45::XTM.vuio[cancelBtn]	Annuler
K45::XTM.vuio[weIntegrationBlinds.resetDefaults]	Réinitialiser aux valeurs par défaut
K45::XTM.vuio[weIntegrationBlinds.saveStep]	Enregistrer l'étape
K45::XTM.vuio[glossary.section.groups.modelMembership.assign]	Affectation à partir d'une ligne ou en masse
K45::XTM.vuio[glossary.section.lines.scheduling.nightOnly]	Nuit seulement
K45::XTM.vuio[occupancyReport.backToOverview]	Retour à l'aperçu
K45::XTM.vuio[glossary.section.statistics.occupancy.segmentDetails]	Détails des segments
K45::XTM.vuio[vehicleModelGroups.sort.name]	Nom
K45::XTM.vuio[paletteEditor.addColor]	Ajouter de la couleur
K45::XTM.vuio[fareGroups.exceptions.summaryFree]	Les voyages gratuits seront appliqués du {start} :00 au {end} :59
K45::XTM.vuio[glossary.category.lines.scheduling]	Planification et actions
K45::XTM.vuio[glossary.title]	Encyclopédie XTM
K45::XTM.vuio[vehicleModelGroups.selectVehicles.removeFromGroup]	Supprimer du groupe
K45::XTM.vuio[occupancyReport.topSegmentsTitle]	Principaux segments par occupation
K45::XTM.vuio[paletteEditor.import.bookmarksTitle]	Paramètres par défaut XTM
K45::XTM.vuio[glossary.tab.groups]	Tarifs et modèles de véhicules
K45::XTM.vuio[weIntegrationBlinds.keyframeType.FixedString]	Texte statique
K45::XTM.vuio[fareGroups.addGroup]	Ajouter un groupe tarifaire
K45::XTM.vuio[glossary.category.groups.fareBasics]	Groupes tarifaires
K45::XTM.vuio[glossary.packFilter.all]	Tous les packs
K45::XTM.vuio[glossary.index.bodyHeading]	Accueillir
K45::XTM.vuio[paletteEditor.copyPalette]	Copier la palette
K45::XTM.vuio[lineViewer.occupancyDayAverage]	Occupation moyenne tout au long de la journée : {value}
K45::XTM.vuio[lineViewer.dataNextMaintenanceValueFmt]	{distance} à parcourir
K45::XTM.vuio[glossary.category.lines.stopOrder]	Ordre d'arrêt
K45::XTM.vuio[occupancyReport.noData]	Aucune donnée
K45::XTM.vuio[fareGroups.screenTitle]	Groupes tarifaires
K45::XTM.vuio[lineList.edit.acronym]	Acronyme de la ligne
K45::XTM.vuio[glossary.category.appearance.we]	Écrivez partout
K45::XTM.vuio[lineStationDetail.waiting.passengers]	Passagers en attente : {quantity}
K45::XTM.vuio[paletteEditor.pasteAppendPalette]	Coller la palette (ajouter)
K45::XTM.vuio[fareGroups.ticketPrice.managedBy]	Cette ligne appartient au groupe tarifaire {name}. Tarif actuel : <{fare}>.\nLa modification de ce tarif affectera <{count}> lignes.
K45::XTM.vuio[glossary.section.map.stops.names]	Arrêtez les noms et les bâtiments
K45::XTM.vuio[managedGroups.sip.manageFareGroups]	Gérer les groupes tarifaires
K45::XTM.vuio[fareGroups.mode]	Groupes tarifaires
K45::XTM.vuio[glossary.index.sectionsHeading]	Documentation à venir
K45::XTM.vuio[glossary.section.appearance.we.keyframes]	Images clés dynamiques et statiques
K45::XTM.vuio[lineStationDetail.alreadyFirstStop]	C'est déjà le premier arrêt !
::DShowEditorPalettesButton	Lorsqu'il est activé, un bouton XTM est ajouté à la barre d'outils de l'éditeur pour ouvrir la bibliothèque de palettes. Prend effet la prochaine fois que le mode Editeur est activé."""
K45::XTM.vuio[lineViewer.stopData]	Informations sur l'arrêt
K45::XTM.vuio[glossary.section.appearance.library.import]	Importation de fichiers .hex
K45::XTM.vuio[vehicleModelGroups.loading]	Chargement…
K45::XTM.vuio[glossary.toggleXtm]	Glossaire XTM
K45::XTM.vuio[managedGroups.sip.manageModelGroups]	Gérer les groupes de modèles de véhicules
K45::XTM.vuio[lineViewer.showIntegrationsLbl]	Afficher les intégrations de lignes
K45::XTM.vuio[vehicleModelGroups.stat.unit.cars]	voitures
K45::XTM.vuio[lineViewerEditor.ignorePalette.tooltip]	Ignorer les paramètres de la palette pour cette ligne
K45::XTM.vuio[fareGroups.addLine]	Ajouter une ligne au groupe
K45::XTM.vuio[glossary.index.placeholder.lines]	Liste des lignes et aperçu
K45::XTM.vuio[glossary.section.lines.listing.sorting]	Tri
K45::XTM.vuio[palettesSettings.cargoModalsTitle]	Modaux de fret
K45::XTM.vuio[glossary.category.groups.modelMembership]	Adhésion modèle
K45::XTM.vuio[glossary.section.map.advanced.lap]	Estimation du tour complet
K45::XTM.vuio[glossary.section.appearance.we.extras]	Préfixes, suffixes et presse-papiers
K45::XTM.vuio[lineViewer.showHalfTripIfSimmetric]	Afficher le demi-trajet si la ligne est symétrique (désactivé si les véhicules sont affichés)
K45::XTM.vuio[vehicleModelGroups.selectVehicles.editGroup]	Modifier le groupe de modèles de véhicules
K45::XTM.vuio[paletteEditor.import.invalidFile]	Ce n'est pas un fichier de palette valide
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityNameOrDistrict]	Arrêt de destination, quartier ou route
K45::XTM.vuio[paletteEditor.reset.message]	Supprimer les modifications non enregistrées dans cette palette ? Cela ne peut pas être annulé.
K45::XTM.vuio[fareGroups.listTitle]	Groupes
K45::XTM.vuio[glossary.section.appearance.editing.clipboard]	Copier, coller, remplacer, ajouter
K45::XTM.vuio[lineStationDetail.nextVehicleData]	Véhicule suivant :
K45::XTM.vuio[glossary.section.start.overview.whatAdds]	Ce que XTM ajoute
K45::XTM.vuio[vehicleModelGroups.otherGroup.warning]	Appartient à {group}. L'ajouter ici le supprimera de ce groupe.
K45::XTM.vuio[glossary.section.lines.identity.routeNumber]	Numéro de route interne
K45::XTM.vuio[lineViewer.segmentOccupancyMode.dayAverage]	Moyenne quotidienne
K45::XTM.vuio[saveBtn]	Sauvegarder
K45::XTM.vuio[fareGroups.loading]	Chargement…
K45::XTM.vuio[glossary.section.map.linear.switch]	Passer de la vanille
K45::XTM.vuio[glossary.section.statistics.occupancy.concepts]	Occupation versus encombrement de la plate-forme
K45::XTM.vuio[glossary.section.map.linear.halfTrip]	Mode demi-voyage
K45::XTM.vuio[vehicleModelGroups.modelCount]	{count} modèles
K45::XTM.vuio[palettesSettings.modalSettings]	Modaux passagers
K45::XTM.vuio[lineViewer.occupancyHeadingTo]	Véhicules se dirigeant vers : {to}
K45::XTM.vuio[managedGroups.sip.noGroupsAvailable]	<Aucun groupe disponible>
K45::XTM.vuio[weIntegrationBlinds.keyframeType.NextStopSimple]	Prochain arrêt
K45::XTM.vuio[vehicleModelGroups.unnamed]	Groupe de modèles de véhicules sans nom
K45::XTM.vuio[glossary.section.lines.stopOrder.symmetric]	Itinéraires symétriques
K45::XTM.vuio[glossary.section.map.vehicles.nextArrival]	Données sur la prochaine arrivée
K45::XTM.vuio[lineList.filterDay]	Jour seulement
K45::XTM.vuio[paletteEditor.resetChanges]	Réinitialiser les modifications
K45::XTM.vuio[fareGroups.fareTable.default]	Défaut
K45::XTM.vuio[glossary.index.placeholderNote]	Les entrées de section sont des espaces réservés pour le moment — le contenu suivra dans une mise à jour ultérieure.
K45::XTM.vuio[lineList.filterNight]	Nuit seulement
K45::XTM.vuio[occupancyReport.dataAsOf]	Données à partir de {datetime}
::LUseXtmLineListingDefault	Utiliser la liste de lignes XTM par défaut
K45::XTM.vuio[weIntegrationBlinds.title]	Écrivez partout - Stores sur mesure
K45::XTM.vuio[glossary.section.map.advanced.avgOccupancy]	Occupation moyenne
K45::XTM.vuio[vehicleModelGroups.pickPrimary]	Choisir moteur/primaire
K45::XTM.vuio[lineViewer.odometer]	Odomètre
K45::XTM.vuio[glossary.section.statistics.occupancy.listing]	Intégration des annonces
K45::XTM.vuio[paletteEditor.addPalette.title]	Nouvelle palette
K45::XTM.vuio[glossary.section.groups.fareTime.preview]	Aperçu de la grille tarifaire
K45::XTM.vuio[lineViewer.showDistancesLbl]	Afficher les distances entre les stations
K45::XTM.vuio[lineViewer.colossalNationFmt]	Nation colossale : {city}
K45::XTM.vuio[glossary.index.intro]	XTM étend les transports publics de Cities: Skylines II avec une gestion des lignes plus riche, des informations sur l'occupation, des groupes tarifaires, des groupes de modèles de véhicules et des palettes. Ce glossaire documentera ces outils - commencez ici pour un aperçu de ce que le mod ajoute.
K45::XTM.vuio[glossary.section.lines.identity.name]	Nom de la ligne
K45::XTM.vuio[glossary.index.placeholder.overview]	Aperçu des modules
K45::XTM.vuio[glossary.category.lines.identity]	Identité et apparence
K45::XTM.vuio[weIntegrationBlinds.copyToClipboard]	Copier dans le presse-papier
K45::XTM.vuio[glossary.section.appearance.library.editor]	Accès en mode éditeur
K45::XTM.vuio[fareGroups.fareFree]	Gratuit
K45::XTM.vuio[lineList.linesCurrentFilterFormat]	{LINECOUNT} lignes
K45::XTM.vuio[vehicleModelGroups.availableLines]	Lignes disponibles pour lier à ce groupe
K45::XTM.vuio[fareGroups.exceptions.add]	Ajouter une exception
K45::XTM.vuio[managedGroups.sip.assignModelsTitle]	Attribuer au groupe de modèles de véhicule
K45::XTM.vuio[lineStationDetail.crowdness]	{waiting} / {capacity} ({percent})
K45::XTM.vuio[weIntegrationBlinds.suffixShort]	Suffixe
K45::XTM.vuio[fareGroups.filterAssigned]	Lignes déjà affectées à un groupe
K45::XTM.vuio[lineViewer.formatMinutes]	{minutes} minutes.
K45::XTM.vuio[glossary.section.groups.fareMembership.shared]	Avertissement de changement partagé
K45::XTM.vuio[glossary.tab.lines]	Lignes et itinéraires
K45::XTM.vuio[weIntegrationBlinds.useUntilStop]	Utiliser jusqu'à l'arrêt
K45::XTM.vuio[vehicleModelGroups.groupCount]	{count} groupes
K45::XTM.vuio[glossary.section.lines.listing.cards]	Lecture des cartes de lignes
K45::XTM.vuio[occupancyReport.mode.listing]	Liste des lignes
K45::XTM.vuio[vehicleModelGroups.screenTitle]	Groupes de modèles de véhicules
K45::XTM.vuio[vehicleModelGroups.stat.len.unit.tooltip]	Longueur du véhicule unique
K45::XTM.vuio[weIntegrationBlinds.addKeyframe]	Ajouter une image clé
K45::XTM.vuio[paletteEditor.delete.title]	Supprimer la palette
K45::XTM.vuio[lineViewer.dataNoNextMaintenance]	Aucun véhicule ne devrait être entretenu
K45::XTM.vuio[weIntegrationBlinds.editStep]	Modifier
K45::XTM.vuio[paletteEditor.importPalette]	Palette d'importation
K45::XTM.vuio[glossary.section.appearance.we.availability]	Disponibilité
K45::XTM.vuio[lineViewer.vehicleData]	Informations sur le véhicule
K45::XTM.vuio[vehicleModelGroups.sort.length]	Longueur totale
K45::XTM.vuio[lineMap.noDistrict]	<Sans district>
K45::XTM.vuio[paletteEditor.saveChanges]	Enregistrer les modifications
K45::XTM.vuio[glossary.category.start.gettingAround]	Se déplacer
K45::XTM.vuio[glossary.category.map.stops]	Arrêts et géographie
K45::XTM.vuio[glossary.section.appearance.autoColor.indexing]	Indexation basée sur des nombres
K45::XTM.vuio[palettes.section.passengers]	Passagers
K45::XTM.vuio[glossary.index.placeholder.vehicles]	Groupes de modèles de véhicules
K45::XTM.vuio[weIntegrationBlinds.moveUp]	Monter
K45::XTM.vuio[paletteEditor.renamePalette]	Renommer la palette
K45::XTM.vuio[vehicleModelGroups.lineCount]	{count} lignes
