key	zh-HANT
K45::XTM.vuio[paletteEditor.import.prompt]	選擇要匯入的 .hex 檔案。文件每行應有一種 RGB 顏色 (#RRGGBB)
K45::XTM.vuio[paletteEditor.import.libraryBookmark]	預設庫
K45::XTM.vuio[paletteEditor.import.bookmarksTitle]	XTM 預設值
K45::XTM.vuio[paletteEditor.shuffleColors]	隨機播放顏色
K45::XTM.vuio[palettesSettings.cargoModalsTitle]	貨運模式
K45::XTM.vuio[palettesSettings.modalSettings]	客運模式
K45::XTM.vuio[palettesSettings.title]	模態到調色板設置
K45::XTM.vuio[saveBtn]	節省
K45::XTM.vuio[seeXtmMap]	查看 XTM 地圖
K45::XTM.vuio[weIntegrationBlinds.addKeyframe]	新增關鍵幀
K45::XTM.vuio[weIntegrationBlinds.addStep]	新增步驟
K45::XTM.vuio[weIntegrationBlinds.cancel]	取消
K45::XTM.vuio[weIntegrationBlinds.copyToClipboard]	複製到剪貼簿
K45::XTM.vuio[weIntegrationBlinds.editStep]	編輯
K45::XTM.vuio[weIntegrationBlinds.fixedStringShort]	固定文字
K45::XTM.vuio[weIntegrationBlinds.framesLblShort]	持續時間（幀）
K45::XTM.vuio[weIntegrationBlinds.keyframesTitle]	關鍵影格
K45::XTM.vuio[weIntegrationBlinds.pasteFromClipboard]	全部擦除並從剪貼簿貼上
K45::XTM.vuio[weIntegrationBlinds.prefixShort]	前綴
K45::XTM.vuio[weIntegrationBlinds.removeStep]	消除
K45::XTM.vuio[weIntegrationBlinds.sampleFormat]	靜態範例：「{sampleValue}」({sampleType}) - 關鍵影格總數：{keyframeCount}
K45::XTM.vuio[weIntegrationBlinds.staticKeyframeIdx]	用作靜態盲點的關鍵幀
K45::XTM.vuio[weIntegrationBlinds.suffixShort]	後綴
K45::XTM.vuio[weIntegrationBlinds.theEndOfLine]	<行尾>
K45::XTM.vuio[weIntegrationBlinds.title]	隨處書寫 - 訂製百葉窗
K45::XTM.vuio[weIntegrationBlinds.useUntilStop]	使用至停止
K45::XTM.vuio[weIntegrationBlinds.deleteStep]	刪除步驟
K45::XTM.vuio[weIntegrationBlinds.moveDown]	下移
K45::XTM.vuio[weIntegrationBlinds.moveUp]	向上移動
K45::XTM.vuio[weIntegrationBlinds.resetDefaults]	重設為預設值
K45::XTM.vuio[weIntegrationBlinds.useUntil]	使用直到：{stationName}
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityName]	步驟的目標站點
K45::XTM.vuio[weIntegrationBlinds.keyframeType.FixedString]	靜態文字
K45::XTM.vuio[weIntegrationBlinds.keyframeType.NextStopSimple]	下一站
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteName]	路線名稱
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteNumber]	路線編號
K45::XTM.vuio[lineStationDetail.waiting.cargo]	存放等待的貨物：{quantity}
::TUI	使用者介面
::GLineListing	線路列表
::LUseXtmLineListingDefault	預設使用 XTM 行列表
::DUseXtmLineListingDefault	啟用後，交通概覽將開啟並顯示 XTM 卡清單。停用後，將開啟普通表格。標題切換仍會切換目前會話的樣式。
K45::XTM.vuio[lineList.toggleXtmListing]	備用 XTM 系列列表
K45::XTM.vuio[lineList.showAll]	顯示全部
K45::XTM.vuio[lineList.hideAll]	全部隱藏
K45::XTM.vuio[lineList.passengerLines]	客運線路
K45::XTM.vuio[lineList.cargoRoutes]	貨運航線
K45::XTM.vuio[lineList.linesCurrentFilterFormat]	{LINECOUNT} 行
K45::XTM.vuio[lineList.title]	線路
K45::XTM.vuio[lineList.filterDisabled]	殘障人士
K45::XTM.vuio[lineList.filterDayNight]	白天和黑夜
K45::XTM.vuio[lineList.filterDay]	僅限白天
K45::XTM.vuio[lineList.filterNight]	僅限夜間
K45::XTM.vuio[lineList.lineDisabled]	線路已停用
K45::XTM.vuio[lineList.sort.title]	排序線
K45::XTM.vuio[lineList.sort.routeNumber]	行號
K45::XTM.vuio[lineList.sort.acronym]	線首字母縮寫詞
K45::XTM.vuio[lineList.sort.length]	線長
K45::XTM.vuio[lineList.sort.usage]	線路使用率（%）
K45::XTM.vuio[lineList.sort.cargo]	每月客運量/貨運量
K45::XTM.vuio[lineList.openDetails]	細節
K45::XTM.vuio[lineList.editColor]	更改線條顏色
K45::XTM.vuio[lineList.restorePalette]	恢復調色板顏色
K45::XTM.vuio[lineList.editIdentity]	編輯行縮寫/數字
K45::XTM.vuio[lineList.edit.acronym]	線首字母縮寫詞
K45::XTM.vuio[lineList.edit.internalNumber]	內部線號
K45::XTM.vuio[lineList.noMatchingLines]	沒有匹配的線
K45::XTM.vuio[lineList.noLinesInCity]	市內沒有線路
K45::XTM.vuio[lineStationDetail.crowdness]	{waiting} / {capacity} ({percent})
K45::XTM.vuio[lineViewer.showPlatformCrowdnessLbl]	顯示平台擁擠度
K45::XTM.vuio[lineViewer.occupancyTooltip]	{startHour} 到 {endHour} 之間的平均車輛佔用率。
K45::XTM.vuio[lineViewer.occupancyHeadingTo]	車輛前往：{to}
K45::XTM.vuio[lineViewer.occupancyDayAverage]	全天平均入住率：{value}
K45::XTM.vuio[lineViewer.segmentOccupancyDisplayed]	顯示的航段佔用率：{mode}
K45::XTM.vuio[lineViewer.segmentOccupancyMenuTitle]	航段佔用率
K45::XTM.vuio[lineViewer.segmentOccupancyMode.none]	沒有任何
K45::XTM.vuio[lineViewer.segmentOccupancyMode.currentHour]	目前時間
K45::XTM.vuio[lineViewer.segmentOccupancyMode.dayAverage]	日平均
K45::XTM.vuio[lineViewer.segmentOccupancyMode.00_04]	0小時～4小時
K45::XTM.vuio[lineViewer.segmentOccupancyMode.04_08]	4小時～8小時
K45::XTM.vuio[lineViewer.segmentOccupancyMode.08_12]	8小時～12小時
K45::XTM.vuio[lineViewer.segmentOccupancyMode.12_16]	12小時～16小時
K45::XTM.vuio[lineViewer.segmentOccupancyMode.16_20]	16小時～20小時
K45::XTM.vuio[lineViewer.segmentOccupancyMode.20_24]	20小時～24小時
K45::XTM.vuio[lineViewer.occupancyDayAverageTooltip]	全天平均車輛佔用率。
K45::XTM.vuio[lineViewer.lineHistoricalOccupancy]	歷史佔用狀況
K45::XTM.vuio[occupancyReport.changeMode]	改變模式
K45::XTM.vuio[occupancyReport.mode.listing]	線路列表
K45::XTM.vuio[occupancyReport.mode.occupancyPassengers]	佔用報告：乘客
K45::XTM.vuio[occupancyReport.mode.occupancyCargo]	佔用報告：貨物
K45::XTM.vuio[occupancyReport.refreshData]	重新整理數據
K45::XTM.vuio[occupancyReport.dataAsOf]	截至 {datetime} 的數據
K45::XTM.vuio[occupancyReport.topLinesTitle]	以 30% 入住率排列的熱門線路
K45::XTM.vuio[occupancyReport.topSegmentsTitle]	按入住率排名靠前的細分市場
K45::XTM.vuio[occupancyReport.columnOverall]	全面的
K45::XTM.vuio[occupancyReport.noData]	無數據
K45::XTM.vuio[occupancyReport.loading]	載入中…
K45::XTM.vuio[occupancyReport.backToOverview]	返回概覽
K45::XTM.vuio[occupancyReport.topLimited]	前 {count} 個
K45::XTM.vuio[fareGroups.mode]	票價組
K45::XTM.vuio[fareGroups.screenTitle]	票價組
K45::XTM.vuio[fareGroups.groupCount]	{count} 個群組
K45::XTM.vuio[fareGroups.listTitle]	團體
K45::XTM.vuio[fareGroups.loading]	載入中…
K45::XTM.vuio[fareGroups.emptyList]	還沒有票價組
K45::XTM.vuio[fareGroups.selectGroup]	選擇票價組
K45::XTM.vuio[fareGroups.unnamed]	未命名組
K45::XTM.vuio[fareGroups.fareFree]	自由的
K45::XTM.vuio[fareGroups.lineCount]	{count} 行
K45::XTM.vuio[fareGroups.delete.tooltip]	刪除票價組
K45::XTM.vuio[fareGroups.delete.title]	刪除票價組
K45::XTM.vuio[fareGroups.delete.message]	您確定要刪除票價組「{name}」嗎？ 
K45::XTM.vuio[fareGroups.field.name]	姓名
K45::XTM.vuio[fareGroups.field.defaultFare]	預設票價
K45::XTM.vuio[fareGroups.exceptions.title]	小時例外
K45::XTM.vuio[fareGroups.exceptions.empty]	無一例外
K45::XTM.vuio[fareGroups.exceptions.startHour]	開始
K45::XTM.vuio[fareGroups.exceptions.endHour]	結尾
K45::XTM.vuio[fareGroups.exceptions.fare]	票價
K45::XTM.vuio[fareGroups.exceptions.remove]	移除異常
K45::XTM.vuio[fareGroups.exceptions.add]	添加例外
K45::XTM.vuio[fareGroups.exceptions.errorMax]	最多 {count} 個異常
K45::XTM.vuio[fareGroups.exceptions.errorOverlap]	例外時間不得重疊
K45::XTM.vuio[fareGroups.exceptions.errorInvalid]	小時範圍無效
K45::XTM.vuio[fareGroups.linkedLines]	該組中的線路
K45::XTM.vuio[fareGroups.linkedEmpty]	沒有連結的線路
K45::XTM.vuio[fareGroups.availableLines]	連結到該群組的可用線路
K45::XTM.vuio[fareGroups.availableEmpty]	沒有匹配的線
K45::XTM.vuio[fareGroups.removeLine]	從群組中刪除行
K45::XTM.vuio[fareGroups.addLine]	將線路新增至群組中
K45::XTM.vuio[fareGroups.otherGroup.unknown]	另一組
K45::XTM.vuio[fareGroups.otherGroup.warning]	屬於{group}。在此處添加它會將其從該組中刪除。
K45::XTM.vuio[fareGroups.exceptions.summary]	票價 {fare}cent 將適用於 {start}:00 至 {end}:59
K45::XTM.vuio[fareGroups.exceptions.summaryFree]	免費旅行適用於 {start}:00 至 {end}:59
K45::XTM.vuio[fareGroups.filterAssigned]	線路已分配給群組
K45::XTM.vuio[fareGroups.addAllFiltered]	將所有過濾的行加入到該組中
K45::XTM.vuio[fareGroups.ticketPrice.managedBy]	此線路屬於票價組 {name}。目前票價：<{fare}>。 \n更改此票價將影響 <{count}> 條線路。
K45::XTM.vuio[fareGroups.ticketPrice.editGroup]	編輯票價組
K45::XTM.vuio[vehicleModelGroups.unnamed]	未命名車型組
K45::XTM.vuio[vehicleModelGroups.sort.title]	將車輛進行分類
K45::XTM.vuio[vehicleModelGroups.sort.name]	姓名
K45::XTM.vuio[vehicleModelGroups.sort.capacity]	容量
K45::XTM.vuio[vehicleModelGroups.sort.length]	總長度
K45::XTM.vuio[vehicleModelGroups.mode]	車型組
K45::XTM.vuio[vehicleModelGroups.screenTitle]	車型組
K45::XTM.vuio[vehicleModelGroups.groupCount]	{count} 個群組
K45::XTM.vuio[vehicleModelGroups.listTitle]	團體
K45::XTM.vuio[vehicleModelGroups.addGroup]	新增車型組
K45::XTM.vuio[vehicleModelGroups.loading]	載入中…
K45::XTM.vuio[vehicleModelGroups.typeMenu.empty]	無運輸類型
K45::XTM.vuio[vehicleModelGroups.typeMenuTitle]	選擇要編輯的傳輸類型
K45::XTM.vuio[vehicleModelGroups.emptyList]	尚無該類型的車型組
K45::XTM.vuio[vehicleModelGroups.selectGroup]	選擇車型組
K45::XTM.vuio[vehicleModelGroups.modelCount]	{count} 個型號
K45::XTM.vuio[vehicleModelGroups.lineCount]	{count} 行
K45::XTM.vuio[vehicleModelGroups.delete.tooltip]	刪除車型組
K45::XTM.vuio[vehicleModelGroups.delete.title]	刪除車型組
K45::XTM.vuio[vehicleModelGroups.field.name]	姓名
K45::XTM.vuio[vehicleModelGroups.modelsRequired]	在保存變更之前，至少添加一種與車輛的合成
K45::XTM.vuio[vehicleModelGroups.compositions]	作文
K45::XTM.vuio[vehicleModelGroups.removeComposition]	刪除成分
K45::XTM.vuio[vehicleModelGroups.pickVehicle]	挑選車輛
K45::XTM.vuio[vehicleModelGroups.pickPrimary]	選擇發動機/主發動機
K45::XTM.vuio[vehicleModelGroups.pickCarriage]	挑選車廂
K45::XTM.vuio[vehicleModelGroups.linkedLines]	該組中的線路
K45::XTM.vuio[vehicleModelGroups.linkedEmpty]	沒有連結的線路
K45::XTM.vuio[vehicleModelGroups.availableLines]	連結到該群組的可用線路
K45::XTM.vuio[vehicleModelGroups.availableEmpty]	沒有匹配的線
K45::XTM.vuio[vehicleModelGroups.filterAssigned]	線路已分配給群組
K45::XTM.vuio[vehicleModelGroups.addAllFiltered]	將所有過濾的行加入到該組中
K45::XTM.vuio[vehicleModelGroups.addLine]	將線路新增至群組中
K45::XTM.vuio[vehicleModelGroups.removeLine]	從群組中刪除行
K45::XTM.vuio[vehicleModelGroups.removeAllLines]	刪除該群組中的所有行
K45::XTM.vuio[vehicleModelGroups.otherGroup.unknown]	另一組
K45::XTM.vuio[vehicleModelGroups.otherGroup.warning]	屬於{group}。在此處添加它會將其從該組中刪除。
K45::XTM.vuio[vehicleModelGroups.carriage]	運輸
K45::XTM.vuio[vehicleModelGroups.stat.cap]	帽子
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltip]	載客量
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltipCargo]	載貨量
K45::XTM.vuio[vehicleModelGroups.stat.units]	單位
K45::XTM.vuio[vehicleModelGroups.stat.units.tooltip]	成分單位數
K45::XTM.vuio[vehicleModelGroups.stat.len.unit]	烏倫
K45::XTM.vuio[vehicleModelGroups.stat.len.unit.tooltip]	單車長度
K45::XTM.vuio[vehicleModelGroups.stat.len]	倫
K45::XTM.vuio[vehicleModelGroups.stat.len.tooltip]	車輛總長
K45::XTM.vuio[vehicleModelGroups.stat.len.paired.tooltip]	總組成長度：\n單位 × (引擎 + 貨車 × (汽車 − 1))
K45::XTM.vuio[vehicleModelGroups.stat.unit.pax]	帕克斯
K45::XTM.vuio[vehicleModelGroups.stat.unit.weight]	公斤
K45::XTM.vuio[vehicleModelGroups.stat.unit.cars]	汽車
K45::XTM.vuio[vehicleModelGroups.stat.unit.meters]	米
K45::XTM.vuio[vehicleModelGroups.selectVehicles.managedBy]	此行屬於車輛模型組 <{name}>。 \n更改這些模型將影響 <{count}> 行。
K45::XTM.vuio[vehicleModelGroups.selectVehicles.editGroup]	編輯車型組
K45::XTM.vuio[vehicleModelGroups.selectVehicles.removeFromGroup]	從群組中刪除
K45::XTM.vuio[vehicleModelGroups.selectVehicles.moveToGroup]	移至另一組
K45::XTM.vuio[vehicleModelGroups.selectVehicles.andOthers]	⋯⋯以及其他 {count} 個
K45::XTM.vuio[fareGroups.ticketPrice.removeFromGroup]	從群組中刪除
K45::XTM.vuio[fareGroups.ticketPrice.moveToGroup]	移至另一組
K45::XTM.vuio[fareGroups.fareTable.title]	票價表
K45::XTM.vuio[fareGroups.fareTable.default]	預設
K45::XTM.vuio[fareGroups.fareTable.hours]	{start}：00 - {end}：59
K45::XTM.vuio[managedGroups.sip.menuTooltip]	群組選項
K45::XTM.vuio[managedGroups.sip.noGroupsAvailable]	<沒有可用的群組>
K45::XTM.vuio[managedGroups.sip.assignFareTitle]	分配至票價組
K45::XTM.vuio[managedGroups.sip.assignModelsTitle]	分配至車型組
K45::XTM.vuio[managedGroups.sip.manageFareGroups]	管理票價組
K45::XTM.vuio[managedGroups.sip.manageModelGroups]	管理車型組
K45::XTM.vuio[lineViewerEditor.internalNumber]	內部路由號碼
K45::XTM.vuio[lineViewerEditor.internalNumber.tooltip]	由調色板和命名使用
K45::XTM.vuio[lineViewerEditor.displayIdentifier]	路由標識符
K45::XTM.vuio[lineViewerEditor.displayIdentifier.tooltip]	產生名稱和屏蔽時覆蓋路線編號
K45::XTM.vuio[lineViewerEditor.ignorePalette]	使用固定色
K45::XTM.vuio[lineViewerEditor.ignorePalette.tooltip]	忽略該行的調色板設置
K45::XTM.vuio[lineList.editName]	編輯線路名稱
K45::XTM.vuio[lineViewer.advancedData]	進階統計數據
K45::XTM.vuio[palettes.section.passengers]	乘客
K45::XTM.vuio[palettes.section.cargo]	貨物
K45::XTM.vuio[palettes.paletteCount]	{count} 個調色板
K45::XTM.vuio[paletteEditor.import.invalidFile]	不是有效的調色板文件
::GEditor	編輯
::DShowEditorPalettesButton	"啟用後，XTM 按鈕將新增至編輯器工具列以開啟調色板庫。下次進入編輯器模式時生效。"""""""
Editor.TOOL[k45__xtm_MainWindow]	XTM：調色盤設置
K45::XTM.vuio[paletteEditor.appendPalette]	追加調色板
K45::XTM.vuio[paletteEditor.append.title]	追加調色板
K45::XTM.vuio[paletteEditor.copyPalette]	複製調色板
K45::XTM.vuio[paletteEditor.pasteReplacePalette]	貼上調色板（替換）
K45::XTM.vuio[paletteEditor.pasteAppendPalette]	貼上調色板（附加）
K45::XTM.vuio[paletteEditor.resetChanges]	重置更改
K45::XTM.vuio[paletteEditor.clipboard.copyFailed]	無法複製到剪貼簿
K45::XTM.vuio[paletteEditor.clipboard.pasteFailed]	無法讀取剪貼簿
K45::XTM.vuio[paletteEditor.clipboard.copied]	調色板已複製
K45::XTM.vuio[paletteEditor.reset.title]	重置更改
K45::XTM.vuio[paletteEditor.reset.message]	放棄對此調色板未儲存的更改嗎？此操作無法撤銷。
K45::XTM.vuio[glossary.toggleXtm]	XTM術語表
K45::XTM.vuio[glossary.title]	XTM百科全書
K45::XTM.vuio[glossary.tab.overview]	XTM概述
K45::XTM.vuio[glossary.index.title]	擴充傳輸管理器
K45::XTM.vuio[glossary.index.intro]	XTM 擴展了《城市：天際線 II》公共交通，提供更豐富的線路管理、佔用情況洞察、票價組、車型組和調色板。本術語表將記錄這些工具 - 從這裡開始，了解該模組添加的內容。
K45::XTM.vuio[glossary.index.sectionsHeading]	即將發布的文檔
K45::XTM.vuio[glossary.index.bodyHeading]	歡迎
K45::XTM.vuio[glossary.index.body]	使用該面板右側的 XTM 按鈕可以在遊戲百科全書和 XTM 自己的幫助之間切換。詳細的部分將在編寫時出現在左側的清單中。
K45::XTM.vuio[glossary.index.placeholderNote]	目前，部分條目是佔位符 - 內容將在稍後更新中跟進。
K45::XTM.vuio[glossary.index.placeholder.overview]	模組概覽
K45::XTM.vuio[glossary.index.placeholder.lines]	線路和概覽列表
K45::XTM.vuio[glossary.index.placeholder.fares]	票價及票價
K45::XTM.vuio[glossary.index.placeholder.vehicles]	車型組
K45::XTM.vuio[glossary.index.placeholder.palettes]	線條調色板
K45::XTM.vuio[glossary.search.placeholder]	搜尋…
K45::XTM.vuio[glossary.packFilter]	包包
K45::XTM.vuio[glossary.packFilter.all]	所有包
K45::XTM.vuio[glossary.tableOfContents]	目錄
K45::XTM.vuio[glossary.tab.all]	全部
K45::XTM.vuio[glossary.tab.start]	從這裡開始
K45::XTM.vuio[glossary.tab.lines]	線路及路線
K45::XTM.vuio[glossary.tab.map]	地圖及網路
K45::XTM.vuio[glossary.tab.statistics]	統計數據
K45::XTM.vuio[glossary.tab.groups]	票價及車型
K45::XTM.vuio[glossary.tab.appearance]	調色板和集成
K45::XTM.vuio[glossary.category.start.overview]	概述
K45::XTM.vuio[glossary.category.start.gettingAround]	行程
K45::XTM.vuio[glossary.category.start.settings]	設定和支援
K45::XTM.vuio[glossary.category.lines.listing]	清單和過濾器
K45::XTM.vuio[glossary.category.lines.identity]	身分與外貌
K45::XTM.vuio[glossary.category.lines.scheduling]	日程安排和行動
K45::XTM.vuio[glossary.category.lines.stopOrder]	停損單
K45::XTM.vuio[glossary.category.map.linear]	XTM 線性圖
K45::XTM.vuio[glossary.category.map.stops]	停靠站和地理
K45::XTM.vuio[glossary.category.map.interchanges]	換乘站
K45::XTM.vuio[glossary.category.map.vehicles]	車輛
K45::XTM.vuio[glossary.category.map.advanced]	進階線路數據
K45::XTM.vuio[glossary.category.statistics.occupancy]	佔用和擁擠
K45::XTM.vuio[glossary.category.groups.fareBasics]	票價組別
K45::XTM.vuio[glossary.category.groups.fareTime]	基於時間的票價
K45::XTM.vuio[glossary.category.groups.fareMembership]	票價會員資格
K45::XTM.vuio[glossary.category.groups.modelBasics]	模型組基礎知識
K45::XTM.vuio[glossary.category.groups.compositions]	作文
K45::XTM.vuio[glossary.category.groups.modelMembership]	模範會員
K45::XTM.vuio[glossary.category.groups.incompatibilities]	不相容性
K45::XTM.vuio[glossary.category.appearance.library]	調色盤庫
K45::XTM.vuio[glossary.category.appearance.editing]	調色盤編輯
K45::XTM.vuio[glossary.category.appearance.autoColor]	自動著色
K45::XTM.vuio[glossary.category.appearance.we]	隨處書寫
K45::XTM.vuio[glossary.section.start.overview.whatAdds]	XTM 增加了什麼
K45::XTM.vuio[glossary.section.start.overview.mainScreens]	主螢幕和 XTM 切換
K45::XTM.vuio[glossary.section.start.overview.linesVsCargo]	客運航線與貨運航線
K45::XTM.vuio[glossary.section.start.gettingAround.overview]	交通概況
K45::XTM.vuio[glossary.section.start.gettingAround.sip]	選定的資訊面板
K45::XTM.vuio[glossary.section.start.gettingAround.linearMap]	線性圖
K45::XTM.vuio[glossary.section.start.gettingAround.editorPalettes]	編輯器調色板工具
K45::XTM.vuio[glossary.section.start.settings.uiDefaults]	使用者介面預設值
K45::XTM.vuio[glossary.section.start.settings.logging]	日誌記錄和診斷
K45::XTM.vuio[glossary.section.start.settings.localization]	本土化
K45::XTM.vuio[glossary.section.start.settings.support]	支援連結
K45::XTM.vuio[glossary.section.lines.listing.modes]	運輸方式
K45::XTM.vuio[glossary.section.lines.listing.passengerCargo]	客運和貨運過濾器
K45::XTM.vuio[glossary.section.lines.listing.serviceState]	服務狀態過濾器
K45::XTM.vuio[glossary.section.lines.listing.sorting]	排序
K45::XTM.vuio[glossary.section.lines.listing.cards]	讀取線路卡
K45::XTM.vuio[glossary.section.lines.identity.name]	線路名稱
K45::XTM.vuio[glossary.section.lines.identity.routeNumber]	內部路由號碼
K45::XTM.vuio[glossary.section.lines.identity.displayId]	顯示標識符
K45::XTM.vuio[glossary.section.lines.identity.shields]	盾牌形狀和徽章
K45::XTM.vuio[glossary.section.lines.identity.color]	固定顏色與調色盤顏色
K45::XTM.vuio[glossary.section.lines.scheduling.dayNight]	日夜
K45::XTM.vuio[glossary.section.lines.scheduling.dayOnly]	僅限白天
K45::XTM.vuio[glossary.section.lines.scheduling.nightOnly]	僅限夜間
K45::XTM.vuio[glossary.section.lines.scheduling.disabled]	殘障人士
K45::XTM.vuio[glossary.section.lines.scheduling.openDetails]	開線詳情
K45::XTM.vuio[glossary.section.lines.stopOrder.firstStop]	第一站
K45::XTM.vuio[glossary.section.lines.stopOrder.symmetric]	對稱路線
K45::XTM.vuio[glossary.section.lines.stopOrder.opposite]	對面平台
K45::XTM.vuio[glossary.section.map.linear.switch]	從香草切換
K45::XTM.vuio[glossary.section.map.linear.whiteBg]	白色背景
K45::XTM.vuio[glossary.section.map.linear.halfTrip]	半行程模式
K45::XTM.vuio[glossary.section.map.stops.names]	車站名稱及建築物
K45::XTM.vuio[glossary.section.map.stops.distances]	距離
K45::XTM.vuio[glossary.section.map.stops.districts]	地區邊界
K45::XTM.vuio[glossary.section.map.stops.outside]	外部連接
K45::XTM.vuio[glossary.section.map.interchanges.connected]	連接線
K45::XTM.vuio[glossary.section.map.interchanges.select]	選擇連結路線
K45::XTM.vuio[glossary.section.map.vehicles.live]	直播車輛位置
K45::XTM.vuio[glossary.section.map.vehicles.nextArrival]	下次到達數據
K45::XTM.vuio[glossary.section.map.vehicles.odometer]	里程表及保養
K45::XTM.vuio[glossary.section.map.advanced.demand]	等待並載入需求
K45::XTM.vuio[glossary.section.map.advanced.lap]	全圈估計
K45::XTM.vuio[glossary.section.map.advanced.avgOccupancy]	平均入住率
K45::XTM.vuio[glossary.section.statistics.occupancy.concepts]	佔用率與平台擁擠度
K45::XTM.vuio[glossary.section.statistics.occupancy.howCalculated]	入住率如何計算
K45::XTM.vuio[glossary.section.statistics.occupancy.mapDisplay]	地圖顯示模式
K45::XTM.vuio[glossary.section.statistics.occupancy.segmentDetails]	細分詳情
K45::XTM.vuio[glossary.section.statistics.occupancy.cityReports]	城市報告
K45::XTM.vuio[glossary.section.statistics.occupancy.listing]	上市整合
K45::XTM.vuio[glossary.section.groups.fareBasics.create]	建立和刪除群組
K45::XTM.vuio[glossary.section.groups.fareBasics.default]	預設票價和免費旅行
K45::XTM.vuio[glossary.section.groups.fareTime.exceptions]	小時例外
K45::XTM.vuio[glossary.section.groups.fareTime.preview]	票價表預覽
K45::XTM.vuio[glossary.section.groups.fareMembership.assign]	分配線路
K45::XTM.vuio[glossary.section.groups.fareMembership.shared]	共享更改警告
K45::XTM.vuio[glossary.section.groups.modelBasics.scope]	運輸類型及貨物範圍
K45::XTM.vuio[glossary.section.groups.compositions.primary]	主要和次要車輛
K45::XTM.vuio[glossary.section.groups.compositions.duplicates]	重複預防和限制
K45::XTM.vuio[glossary.section.groups.modelMembership.assign]	從行或批量分配
K45::XTM.vuio[glossary.section.groups.incompatibilities.external]	外部政策與模式衝突
K45::XTM.vuio[glossary.section.appearance.library.city]	城市調色板
K45::XTM.vuio[glossary.section.appearance.library.default]	預設庫
K45::XTM.vuio[glossary.section.appearance.library.import]	導入 .hex 檔案
