key	ru-RU
K45::XTM.vuio[weIntegrationBlinds.saveStep]	Сохранить шаг
K45::XTM.vuio[weIntegrationBlinds.staticKeyframeIdx]	Ключевой кадр для использования в качестве статического слепого
K45::XTM.vuio[weIntegrationBlinds.suffixShort]	Суффикс
K45::XTM.vuio[weIntegrationBlinds.theEndOfLine]	<Конец строки>
K45::XTM.vuio[weIntegrationBlinds.title]	Пишите везде - Жалюзи на заказ
K45::XTM.vuio[weIntegrationBlinds.useUntilStop]	Использовать до остановки
K45::XTM.vuio[weIntegrationBlinds.deleteStep]	Удалить шаг
K45::XTM.vuio[weIntegrationBlinds.moveDown]	Двигаться вниз
K45::XTM.vuio[weIntegrationBlinds.moveUp]	Вверх
K45::XTM.vuio[weIntegrationBlinds.resetDefaults]	Сбросить настройки по умолчанию
K45::XTM.vuio[weIntegrationBlinds.useUntil]	Использовать до: {stationName}
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityName]	Конечная остановка шага
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityNameOrDistrict]	Остановка назначения, район или дорога
K45::XTM.vuio[weIntegrationBlinds.keyframeType.FixedString]	Статический текст
K45::XTM.vuio[weIntegrationBlinds.keyframeType.NextStopSimple]	Следующая остановка
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteName]	Название маршрута
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteNumber]	Номер маршрута
K45::XTM.vuio[lineStationDetail.waiting.cargo]	Груз хранится в ожидании: {quantity}
K45::XTM.vuio[lineStationDetail.waiting.passengers]	Пассажиры ждут: {quantity}
::TUI	пользовательский интерфейс
::GLineListing	Список строк
::LUseXtmLineListingDefault	Использовать список строк XTM по умолчанию
::DUseXtmLineListingDefault	«Если этот параметр включен, обзор транспорта открывается со списком карт XTM. Если он отключен, он открывается с обычной таблицей. Переключатель заголовка по-прежнему переключает стили для текущего сеанса».
K45::XTM.vuio[lineList.toggleXtmListing]	Альтернативный список строк XTM
K45::XTM.vuio[lineList.showAll]	Показать все
K45::XTM.vuio[lineList.hideAll]	Скрыть все
K45::XTM.vuio[lineList.passengerLines]	Пассажирские линии
K45::XTM.vuio[lineList.cargoRoutes]	Грузовые маршруты
K45::XTM.vuio[lineList.linesCurrentFilterFormat]	{LINECOUNT} строк
K45::XTM.vuio[lineList.title]	Линии
K45::XTM.vuio[lineList.filterDisabled]	Неполноценный
K45::XTM.vuio[lineList.filterDayNight]	День и ночь
K45::XTM.vuio[lineList.filterDay]	Только день
K45::XTM.vuio[lineList.filterNight]	Только ночь
K45::XTM.vuio[lineList.lineDisabled]	Линия отключена
K45::XTM.vuio[lineList.sort.title]	Сортировать строки
K45::XTM.vuio[lineList.sort.routeNumber]	Номер строки
K45::XTM.vuio[lineList.sort.acronym]	Линейная аббревиатура
K45::XTM.vuio[lineList.sort.length]	Длина линии
K45::XTM.vuio[lineList.sort.usage]	Использование линии (%)
K45::XTM.vuio[lineList.sort.cargo]	Пассажиров/Грузов в месяц
K45::XTM.vuio[lineList.sort.schedule]	Состояние планирования
K45::XTM.vuio[lineList.openDetails]	Подробности
K45::XTM.vuio[lineList.editColor]	Изменить цвет линии
K45::XTM.vuio[lineList.restorePalette]	Восстановить цвет палитры
K45::XTM.vuio[lineList.editIdentity]	Изменить аббревиатуру/номер строки
K45::XTM.vuio[lineList.edit.acronym]	Линейная аббревиатура
K45::XTM.vuio[lineList.edit.internalNumber]	Внутренний номер линии
K45::XTM.vuio[lineList.noMatchingLines]	Нет совпадающих строк
K45::XTM.vuio[lineList.noLinesInCity]	Очередей в городе нет.
K45::XTM.vuio[lineStationDetail.crowdness]	{waiting} / {capacity} ({percent})
K45::XTM.vuio[lineViewer.showPlatformCrowdnessLbl]	Показать переполненность платформ
K45::XTM.vuio[lineViewer.occupancyTooltip]	Средняя загруженность автомобиля между {startHour} и {endHour}.
K45::XTM.vuio[lineViewer.occupancyHeadingTo]	Транспортные средства, направляющиеся в: {to}
K45::XTM.vuio[lineViewer.occupancyDayAverage]	Средняя заполняемость в день: {value}
K45::XTM.vuio[lineViewer.segmentOccupancyDisplayed]	Отображается занятость сегмента: {mode}
K45::XTM.vuio[lineViewer.segmentOccupancyMenuTitle]	Заполняемость сегмента
K45::XTM.vuio[lineViewer.segmentOccupancyMode.none]	Никто
K45::XTM.vuio[lineViewer.segmentOccupancyMode.currentHour]	Текущий час
K45::XTM.vuio[lineViewer.segmentOccupancyMode.dayAverage]	Среднесуточное значение
K45::XTM.vuio[lineViewer.segmentOccupancyMode.00_04]	0ч ~ 4ч
K45::XTM.vuio[lineViewer.segmentOccupancyMode.04_08]	4 часа ~ 8 часов
K45::XTM.vuio[lineViewer.segmentOccupancyMode.08_12]	8 часов ~ 12 часов
K45::XTM.vuio[lineViewer.segmentOccupancyMode.12_16]	12 часов ~ 16 часов
K45::XTM.vuio[lineViewer.segmentOccupancyMode.16_20]	16:00 ~ 20:00
K45::XTM.vuio[lineViewer.segmentOccupancyMode.20_24]	20 ч ~ 24 ч
K45::XTM.vuio[lineViewer.occupancyDayAverageTooltip]	Средняя загруженность автомобиля в течение дня.
K45::XTM.vuio[lineViewer.lineHistoricalOccupancy]	Историческая занятость
K45::XTM.vuio[occupancyReport.changeMode]	Изменить режим
K45::XTM.vuio[occupancyReport.mode.listing]	Список строк
K45::XTM.vuio[occupancyReport.mode.occupancyPassengers]	Отчет о занятости: Пассажиры
K45::XTM.vuio[occupancyReport.mode.occupancyCargo]	Отчет о занятости: груз
K45::XTM.vuio[occupancyReport.refreshData]	Обновить данные
K45::XTM.vuio[occupancyReport.dataAsOf]	Данные на {datetime}
K45::XTM.vuio[occupancyReport.topLinesTitle]	Лучшие места по заполняемости 30-го процентиля
K45::XTM.vuio[occupancyReport.topSegmentsTitle]	Лучшие сегменты по вместимости
K45::XTM.vuio[occupancyReport.columnOverall]	Общий
K45::XTM.vuio[occupancyReport.noData]	Нет данных
K45::XTM.vuio[occupancyReport.loading]	Загрузка…
K45::XTM.vuio[occupancyReport.backToOverview]	Вернуться к обзору
K45::XTM.vuio[occupancyReport.topLimited]	Лучшие {count}
K45::XTM.vuio[fareGroups.mode]	Группы тарифов
K45::XTM.vuio[fareGroups.screenTitle]	Группы тарифов
K45::XTM.vuio[fareGroups.groupCount]	{count} групп
K45::XTM.vuio[fareGroups.listTitle]	Группы
K45::XTM.vuio[fareGroups.addGroup]	Добавить тарифную группу
K45::XTM.vuio[fareGroups.loading]	Загрузка…
K45::XTM.vuio[fareGroups.emptyList]	Тарифных групп пока нет
K45::XTM.vuio[fareGroups.selectGroup]	Выберите группу тарифов
K45::XTM.vuio[fareGroups.unnamed]	Безымянная группа
K45::XTM.vuio[fareGroups.fareFree]	Бесплатно
K45::XTM.vuio[fareGroups.lineCount]	{count} строк
K45::XTM.vuio[fareGroups.delete.tooltip]	Удалить группу тарифов
K45::XTM.vuio[fareGroups.delete.title]	Удалить группу тарифов
K45::XTM.vuio[fareGroups.delete.message]	Вы уверены, что хотите удалить группу тарифов "{name}"?
K45::XTM.vuio[fareGroups.field.name]	Имя
K45::XTM.vuio[fareGroups.field.defaultFare]	Тариф по умолчанию
K45::XTM.vuio[fareGroups.exceptions.title]	Часовые исключения
K45::XTM.vuio[fareGroups.exceptions.empty]	Никаких исключений
K45::XTM.vuio[fareGroups.exceptions.startHour]	Начинать
K45::XTM.vuio[fareGroups.exceptions.endHour]	Конец
K45::XTM.vuio[fareGroups.exceptions.fare]	Тариф
K45::XTM.vuio[fareGroups.exceptions.remove]	Удалить исключение
K45::XTM.vuio[fareGroups.exceptions.add]	Добавить исключение
K45::XTM.vuio[fareGroups.exceptions.errorMax]	Максимум исключений: {count}.
K45::XTM.vuio[fareGroups.exceptions.errorOverlap]	Часы исключений не должны пересекаться
K45::XTM.vuio[fareGroups.exceptions.errorInvalid]	Неверный диапазон часов
K45::XTM.vuio[fareGroups.exceptions.saveBlocked]	Исправьте часы исключений, прежде чем изменения можно будет сохранить.
K45::XTM.vuio[fareGroups.linkedLines]	Линии в этой группе
K45::XTM.vuio[fareGroups.linkedEmpty]	Нет связанных строк
K45::XTM.vuio[fareGroups.availableLines]	Доступные строки для ссылки на эту группу
K45::XTM.vuio[fareGroups.availableEmpty]	Нет совпадающих строк
K45::XTM.vuio[fareGroups.removeLine]	Удалить строку из группы
K45::XTM.vuio[fareGroups.addLine]	Добавить строку в группу
K45::XTM.vuio[fareGroups.otherGroup.unknown]	другая группа
K45::XTM.vuio[fareGroups.otherGroup.warning]	Принадлежит к {group}. Добавление его сюда приведет к удалению его из этой группы.
K45::XTM.vuio[fareGroups.exceptions.summary]	{start}:00 до {end}:59 применяются тарифы {fare}¢
K45::XTM.vuio[fareGroups.exceptions.summaryFree]	Бесплатный проезд будет действовать с {start}:00 до {end}:59.
K45::XTM.vuio[fareGroups.filterAssigned]	Линии, уже назначенные группе
K45::XTM.vuio[fareGroups.addAllFiltered]	Добавить все отфильтрованные строки в эту группу
K45::XTM.vuio[fareGroups.removeAllLines]	Удалить все строки из этой группы
K45::XTM.vuio[fareGroups.ticketPrice.managedBy]	Эта линия принадлежит группе тарифов {name}. Текущий тариф: <{fare}>.\nИзменение этого тарифа повлияет на <{count}> линий.
K45::XTM.vuio[fareGroups.ticketPrice.editGroup]	Изменить группу тарифов
K45::XTM.vuio[fareGroups.ticketPrice.andOthers]	... и еще {count}
K45::XTM.vuio[vehicleModelGroups.unnamed]	Неназванная группа моделей автомобилей
K45::XTM.vuio[vehicleModelGroups.sort.title]	Сортировать автомобили
K45::XTM.vuio[vehicleModelGroups.sort.name]	Имя
K45::XTM.vuio[vehicleModelGroups.sort.capacity]	Емкость
K45::XTM.vuio[vehicleModelGroups.sort.length]	Общая длина
K45::XTM.vuio[vehicleModelGroups.mode]	Группы моделей транспортных средств
K45::XTM.vuio[vehicleModelGroups.screenTitle]	Группы моделей транспортных средств
K45::XTM.vuio[vehicleModelGroups.groupCount]	{count} групп
K45::XTM.vuio[vehicleModelGroups.listTitle]	Группы
K45::XTM.vuio[vehicleModelGroups.addGroup]	Добавить группу моделей автомобилей
K45::XTM.vuio[vehicleModelGroups.loading]	Загрузка…
K45::XTM.vuio[vehicleModelGroups.typeMenu.empty]	Нет типа транспорта
K45::XTM.vuio[vehicleModelGroups.typeMenuTitle]	Выберите тип транспорта для редактирования
K45::XTM.vuio[vehicleModelGroups.emptyList]	Для этого типа пока нет групп моделей автомобилей.
K45::XTM.vuio[vehicleModelGroups.selectGroup]	Выберите группу моделей автомобилей
K45::XTM.vuio[vehicleModelGroups.modelCount]	{count} моделей
K45::XTM.vuio[vehicleModelGroups.lineCount]	{count} строк
K45::XTM.vuio[vehicleModelGroups.delete.tooltip]	Удалить группу моделей автомобилей
K45::XTM.vuio[vehicleModelGroups.delete.title]	Удалить группу моделей автомобилей
K45::XTM.vuio[vehicleModelGroups.delete.message]	Вы уверены, что хотите удалить группу моделей транспортных средств "{name}"?
K45::XTM.vuio[vehicleModelGroups.field.name]	Имя
K45::XTM.vuio[vehicleModelGroups.modelsRequired]	Добавьте хотя бы одну композицию с транспортным средством, прежде чем изменения можно будет сохранить.
K45::XTM.vuio[vehicleModelGroups.compositions]	Композиции
K45::XTM.vuio[vehicleModelGroups.compositionsEmpty]	Композиций пока нет — добавьте одну, чтобы выбрать технику
K45::XTM.vuio[vehicleModelGroups.addComposition]	Добавить композицию
K45::XTM.vuio[vehicleModelGroups.removeComposition]	Удалить композицию
K45::XTM.vuio[vehicleModelGroups.pickVehicle]	Выбрать автомобиль
K45::XTM.vuio[vehicleModelGroups.pickPrimary]	Выберите двигатель/основной
K45::XTM.vuio[vehicleModelGroups.pickCarriage]	Выбрать карету
K45::XTM.vuio[vehicleModelGroups.linkedLines]	Линии в этой группе
K45::XTM.vuio[vehicleModelGroups.linkedEmpty]	Нет связанных строк
K45::XTM.vuio[vehicleModelGroups.availableLines]	Доступные строки для ссылки на эту группу
K45::XTM.vuio[vehicleModelGroups.availableEmpty]	Нет совпадающих строк
K45::XTM.vuio[vehicleModelGroups.filterAssigned]	Линии, уже назначенные группе
K45::XTM.vuio[vehicleModelGroups.addAllFiltered]	Добавить все отфильтрованные строки в эту группу
K45::XTM.vuio[vehicleModelGroups.addLine]	Добавить строку в группу
K45::XTM.vuio[vehicleModelGroups.removeLine]	Удалить строку из группы
K45::XTM.vuio[vehicleModelGroups.removeAllLines]	Удалить все строки из этой группы
K45::XTM.vuio[vehicleModelGroups.otherGroup.unknown]	другая группа
K45::XTM.vuio[vehicleModelGroups.otherGroup.warning]	Принадлежит к {group}. Добавление его сюда приведет к удалению его из этой группы.
K45::XTM.vuio[vehicleModelGroups.carriage]	Перевозка
K45::XTM.vuio[vehicleModelGroups.stat.cap]	КАП
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltip]	Пассажировместимость
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltipCargo]	Грузоподъемность
K45::XTM.vuio[vehicleModelGroups.stat.units]	ЕДИНИЦЫ
K45::XTM.vuio[vehicleModelGroups.stat.units.tooltip]	Количество единиц состава
K45::XTM.vuio[vehicleModelGroups.stat.len.unit]	УЛЕН
K45::XTM.vuio[vehicleModelGroups.stat.len.unit.tooltip]	Длина одного автомобиля
K45::XTM.vuio[vehicleModelGroups.stat.len]	ЛЕН
K45::XTM.vuio[vehicleModelGroups.stat.len.tooltip]	Общая длина автомобиля
K45::XTM.vuio[vehicleModelGroups.stat.len.paired.tooltip]	Общая длина состава:\нуд. × (двигатель + вагоны × (вагоны − 1))
K45::XTM.vuio[vehicleModelGroups.stat.unit.pax]	чел.
K45::XTM.vuio[vehicleModelGroups.stat.unit.weight]	кг
K45::XTM.vuio[vehicleModelGroups.stat.unit.cars]	автомобили
K45::XTM.vuio[vehicleModelGroups.stat.unit.meters]	м
K45::XTM.vuio[vehicleModelGroups.selectVehicles.managedBy]	Эта строка принадлежит группе моделей транспортных средств <{name}>.\nИзменение этих моделей повлияет на строки <{count}>.
K45::XTM.vuio[vehicleModelGroups.selectVehicles.editGroup]	Изменить группу моделей автомобилей
K45::XTM.vuio[vehicleModelGroups.selectVehicles.removeFromGroup]	Удалить из группы
K45::XTM.vuio[vehicleModelGroups.selectVehicles.moveToGroup]	Перейти в другую группу
K45::XTM.vuio[vehicleModelGroups.selectVehicles.andOthers]	... и еще {count}
K45::XTM.vuio[fareGroups.ticketPrice.removeFromGroup]	Удалить из группы
K45::XTM.vuio[fareGroups.ticketPrice.moveToGroup]	Перейти в другую группу
K45::XTM.vuio[fareGroups.fareTable.title]	График тарифов
K45::XTM.vuio[fareGroups.fareTable.default]	По умолчанию
K45::XTM.vuio[fareGroups.fareTable.hours]	{start}:00 – {end}:59
K45::XTM.vuio[managedGroups.sip.menuTooltip]	Параметры групп
K45::XTM.vuio[managedGroups.sip.noGroupsAvailable]	<Нет доступных групп>
K45::XTM.vuio[managedGroups.sip.assignFareTitle]	Присвоить тарифной группе
K45::XTM.vuio[managedGroups.sip.assignModelsTitle]	Присвоить группе моделей автомобилей
K45::XTM.vuio[managedGroups.sip.manageFareGroups]	Управление группами тарифов
K45::XTM.vuio[managedGroups.sip.manageModelGroups]	Управление группами моделей автомобилей
K45::XTM.vuio[lineViewerEditor.internalNumber]	Номер внутреннего маршрута
K45::XTM.vuio[lineViewerEditor.internalNumber.tooltip]	Используется палитрами и именованием
K45::XTM.vuio[lineViewerEditor.displayIdentifier]	Идентификатор маршрута
K45::XTM.vuio[lineViewerEditor.displayIdentifier.tooltip]	Переопределяет номер маршрута при создании имени и щита.
K45::XTM.vuio[lineViewerEditor.ignorePalette]	Использовать фиксированный цвет
K45::XTM.vuio[lineViewerEditor.ignorePalette.tooltip]	Игнорировать настройки палитры для этой строки
K45::XTM.vuio[lineList.editName]	Изменить название строки
K45::XTM.vuio[lineViewer.advancedData]	Расширенная статистика
K45::XTM.vuio[palettes.section.passengers]	Пассажиры
K45::XTM.vuio[palettes.section.cargo]	Груз
K45::XTM.vuio[palettes.paletteCount]	{count} палитр
K45::XTM.vuio[paletteEditor.import.invalidFile]	Недопустимый файл палитры
::GEditor	Редактор
::LShowEditorPalettesButton	Кнопка «Показать палитры» в редакторе
::DShowEditorPalettesButton	«Если этот параметр включен, на панель инструментов редактора добавляется кнопка XTM, позволяющая открыть библиотеку палитр. Вступает в силу при следующем входе в режим редактора».
Editor.TOOL[k45__xtm_MainWindow]	XTM: настройки палитры
K45::XTM.vuio[paletteEditor.appendPalette]	Добавить палитру
K45::XTM.vuio[paletteEditor.append.title]	Добавить палитру
K45::XTM.vuio[paletteEditor.append.prompt]	Выберите файл .hex для добавления. Его цвета будут добавлены в конец текущей палитры.
K45::XTM.vuio[paletteEditor.copyPalette]	Копировать палитру
K45::XTM.vuio[paletteEditor.pasteReplacePalette]	Вставить палитру (заменить)
K45::XTM.vuio[paletteEditor.pasteAppendPalette]	Вставить палитру (добавить)
K45::XTM.vuio[paletteEditor.resetChanges]	Сбросить изменения
K45::XTM.vuio[paletteEditor.clipboard.invalid]	Буфер обмена не содержит допустимой палитры .hex.
K45::XTM.vuio[paletteEditor.clipboard.copyFailed]	Не удалось скопировать в буфер обмена
K45::XTM.vuio[paletteEditor.clipboard.pasteFailed]	Не удалось прочитать буфер обмена
K45::XTM.vuio[paletteEditor.clipboard.copied]	Палитра скопирована
K45::XTM.vuio[paletteEditor.reset.title]	Сбросить изменения
K45::XTM.vuio[paletteEditor.reset.message]	Отменить несохраненные изменения в этой палитре? Это невозможно отменить.
K45::XTM.vuio[glossary.toggleXtm]	Глоссарий ХТМ
K45::XTM.vuio[glossary.title]	Энциклопедия ХТМ
K45::XTM.vuio[glossary.tab.overview]	Обзор ХТМ
K45::XTM.vuio[glossary.index.title]	Расширенный транспортный менеджер
K45::XTM.vuio[glossary.index.intro]	«XTM расширяет возможности общественного транспорта Cities: Skylines II с более богатым управлением линиями, информацией о занятости, группами тарифов, группами моделей транспортных средств и палитрами. Этот глоссарий документирует эти инструменты — начните здесь, чтобы получить обзор того, что добавляет мод».
K45::XTM.vuio[glossary.index.sectionsHeading]	Предстоящая документация
K45::XTM.vuio[glossary.index.bodyHeading]	Добро пожаловать
K45::XTM.vuio[glossary.index.body]	Используйте кнопку XTM справа от этой панели, чтобы переключаться между Энциклопедией игры и собственной справкой XTM. Подробные разделы будут появляться в списке слева по мере их написания.
K45::XTM.vuio[glossary.index.placeholderNote]	Записи разделов на данный момент являются заполнителями — содержимое будет добавлено в более позднем обновлении.
K45::XTM.vuio[glossary.index.placeholder.overview]	Обзор мода
K45::XTM.vuio[glossary.index.placeholder.lines]	Линии и обзорный список
K45::XTM.vuio[glossary.index.placeholder.fares]	Тарифы и стоимость билетов
K45::XTM.vuio[glossary.index.placeholder.vehicles]	Группы моделей автомобилей
K45::XTM.vuio[glossary.index.placeholder.palettes]	Цветовые палитры линий
K45::XTM.vuio[glossary.search.placeholder]	Поиск…
K45::XTM.vuio[glossary.packFilter]	Пакеты
K45::XTM.vuio[glossary.packFilter.all]	Все пакеты
K45::XTM.vuio[glossary.tableOfContents]	Оглавление
K45::XTM.vuio[glossary.tab.all]	Все
K45::XTM.vuio[glossary.tab.start]	Начните здесь
K45::XTM.vuio[glossary.tab.lines]	Линии и маршруты
K45::XTM.vuio[glossary.tab.map]	Карта и сеть
K45::XTM.vuio[glossary.tab.statistics]	Статистика
K45::XTM.vuio[glossary.tab.groups]	Тарифы и модели транспортных средств
K45::XTM.vuio[glossary.tab.appearance]	Палитры и интеграции
K45::XTM.vuio[glossary.category.start.overview]	Обзор
K45::XTM.vuio[glossary.category.start.gettingAround]	Передвижение
K45::XTM.vuio[glossary.category.start.settings]	Настройки и поддержка
K45::XTM.vuio[glossary.category.lines.listing]	Листинг и фильтры
K45::XTM.vuio[glossary.category.lines.identity]	Айдентика и внешний вид
K45::XTM.vuio[glossary.category.lines.scheduling]	Планирование и действия
K45::XTM.vuio[glossary.category.lines.stopOrder]	Стоп-ордер
K45::XTM.vuio[glossary.category.map.linear]	Линейная карта XTM
K45::XTM.vuio[glossary.category.map.stops]	Остановки и география
K45::XTM.vuio[glossary.category.map.interchanges]	Развязки
K45::XTM.vuio[glossary.category.map.vehicles]	Транспортные средства
K45::XTM.vuio[glossary.category.map.advanced]	Расширенные данные линии
K45::XTM.vuio[glossary.category.statistics.occupancy]	Заполняемость и скученность
K45::XTM.vuio[glossary.category.groups.fareBasics]	Группы тарифов
K45::XTM.vuio[glossary.category.groups.fareTime]	Тарифы, основанные на времени
K45::XTM.vuio[glossary.category.groups.fareMembership]	Членство в тарифе
K45::XTM.vuio[glossary.category.groups.modelBasics]	Основы модельной группы
K45::XTM.vuio[glossary.category.groups.compositions]	Композиции
K45::XTM.vuio[glossary.category.groups.modelMembership]	Модельное членство
K45::XTM.vuio[glossary.category.groups.incompatibilities]	Несовместимости
K45::XTM.vuio[glossary.category.appearance.library]	Библиотека палитр
K45::XTM.vuio[glossary.category.appearance.editing]	Редактирование палитры
K45::XTM.vuio[glossary.category.appearance.autoColor]	Автоматическая окраска
K45::XTM.vuio[glossary.category.appearance.we]	Пишите везде
K45::XTM.vuio[glossary.section.start.overview.whatAdds]	Что добавляет XTM
K45::XTM.vuio[glossary.section.start.overview.mainScreens]	Главные экраны и переключатель XTM
K45::XTM.vuio[glossary.section.start.overview.linesVsCargo]	Пассажирские и грузовые маршруты
K45::XTM.vuio[glossary.section.start.gettingAround.overview]	Обзор транспорта
K45::XTM.vuio[glossary.section.start.gettingAround.sip]	Выбранная информационная панель
K45::XTM.vuio[glossary.section.start.gettingAround.linearMap]	Линейная карта
K45::XTM.vuio[glossary.section.start.gettingAround.editorPalettes]	Инструмент «Редактор палитры»
K45::XTM.vuio[glossary.section.start.settings.uiDefaults]	Настройки пользовательского интерфейса по умолчанию
