key	en-US	pt-BR
K45::XTM.vuio[weIntegrationBlinds.cancel]	Cancel	Cancelar
K45::XTM.vuio[weIntegrationBlinds.copyToClipboard]	Copy to clipboard	Copiar para a área de transferência
K45::XTM.vuio[weIntegrationBlinds.editStep]	Edit	Editar
K45::XTM.vuio[weIntegrationBlinds.fixedStringShort]	Fixed text	Texto fixo
K45::XTM.vuio[weIntegrationBlinds.framesLblShort]	Duration (frames)	Duração (quadros)
K45::XTM.vuio[weIntegrationBlinds.framesNumberFmt]	shown during {frames} frames	aparece por {frames} quadros
K45::XTM.vuio[weIntegrationBlinds.keyframesTitle]	Keyframes	Quadros
K45::XTM.vuio[weIntegrationBlinds.pasteFromClipboard]	Erase all and paste from clipboard	Apagar tudo e colar da área de transferência
K45::XTM.vuio[weIntegrationBlinds.prefixShort]	Prefix	Prefixo
K45::XTM.vuio[weIntegrationBlinds.removeStep]	Remove	Remover
K45::XTM.vuio[weIntegrationBlinds.sampleFormat]	"Static sample: ""{sampleValue}"" ({sampleType}) - Total Keyframes: {keyframeCount}"	"Exemplo estático: ""{sampleValue}"" ({sampleType}) - Total de quadros: {keyframeCount}"
K45::XTM.vuio[weIntegrationBlinds.saveStep]	Save step	Salvar passo
K45::XTM.vuio[weIntegrationBlinds.staticKeyframeIdx]	Keyframe to use as static blind	Quadro a usar quando no modelo estático
K45::XTM.vuio[weIntegrationBlinds.suffixShort]	Suffix	Sufixo
K45::XTM.vuio[weIntegrationBlinds.theEndOfLine]	<End of the line>	<Final da linha>
K45::XTM.vuio[weIntegrationBlinds.title]	Write Everywhere - Custom blindsadssssssssssssss	Write Everywhere - Letreiros customizados
K45::XTM.vuio[weIntegrationBlinds.useUntilStop]	Use until stop	Usar até a parada
K45::XTM.vuio[weIntegrationBlinds.deleteStep]	Delete step	Apagar passo
K45::XTM.vuio[weIntegrationBlinds.moveDown]	Move down	Mover abaixo
K45::XTM.vuio[weIntegrationBlinds.moveUp]	Move up	Mover acima
K45::XTM.vuio[weIntegrationBlinds.resetDefaults]	Reset to defaults	Restaurar padrões
K45::XTM.vuio[weIntegrationBlinds.useUntil]	Use until: {stationName}	Usar até a parada: {stationName}
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityName]	Destination stop of the step	Parada de destino do passo
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityNameOrDistrict]	Destination stop or district or Road	Parada de destino ou distrito ou via
K45::XTM.vuio[weIntegrationBlinds.keyframeType.FixedString]	Static text	Texto estático
K45::XTM.vuio[weIntegrationBlinds.keyframeType.NextStopSimple]	Next stop	Próxima parada
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteName]	Route name	Nome da rota/linha
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteNumber]	Route number	Número da rota/linha
K45::XTM.vuio[lineStationDetail.waiting.cargo]	Cargo stored waiting: {quantity}	Carga estocada aguardando: {quantity}
K45::XTM.vuio[lineStationDetail.waiting.passengers]	Passengers waiting: {quantity}	Passageiros aguardando: {quantity}
::TUI	UI	UI
::GLineListing	Line listing	Listagem de linhas
::LUseXtmLineListingDefault	Use XTM line listing by default	Usar listagem XTM por padrão
::DUseXtmLineListingDefault	"When enabled, the Transportation Overview opens with the XTM card listing. When disabled, it opens with the vanilla table. The header toggle still switches styles for the current session."	"Quando ativado, a Visão Geral de Transporte abre com a listagem em cards do XTM. Quando desativado, abre com a tabela vanilla. O botão no cabeçalho ainda alterna o estilo na sessão atual."
K45::XTM.vuio[lineList.toggleXtmListing]	XTM line listing	Listagem XTM de linhas
K45::XTM.vuio[lineList.showAll]	Show all	Mostrar todas
K45::XTM.vuio[lineList.hideAll]	Hide all	Ocultar todas
K45::XTM.vuio[lineList.passengerLines]	Passenger lines	Linhas de passageiros
K45::XTM.vuio[lineList.cargoRoutes]	Cargo routes	Rotas de carga
K45::XTM.vuio[lineList.linesCurrentFilterFormat]	{LINECOUNT} lines	{LINECOUNT} linhas
K45::XTM.vuio[lineList.title]	Lines	Linhas
K45::XTM.vuio[lineList.filterDisabled]	Disabled	Desativadas
K45::XTM.vuio[lineList.filterDayNight]	Day & night	Dia e noite
K45::XTM.vuio[lineList.filterDay]	Day only	Somente dia
K45::XTM.vuio[lineList.filterNight]	Night only	Somente noite
K45::XTM.vuio[lineList.lineDisabled]	Line disabled	Linha desativada
K45::XTM.vuio[lineList.sort.title]	Sort lines	Ordenar linhas
K45::XTM.vuio[lineList.sort.routeNumber]	Line number	Número da linha
K45::XTM.vuio[lineList.sort.acronym]	Line acronym	Sigla da linha
K45::XTM.vuio[lineList.sort.length]	Line length	Comprimento da linha
K45::XTM.vuio[lineList.sort.usage]	Line usage (%)	Uso da linha (%)
K45::XTM.vuio[lineList.sort.cargo]	Passengers/Cargo per month	Passageiros/Carga por mês
K45::XTM.vuio[lineList.sort.schedule]	Scheduling state	Estado de agendamento
K45::XTM.vuio[lineList.openDetails]	Details	Detalhes
K45::XTM.vuio[lineList.editColor]	Change line color	Alterar cor da linha
K45::XTM.vuio[lineList.restorePalette]	Restore palette color	Restaurar cor da paleta
K45::XTM.vuio[lineList.editIdentity]	Edit line acronym / number	Editar sigla / número da linha
K45::XTM.vuio[lineList.edit.acronym]	Line acronym	Sigla da linha
K45::XTM.vuio[lineList.edit.internalNumber]	Internal line number	Número interno da linha
