key	zh-HANS
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityName]	步骤的目标站点
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityNameOrDistrict]	目的地站或地区或道路
K45::XTM.vuio[weIntegrationBlinds.keyframeType.FixedString]	静态文本
K45::XTM.vuio[weIntegrationBlinds.keyframeType.NextStopSimple]	下一站
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteName]	路线名称
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteNumber]	路线编号
K45::XTM.vuio[lineStationDetail.waiting.cargo]	存放等待的货物：{quantity}
K45::XTM.vuio[lineStationDetail.waiting.passengers]	等待的乘客：{quantity}
::TUI	用户界面
::GLineListing	线路列表
::LUseXtmLineListingDefault	默认使用 XTM 行列表
::DUseXtmLineListingDefault	启用后，交通概览将打开并显示 XTM 卡列表。禁用后，将打开普通表格。标题切换仍会切换当前会话的样式。
K45::XTM.vuio[lineList.toggleXtmListing]	备用 XTM 系列列表
K45::XTM.vuio[lineList.showAll]	显示全部
K45::XTM.vuio[lineList.hideAll]	全部隐藏
K45::XTM.vuio[lineList.passengerLines]	客运线路
K45::XTM.vuio[lineList.cargoRoutes]	货运航线
K45::XTM.vuio[lineList.linesCurrentFilterFormat]	{LINECOUNT} 行
K45::XTM.vuio[lineList.title]	线路
K45::XTM.vuio[lineList.filterDisabled]	残疾人
K45::XTM.vuio[lineList.filterDayNight]	白天和黑夜
K45::XTM.vuio[lineList.filterDay]	仅限白天
K45::XTM.vuio[lineList.filterNight]	仅限夜间
K45::XTM.vuio[lineList.lineDisabled]	线路已禁用
K45::XTM.vuio[lineList.sort.title]	排序线
K45::XTM.vuio[lineList.sort.routeNumber]	行号
K45::XTM.vuio[lineList.sort.acronym]	线首字母缩略词
K45::XTM.vuio[lineList.sort.length]	线长
K45::XTM.vuio[lineList.sort.usage]	线路使用率（%）
K45::XTM.vuio[lineList.sort.cargo]	每月客运量/货运量
K45::XTM.vuio[lineList.sort.schedule]	调度状态
K45::XTM.vuio[lineList.openDetails]	细节
K45::XTM.vuio[lineList.editColor]	更改线条颜色
K45::XTM.vuio[lineList.restorePalette]	恢复调色板颜色
K45::XTM.vuio[lineList.editIdentity]	编辑行缩写/数字
K45::XTM.vuio[lineList.edit.acronym]	线首字母缩略词
K45::XTM.vuio[lineList.edit.internalNumber]	内部线号
K45::XTM.vuio[lineList.noMatchingLines]	没有匹配的线
K45::XTM.vuio[lineList.noLinesInCity]	市内没有线路
K45::XTM.vuio[lineStationDetail.crowdness]	{waiting} / {capacity} ({percent})
K45::XTM.vuio[lineViewer.showPlatformCrowdnessLbl]	显示平台拥挤度
K45::XTM.vuio[lineViewer.occupancyTooltip]	{startHour} 到 {endHour} 之间的平均车辆占用率。
K45::XTM.vuio[lineViewer.occupancyHeadingTo]	车辆前往：{to}
K45::XTM.vuio[lineViewer.occupancyDayAverage]	全天平均入住率：{value}
K45::XTM.vuio[lineViewer.segmentOccupancyDisplayed]	显示的航段占用率：{mode}
K45::XTM.vuio[lineViewer.segmentOccupancyMenuTitle]	航段占用率
K45::XTM.vuio[lineViewer.segmentOccupancyMode.none]	没有任何
K45::XTM.vuio[lineViewer.segmentOccupancyMode.currentHour]	当前时间
K45::XTM.vuio[lineViewer.segmentOccupancyMode.dayAverage]	日平均
K45::XTM.vuio[lineViewer.segmentOccupancyMode.00_04]	0小时～4小时
K45::XTM.vuio[lineViewer.segmentOccupancyMode.04_08]	4小时～8小时
K45::XTM.vuio[lineViewer.segmentOccupancyMode.08_12]	8小时～12小时
K45::XTM.vuio[lineViewer.segmentOccupancyMode.12_16]	12小时～16小时
K45::XTM.vuio[lineViewer.segmentOccupancyMode.16_20]	16小时～20小时
K45::XTM.vuio[lineViewer.segmentOccupancyMode.20_24]	20小时～24小时
K45::XTM.vuio[lineViewer.occupancyDayAverageTooltip]	全天平均车辆占用率。
K45::XTM.vuio[lineViewer.lineHistoricalOccupancy]	历史占用情况
K45::XTM.vuio[occupancyReport.changeMode]	改变模式
K45::XTM.vuio[occupancyReport.mode.listing]	线路列表
K45::XTM.vuio[occupancyReport.mode.occupancyPassengers]	占用报告：乘客
K45::XTM.vuio[occupancyReport.mode.occupancyCargo]	占用报告：货物
K45::XTM.vuio[occupancyReport.refreshData]	刷新数据
K45::XTM.vuio[occupancyReport.dataAsOf]	截至 {datetime} 的数据
K45::XTM.vuio[occupancyReport.topLinesTitle]	按 30% 入住率排列的热门线路
K45::XTM.vuio[occupancyReport.topSegmentsTitle]	按入住率排名靠前的细分市场
K45::XTM.vuio[occupancyReport.columnOverall]	全面的
K45::XTM.vuio[occupancyReport.noData]	无数据
K45::XTM.vuio[occupancyReport.loading]	加载中…
K45::XTM.vuio[occupancyReport.backToOverview]	返回概览
K45::XTM.vuio[occupancyReport.topLimited]	前 {count} 个
K45::XTM.vuio[fareGroups.mode]	票价组
K45::XTM.vuio[fareGroups.screenTitle]	票价组
K45::XTM.vuio[fareGroups.groupCount]	{count} 个群组
K45::XTM.vuio[fareGroups.listTitle]	团体
K45::XTM.vuio[fareGroups.addGroup]	添加票价组
K45::XTM.vuio[fareGroups.loading]	加载中…
K45::XTM.vuio[fareGroups.emptyList]	还没有票价组
K45::XTM.vuio[fareGroups.selectGroup]	选择票价组
K45::XTM.vuio[fareGroups.unnamed]	未命名组
K45::XTM.vuio[fareGroups.fareFree]	自由的
K45::XTM.vuio[fareGroups.lineCount]	{count} 行
K45::XTM.vuio[fareGroups.delete.tooltip]	删除票价组
K45::XTM.vuio[fareGroups.delete.title]	删除票价组
K45::XTM.vuio[fareGroups.delete.message]	您确定要删除票价组"{name}"吗？
K45::XTM.vuio[fareGroups.field.name]	姓名
K45::XTM.vuio[fareGroups.field.defaultFare]	默认票价
K45::XTM.vuio[fareGroups.exceptions.title]	小时例外
K45::XTM.vuio[fareGroups.exceptions.empty]	无一例外
K45::XTM.vuio[fareGroups.exceptions.startHour]	开始
K45::XTM.vuio[fareGroups.exceptions.endHour]	结尾
K45::XTM.vuio[fareGroups.exceptions.fare]	票价
K45::XTM.vuio[fareGroups.exceptions.remove]	移除异常
K45::XTM.vuio[fareGroups.exceptions.add]	添加例外
K45::XTM.vuio[fareGroups.exceptions.errorMax]	最多 {count} 个异常
K45::XTM.vuio[fareGroups.exceptions.errorOverlap]	例外时间不得重叠
K45::XTM.vuio[fareGroups.exceptions.errorInvalid]	小时范围无效
K45::XTM.vuio[fareGroups.exceptions.saveBlocked]	修复保存更改之前的异常时间
K45::XTM.vuio[fareGroups.linkedLines]	该组中的线路
K45::XTM.vuio[fareGroups.linkedEmpty]	没有链接的线路
K45::XTM.vuio[fareGroups.availableLines]	链接到该组的可用线路
K45::XTM.vuio[fareGroups.availableEmpty]	没有匹配的线
K45::XTM.vuio[fareGroups.removeLine]	从组中删除行
K45::XTM.vuio[fareGroups.addLine]	将线路添加到组中
K45::XTM.vuio[fareGroups.otherGroup.unknown]	另一组
K45::XTM.vuio[fareGroups.otherGroup.warning]	属于{group}。在此处添加它会将其从该组中删除。
K45::XTM.vuio[fareGroups.exceptions.summary]	票价 {fare}cent 将适用于 {start}:00 至 {end}:59
K45::XTM.vuio[fareGroups.exceptions.summaryFree]	免费旅行适用于 {start}:00 至 {end}:59
K45::XTM.vuio[fareGroups.filterAssigned]	线路已分配给组
K45::XTM.vuio[fareGroups.addAllFiltered]	将所有过滤的行添加到该组中
K45::XTM.vuio[fareGroups.removeAllLines]	删除该组中的所有行
K45::XTM.vuio[fareGroups.ticketPrice.managedBy]	此线路属于票价组 {name}。当前票价：<{fare}>。\n更改此票价将影响 <{count}> 条线路。
K45::XTM.vuio[fareGroups.ticketPrice.editGroup]	编辑票价组
K45::XTM.vuio[fareGroups.ticketPrice.andOthers]	...以及其他 {count} 个
K45::XTM.vuio[vehicleModelGroups.unnamed]	未命名车型组
K45::XTM.vuio[vehicleModelGroups.sort.title]	对车辆进行分类
K45::XTM.vuio[vehicleModelGroups.sort.name]	姓名
K45::XTM.vuio[vehicleModelGroups.sort.capacity]	容量
K45::XTM.vuio[vehicleModelGroups.sort.length]	总长度
K45::XTM.vuio[vehicleModelGroups.mode]	车型组
K45::XTM.vuio[vehicleModelGroups.screenTitle]	车型组
K45::XTM.vuio[vehicleModelGroups.groupCount]	{count} 个群组
K45::XTM.vuio[vehicleModelGroups.listTitle]	团体
K45::XTM.vuio[vehicleModelGroups.addGroup]	添加车型组
K45::XTM.vuio[vehicleModelGroups.loading]	加载中…
K45::XTM.vuio[vehicleModelGroups.typeMenu.empty]	无运输类型
K45::XTM.vuio[vehicleModelGroups.typeMenuTitle]	选择要编辑的传输类型
K45::XTM.vuio[vehicleModelGroups.emptyList]	尚无该类型的车型组
K45::XTM.vuio[vehicleModelGroups.selectGroup]	选择车型组
K45::XTM.vuio[vehicleModelGroups.modelCount]	{count} 个型号
K45::XTM.vuio[vehicleModelGroups.lineCount]	{count} 行
K45::XTM.vuio[vehicleModelGroups.delete.tooltip]	删除车型组
K45::XTM.vuio[vehicleModelGroups.delete.title]	删除车型组
K45::XTM.vuio[vehicleModelGroups.delete.message]	您确定要删除车型组"{name}"吗？
K45::XTM.vuio[vehicleModelGroups.field.name]	姓名
K45::XTM.vuio[vehicleModelGroups.modelsRequired]	在保存更改之前，至少添加一种与车辆的合成
K45::XTM.vuio[vehicleModelGroups.compositions]	作文
K45::XTM.vuio[vehicleModelGroups.compositionsEmpty]	还没有组合 - 添加一个来选择车辆
K45::XTM.vuio[vehicleModelGroups.addComposition]	添加构图
K45::XTM.vuio[vehicleModelGroups.removeComposition]	删除成分
K45::XTM.vuio[vehicleModelGroups.pickVehicle]	挑选车辆
K45::XTM.vuio[vehicleModelGroups.pickPrimary]	选择发动机/主发动机
K45::XTM.vuio[vehicleModelGroups.pickCarriage]	挑选车厢
K45::XTM.vuio[vehicleModelGroups.linkedLines]	该组中的线路
K45::XTM.vuio[vehicleModelGroups.linkedEmpty]	没有链接的线路
K45::XTM.vuio[vehicleModelGroups.availableLines]	链接到该组的可用线路
K45::XTM.vuio[vehicleModelGroups.availableEmpty]	没有匹配的线
K45::XTM.vuio[vehicleModelGroups.filterAssigned]	线路已分配给组
K45::XTM.vuio[vehicleModelGroups.addAllFiltered]	将所有过滤的行添加到该组中
K45::XTM.vuio[vehicleModelGroups.addLine]	将线路添加到组中
K45::XTM.vuio[vehicleModelGroups.removeLine]	从组中删除行
K45::XTM.vuio[vehicleModelGroups.removeAllLines]	删除该组中的所有行
K45::XTM.vuio[vehicleModelGroups.otherGroup.unknown]	另一组
K45::XTM.vuio[vehicleModelGroups.otherGroup.warning]	属于{group}。在此处添加它会将其从该组中删除。
K45::XTM.vuio[vehicleModelGroups.carriage]	运输
K45::XTM.vuio[vehicleModelGroups.stat.cap]	帽
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltip]	载客量
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltipCargo]	载货量
K45::XTM.vuio[vehicleModelGroups.stat.units]	单位
K45::XTM.vuio[vehicleModelGroups.stat.units.tooltip]	成分单位数
K45::XTM.vuio[vehicleModelGroups.stat.len.unit]	乌伦
K45::XTM.vuio[vehicleModelGroups.stat.len.unit.tooltip]	单车长度
K45::XTM.vuio[vehicleModelGroups.stat.len]	伦
K45::XTM.vuio[vehicleModelGroups.stat.len.tooltip]	车辆总长
K45::XTM.vuio[vehicleModelGroups.stat.len.paired.tooltip]	总组成长度：\n单位 × (发动机 + 货车 × (汽车 − 1))
K45::XTM.vuio[vehicleModelGroups.stat.unit.pax]	帕克斯
K45::XTM.vuio[vehicleModelGroups.stat.unit.weight]	千克
K45::XTM.vuio[vehicleModelGroups.stat.unit.cars]	汽车
K45::XTM.vuio[vehicleModelGroups.stat.unit.meters]	米
K45::XTM.vuio[vehicleModelGroups.selectVehicles.managedBy]	此行属于车辆模型组 <{name}>。\n更改这些模型将影响 <{count}> 行。
K45::XTM.vuio[vehicleModelGroups.selectVehicles.editGroup]	编辑车型组
K45::XTM.vuio[vehicleModelGroups.selectVehicles.removeFromGroup]	从组中删除
K45::XTM.vuio[vehicleModelGroups.selectVehicles.moveToGroup]	移至另一组
K45::XTM.vuio[vehicleModelGroups.selectVehicles.andOthers]	...以及其他 {count} 个
K45::XTM.vuio[fareGroups.ticketPrice.removeFromGroup]	从组中删除
K45::XTM.vuio[fareGroups.ticketPrice.moveToGroup]	移至另一组
K45::XTM.vuio[fareGroups.fareTable.title]	票价表
K45::XTM.vuio[fareGroups.fareTable.default]	默认
K45::XTM.vuio[fareGroups.fareTable.hours]	{start}：00 - {end}：59
K45::XTM.vuio[managedGroups.sip.menuTooltip]	组选项
K45::XTM.vuio[managedGroups.sip.noGroupsAvailable]	<没有可用的组>
K45::XTM.vuio[managedGroups.sip.assignFareTitle]	分配至票价组
K45::XTM.vuio[managedGroups.sip.assignModelsTitle]	分配至车型组
K45::XTM.vuio[managedGroups.sip.manageFareGroups]	管理票价组
K45::XTM.vuio[managedGroups.sip.manageModelGroups]	管理车型组
K45::XTM.vuio[lineViewerEditor.internalNumber]	内部路由号码
K45::XTM.vuio[lineViewerEditor.internalNumber.tooltip]	由调色板和命名使用
K45::XTM.vuio[lineViewerEditor.displayIdentifier]	路由标识符
K45::XTM.vuio[lineViewerEditor.displayIdentifier.tooltip]	生成名称和屏蔽时覆盖路线编号
K45::XTM.vuio[lineViewerEditor.ignorePalette]	使用固定颜色
K45::XTM.vuio[lineViewerEditor.ignorePalette.tooltip]	忽略该行的调色板设置
K45::XTM.vuio[lineList.editName]	编辑线路名称
K45::XTM.vuio[lineViewer.advancedData]	高级统计数据
K45::XTM.vuio[palettes.section.passengers]	乘客
K45::XTM.vuio[palettes.section.cargo]	货物
K45::XTM.vuio[palettes.paletteCount]	{count} 个调色板
K45::XTM.vuio[paletteEditor.import.invalidFile]	不是有效的调色板文件
::GEditor	编辑
::LShowEditorPalettesButton	在编辑器中显示调色板按钮
::DShowEditorPalettesButton	启用后，XTM 按钮将添加到编辑器工具栏以打开调色板库。下次进入编辑器模式时生效。
Editor.TOOL[k45__xtm_MainWindow]	XTM：调色板设置
K45::XTM.vuio[paletteEditor.appendPalette]	追加调色板
K45::XTM.vuio[paletteEditor.append.title]	追加调色板
K45::XTM.vuio[paletteEditor.append.prompt]	选择要附加的 .hex 文件。它的颜色将添加到当前调色板的末尾
K45::XTM.vuio[paletteEditor.copyPalette]	复制调色板
K45::XTM.vuio[paletteEditor.pasteReplacePalette]	粘贴调色板（替换）
K45::XTM.vuio[paletteEditor.pasteAppendPalette]	粘贴调色板（附加）
K45::XTM.vuio[paletteEditor.resetChanges]	重置更改
K45::XTM.vuio[paletteEditor.clipboard.invalid]	剪贴板不包含有效的 .hex 调色板
K45::XTM.vuio[paletteEditor.clipboard.copyFailed]	无法复制到剪贴板
K45::XTM.vuio[paletteEditor.clipboard.pasteFailed]	无法读取剪贴板
K45::XTM.vuio[paletteEditor.clipboard.copied]	调色板已复制
K45::XTM.vuio[paletteEditor.reset.title]	重置更改
K45::XTM.vuio[paletteEditor.reset.message]	放弃对此调色板未保存的更改吗？此操作无法撤消。
K45::XTM.vuio[glossary.toggleXtm]	XTM术语表
K45::XTM.vuio[glossary.title]	XTM百科全书
K45::XTM.vuio[glossary.tab.overview]	XTM概述
K45::XTM.vuio[glossary.index.title]	扩展传输管理器
K45::XTM.vuio[glossary.index.intro]	XTM 扩展了《城市：天际线 II》公共交通，提供更丰富的线路管理、占用情况洞察、票价组、车型组和调色板。本术语表将记录这些工具 - 从这里开始，了解该模组添加的内容。
K45::XTM.vuio[glossary.index.sectionsHeading]	即将发布的文档
K45::XTM.vuio[glossary.index.bodyHeading]	欢迎
K45::XTM.vuio[glossary.index.body]	使用该面板右侧的 XTM 按钮可以在游戏百科全书和 XTM 自己的帮助之间切换。详细的部分将在编写时出现在左侧的列表中。
K45::XTM.vuio[glossary.index.placeholderNote]	目前，部分条目是占位符 - 内容将在稍后更新中跟进。
K45::XTM.vuio[glossary.index.placeholder.overview]	模组概览
K45::XTM.vuio[glossary.index.placeholder.lines]	线路和概览列表
K45::XTM.vuio[glossary.index.placeholder.fares]	票价及票价
K45::XTM.vuio[glossary.index.placeholder.vehicles]	车型组
K45::XTM.vuio[glossary.index.placeholder.palettes]	线条调色板
K45::XTM.vuio[glossary.search.placeholder]	搜索…
K45::XTM.vuio[glossary.packFilter]	包
K45::XTM.vuio[glossary.packFilter.all]	所有包
K45::XTM.vuio[glossary.tableOfContents]	目录
K45::XTM.vuio[glossary.tab.all]	全部
K45::XTM.vuio[glossary.tab.start]	从这里开始
K45::XTM.vuio[glossary.tab.lines]	线路及路线
K45::XTM.vuio[glossary.tab.map]	地图及网络
K45::XTM.vuio[glossary.tab.statistics]	统计数据
K45::XTM.vuio[glossary.tab.groups]	票价及车型
K45::XTM.vuio[glossary.tab.appearance]	调色板和集成
K45::XTM.vuio[glossary.category.start.overview]	概述
K45::XTM.vuio[glossary.category.start.gettingAround]	出行
K45::XTM.vuio[glossary.category.start.settings]	设置和支持
K45::XTM.vuio[glossary.category.lines.listing]	列表和过滤器
K45::XTM.vuio[glossary.category.lines.identity]	身份与外貌
K45::XTM.vuio[glossary.category.lines.scheduling]	日程安排和行动
K45::XTM.vuio[glossary.category.lines.stopOrder]	止损单
K45::XTM.vuio[glossary.category.map.linear]	XTM 线性图
K45::XTM.vuio[glossary.category.map.stops]	停靠站和地理
K45::XTM.vuio[glossary.category.map.interchanges]	换乘站
K45::XTM.vuio[glossary.category.map.vehicles]	车辆
K45::XTM.vuio[glossary.category.map.advanced]	高级线路数据
K45::XTM.vuio[glossary.category.statistics.occupancy]	占用和拥挤
K45::XTM.vuio[glossary.category.groups.fareBasics]	票价组别
K45::XTM.vuio[glossary.category.groups.fareTime]	基于时间的票价
K45::XTM.vuio[glossary.category.groups.fareMembership]	票价会员资格
K45::XTM.vuio[glossary.category.groups.modelBasics]	模型组基础知识
K45::XTM.vuio[glossary.category.groups.compositions]	作文
K45::XTM.vuio[glossary.category.groups.modelMembership]	模范会员
K45::XTM.vuio[glossary.category.groups.incompatibilities]	不兼容性
K45::XTM.vuio[glossary.category.appearance.library]	调色板库
K45::XTM.vuio[glossary.category.appearance.editing]	调色板编辑
K45::XTM.vuio[glossary.category.appearance.autoColor]	自动着色
K45::XTM.vuio[glossary.category.appearance.we]	随处书写
K45::XTM.vuio[glossary.section.start.overview.whatAdds]	XTM 添加了什么
K45::XTM.vuio[glossary.section.start.overview.mainScreens]	主屏幕和 XTM 切换
K45::XTM.vuio[glossary.section.start.overview.linesVsCargo]	客运航线与货运航线
K45::XTM.vuio[glossary.section.start.gettingAround.overview]	交通概况
K45::XTM.vuio[glossary.section.start.gettingAround.sip]	选定的信息面板
K45::XTM.vuio[glossary.section.start.gettingAround.linearMap]	线性图
K45::XTM.vuio[glossary.section.start.gettingAround.editorPalettes]	编辑器调色板工具
K45::XTM.vuio[glossary.section.start.settings.uiDefaults]	用户界面默认值
K45::XTM.vuio[glossary.section.start.settings.logging]	日志记录和诊断
K45::XTM.vuio[glossary.section.start.settings.localization]	本土化
K45::XTM.vuio[glossary.section.start.settings.support]	支持链接
K45::XTM.vuio[glossary.section.lines.listing.modes]	运输方式
K45::XTM.vuio[glossary.section.lines.listing.passengerCargo]	客运和货运过滤器
K45::XTM.vuio[glossary.section.lines.listing.serviceState]	服务状态过滤器
K45::XTM.vuio[glossary.section.lines.listing.sorting]	排序
K45::XTM.vuio[glossary.section.lines.listing.cards]	读取线路卡
K45::XTM.vuio[glossary.section.lines.identity.name]	线路名称
K45::XTM.vuio[glossary.section.lines.identity.routeNumber]	内部路由号码
K45::XTM.vuio[glossary.section.lines.identity.displayId]	显示标识符
K45::XTM.vuio[glossary.section.lines.identity.shields]	盾牌形状和徽章
K45::XTM.vuio[glossary.section.lines.identity.color]	固定颜色与调色板颜色
K45::XTM.vuio[glossary.section.lines.scheduling.dayNight]	日夜
K45::XTM.vuio[glossary.section.lines.scheduling.dayOnly]	仅限白天
K45::XTM.vuio[glossary.section.lines.scheduling.nightOnly]	仅限夜间
K45::XTM.vuio[glossary.section.lines.scheduling.disabled]	残疾人
K45::XTM.vuio[glossary.section.lines.scheduling.openDetails]	开线详情
K45::XTM.vuio[glossary.section.lines.stopOrder.firstStop]	第一站
K45::XTM.vuio[glossary.section.lines.stopOrder.symmetric]	对称路线
K45::XTM.vuio[glossary.section.lines.stopOrder.opposite]	对面平台
K45::XTM.vuio[glossary.section.map.linear.switch]	从香草切换
K45::XTM.vuio[glossary.section.map.linear.whiteBg]	白色背景
K45::XTM.vuio[glossary.section.map.linear.halfTrip]	半行程模式
K45::XTM.vuio[glossary.section.map.stops.names]	车站名称和建筑物
K45::XTM.vuio[glossary.section.map.stops.distances]	距离
K45::XTM.vuio[glossary.section.map.stops.districts]	地区边界
K45::XTM.vuio[glossary.section.map.stops.outside]	外部连接
K45::XTM.vuio[glossary.section.map.interchanges.connected]	连接线
K45::XTM.vuio[glossary.section.map.interchanges.select]	选择链接路线
K45::XTM.vuio[glossary.section.map.vehicles.live]	直播车辆位置
K45::XTM.vuio[glossary.section.map.vehicles.nextArrival]	下次到达数据
K45::XTM.vuio[glossary.section.map.vehicles.odometer]	里程表及保养
K45::XTM.vuio[glossary.section.map.advanced.demand]	等待并加载需求
K45::XTM.vuio[glossary.section.map.advanced.lap]	全圈估计
K45::XTM.vuio[glossary.section.map.advanced.avgOccupancy]	平均入住率
