key	it-IT
K45::XTM.vuio[lineViewer.dataTotalCargoWaiting]	Merci immagazzinate nelle stazioni
K45::XTM.vuio[lineViewer.dataTotalCargoLoaded]	Carico caricato sui veicoli
K45::XTM.vuio[lineViewer.dataLineFullLapAverageTime]	Tempo previsto di andata e ritorno
K45::XTM.vuio[lineViewerEditor.lineFixedColor]	Colore della linea fisso
K45::XTM.vuio[loadBtn]	Carico
K45::XTM.vuio[paletteEditor.addColor]	Aggiungi colore
K45::XTM.vuio[paletteEditor.addNewPalette]	Aggiungi tavolozza
K45::XTM.vuio[paletteEditor.deletePalette]	Elimina tavolozza
K45::XTM.vuio[paletteEditor.importPalette]	Importa tavolozza
K45::XTM.vuio[paletteEditor.noPalettes]	Nessuna tavolozza!
K45::XTM.vuio[paletteEditor.noPaletteSelected]	Nessuna tavolozza selezionata
K45::XTM.vuio[paletteEditor.saveChanges]	Salva modifiche
K45::XTM.vuio[paletteEditor.renamePalette]	Rinominare la tavolozza
K45::XTM.vuio[paletteEditor.addPalette.title]	Nuova tavolozza
K45::XTM.vuio[paletteEditor.addPalette.prompt]	Immettere il nome per la nuova tavolozza
K45::XTM.vuio[paletteEditor.rename.title]	Rinominare la tavolozza
K45::XTM.vuio[paletteEditor.rename.prompt]	Immettere un nuovo nome per la tavolozza
K45::XTM.vuio[paletteEditor.delete.title]	Elimina tavolozza
K45::XTM.vuio[paletteEditor.delete.message]	Sei sicuro di voler eliminare la tavolozza "{palette}"? Questa azione non può essere annullata.
K45::XTM.vuio[paletteEditor.import.title]	Importa tavolozza
K45::XTM.vuio[paletteEditor.import.prompt]	Seleziona un file .hex da importare. Il file dovrà avere un colore RGB (#RRGGBB) per riga
K45::XTM.vuio[paletteEditor.import.libraryBookmark]	Libreria predefinita
K45::XTM.vuio[paletteEditor.import.bookmarksTitle]	Impostazioni predefinite XTM
K45::XTM.vuio[paletteEditor.shuffleColors]	Mescola i colori
K45::XTM.vuio[palettesSettings.cargoModalsTitle]	Modalità di carico
K45::XTM.vuio[palettesSettings.modalSettings]	Modalità passeggeri
K45::XTM.vuio[palettesSettings.title]	Impostazioni modali per la tavolozza
K45::XTM.vuio[saveBtn]	Salva
K45::XTM.vuio[seeXtmMap]	Vedi la mappa XTM
K45::XTM.vuio[weIntegrationBlinds.addKeyframe]	Aggiungi fotogramma chiave
K45::XTM.vuio[weIntegrationBlinds.addStep]	Aggiungi passaggio
K45::XTM.vuio[weIntegrationBlinds.cancel]	Cancellare
K45::XTM.vuio[weIntegrationBlinds.copyToClipboard]	Copia negli appunti
K45::XTM.vuio[weIntegrationBlinds.editStep]	Modificare
K45::XTM.vuio[weIntegrationBlinds.fixedStringShort]	Testo fisso
K45::XTM.vuio[weIntegrationBlinds.framesLblShort]	Durata (fotogrammi)
K45::XTM.vuio[weIntegrationBlinds.framesNumberFmt]	mostrato durante {frames} fotogrammi
K45::XTM.vuio[weIntegrationBlinds.keyframesTitle]	Fotogrammi chiave
K45::XTM.vuio[weIntegrationBlinds.pasteFromClipboard]	Cancella tutto e incolla dagli appunti
K45::XTM.vuio[weIntegrationBlinds.prefixShort]	Prefisso
K45::XTM.vuio[weIntegrationBlinds.removeStep]	Rimuovere
K45::XTM.vuio[weIntegrationBlinds.sampleFormat]	Esempio statico: "{sampleValue}" ({sampleType}) - Fotogrammi chiave totali: {keyframeCount}
K45::XTM.vuio[weIntegrationBlinds.saveStep]	Salva passo
K45::XTM.vuio[weIntegrationBlinds.staticKeyframeIdx]	Fotogramma chiave da utilizzare come tenda statica
K45::XTM.vuio[weIntegrationBlinds.suffixShort]	Suffisso
K45::XTM.vuio[weIntegrationBlinds.theEndOfLine]	<Fine della riga>
K45::XTM.vuio[weIntegrationBlinds.title]	Scrivi ovunque: tende personalizzate
K45::XTM.vuio[weIntegrationBlinds.useUntilStop]	Utilizzare fino all'arresto
K45::XTM.vuio[weIntegrationBlinds.deleteStep]	Elimina passaggio
K45::XTM.vuio[weIntegrationBlinds.moveDown]	Spostati giù
K45::XTM.vuio[weIntegrationBlinds.moveUp]	Vai su
K45::XTM.vuio[weIntegrationBlinds.resetDefaults]	Ripristina le impostazioni predefinite
K45::XTM.vuio[weIntegrationBlinds.useUntil]	Utilizzare fino al: {stationName}
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityName]	Fermata di destinazione del passo
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityNameOrDistrict]	Fermata di destinazione o quartiere o Strada
K45::XTM.vuio[weIntegrationBlinds.keyframeType.FixedString]	Testo statico
K45::XTM.vuio[weIntegrationBlinds.keyframeType.NextStopSimple]	Prossima fermata
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteName]	Nome del percorso
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteNumber]	Numero del percorso
K45::XTM.vuio[lineStationDetail.waiting.cargo]	Carico immagazzinato in attesa: {quantity}
K45::XTM.vuio[lineStationDetail.waiting.passengers]	Passeggeri in attesa: {quantity}
::TUI	interfaccia utente
::GLineListing	Elenco delle righe
::LUseXtmLineListingDefault	Utilizza l'elenco delle linee XTM per impostazione predefinita
::DUseXtmLineListingDefault	Se abilitata, la panoramica dei trasporti si apre con l'elenco delle carte XTM. Quando disabilitata, si apre con la tabella Vanilla. L'attivazione/disattivazione dell'intestazione cambia comunque gli stili per la sessione corrente.
K45::XTM.vuio[lineList.toggleXtmListing]	Elenco di linee XTM alternative
K45::XTM.vuio[lineList.showAll]	Mostra tutto
K45::XTM.vuio[lineList.hideAll]	Nascondi tutto
K45::XTM.vuio[lineList.passengerLines]	Linee passeggeri
K45::XTM.vuio[lineList.cargoRoutes]	Rotte di carico
K45::XTM.vuio[lineList.linesCurrentFilterFormat]	{LINECOUNT} righe
K45::XTM.vuio[lineList.title]	Linee
K45::XTM.vuio[lineList.filterDisabled]	Disabilitato
K45::XTM.vuio[lineList.filterDayNight]	Giorno e notte
K45::XTM.vuio[lineList.filterDay]	Solo giorno
K45::XTM.vuio[lineList.filterNight]	Solo notte
K45::XTM.vuio[lineList.lineDisabled]	Linea disabilitata
K45::XTM.vuio[lineList.sort.title]	Ordina le linee
K45::XTM.vuio[lineList.sort.routeNumber]	Numero di riga
K45::XTM.vuio[lineList.sort.acronym]	Acronimo di linea
K45::XTM.vuio[lineList.sort.length]	Lunghezza della linea
K45::XTM.vuio[lineList.sort.usage]	Utilizzo della linea (%)
K45::XTM.vuio[lineList.sort.cargo]	Passeggeri/Carico al mese
K45::XTM.vuio[lineList.sort.schedule]	Stato di pianificazione
K45::XTM.vuio[lineList.openDetails]	Dettagli
K45::XTM.vuio[lineList.editColor]	Cambia il colore della linea
K45::XTM.vuio[lineList.restorePalette]	Ripristina il colore della tavolozza
K45::XTM.vuio[lineList.editIdentity]	Modifica l'acronimo/numero della riga
K45::XTM.vuio[lineList.edit.acronym]	Acronimo di linea
K45::XTM.vuio[lineList.edit.internalNumber]	Numero di linea interna
K45::XTM.vuio[lineList.noMatchingLines]	Nessuna linea corrispondente
K45::XTM.vuio[lineList.noLinesInCity]	Nessuna fila in città
K45::XTM.vuio[lineStationDetail.crowdness]	{waiting}/{capacity} ({percent})
K45::XTM.vuio[lineViewer.showPlatformCrowdnessLbl]	Mostra l'affollamento delle piattaforme
K45::XTM.vuio[lineViewer.occupancyTooltip]	Occupazione media del veicolo tra {startHour} e {endHour}.
K45::XTM.vuio[lineViewer.occupancyHeadingTo]	Veicoli diretti a: {to}
K45::XTM.vuio[lineViewer.occupancyDayAverage]	Occupazione media durante il giorno: {value}
K45::XTM.vuio[lineViewer.segmentOccupancyDisplayed]	Occupazione del segmento visualizzata: {mode}
K45::XTM.vuio[lineViewer.segmentOccupancyMenuTitle]	Occupazione del segmento
K45::XTM.vuio[lineViewer.segmentOccupancyMode.none]	Nessuno
K45::XTM.vuio[lineViewer.segmentOccupancyMode.currentHour]	Ora attuale
K45::XTM.vuio[lineViewer.segmentOccupancyMode.dayAverage]	Media giornaliera
K45::XTM.vuio[lineViewer.segmentOccupancyMode.04_08]	4 ore ~ ​​8 ore
K45::XTM.vuio[lineViewer.segmentOccupancyMode.08_12]	8 ore ~ ​​12 ore
K45::XTM.vuio[lineViewer.segmentOccupancyMode.12_16]	12:00 ~ 16:00
K45::XTM.vuio[lineViewer.segmentOccupancyMode.16_20]	16:00 ~ 20:00
K45::XTM.vuio[lineViewer.segmentOccupancyMode.20_24]	20 ore ~ ​​24 ore
K45::XTM.vuio[lineViewer.occupancyDayAverageTooltip]	Occupazione media dei veicoli durante il giorno.
K45::XTM.vuio[lineViewer.lineHistoricalOccupancy]	Occupazione storica
K45::XTM.vuio[occupancyReport.changeMode]	Cambia modalità
K45::XTM.vuio[occupancyReport.mode.listing]	Elenco delle righe
K45::XTM.vuio[occupancyReport.mode.occupancyPassengers]	Rapporto sull'occupazione: passeggeri
K45::XTM.vuio[occupancyReport.mode.occupancyCargo]	Rapporto sull'occupazione: carico
K45::XTM.vuio[occupancyReport.refreshData]	Aggiorna i dati
K45::XTM.vuio[occupancyReport.dataAsOf]	Dati al {datetime}
K45::XTM.vuio[occupancyReport.topLinesTitle]	Risultati migliori per occupazione del 30° percentile
K45::XTM.vuio[occupancyReport.topSegmentsTitle]	Segmenti principali per occupazione
K45::XTM.vuio[occupancyReport.columnOverall]	Complessivamente
K45::XTM.vuio[occupancyReport.noData]	Nessun dato
K45::XTM.vuio[occupancyReport.loading]	Caricamento…
K45::XTM.vuio[occupancyReport.backToOverview]	Torna alla panoramica
K45::XTM.vuio[occupancyReport.topLimited]	Primi {count}
K45::XTM.vuio[fareGroups.mode]	Gruppi tariffari
K45::XTM.vuio[fareGroups.screenTitle]	Gruppi tariffari
K45::XTM.vuio[fareGroups.groupCount]	{count} gruppi
K45::XTM.vuio[fareGroups.listTitle]	Gruppi
K45::XTM.vuio[fareGroups.addGroup]	Aggiungi gruppo tariffario
K45::XTM.vuio[fareGroups.loading]	Caricamento…
K45::XTM.vuio[fareGroups.emptyList]	Nessun gruppo tariffario ancora
K45::XTM.vuio[fareGroups.selectGroup]	Seleziona un gruppo tariffario
K45::XTM.vuio[fareGroups.unnamed]	Gruppo senza nome
K45::XTM.vuio[fareGroups.fareFree]	Gratuito
K45::XTM.vuio[fareGroups.lineCount]	{count} righe
K45::XTM.vuio[fareGroups.delete.tooltip]	Elimina gruppo tariffario
K45::XTM.vuio[fareGroups.delete.title]	Elimina gruppo tariffario
K45::XTM.vuio[fareGroups.delete.message]	Sei sicuro di voler eliminare il gruppo tariffario "{name}"?
K45::XTM.vuio[fareGroups.field.name]	Nome
K45::XTM.vuio[fareGroups.field.defaultFare]	Tariffa predefinita
K45::XTM.vuio[fareGroups.exceptions.title]	Eccezioni orarie
K45::XTM.vuio[fareGroups.exceptions.empty]	Nessuna eccezione
K45::XTM.vuio[fareGroups.exceptions.startHour]	Inizio
K45::XTM.vuio[fareGroups.exceptions.endHour]	FINE
K45::XTM.vuio[fareGroups.exceptions.fare]	Tariffa
K45::XTM.vuio[fareGroups.exceptions.remove]	Rimuovi eccezione
K45::XTM.vuio[fareGroups.exceptions.add]	Aggiungi eccezione
K45::XTM.vuio[fareGroups.exceptions.errorMax]	Massimo di {count} eccezioni
K45::XTM.vuio[fareGroups.exceptions.errorOverlap]	Gli orari di eccezione non devono sovrapporsi
K45::XTM.vuio[fareGroups.exceptions.errorInvalid]	Intervallo orario non valido
K45::XTM.vuio[fareGroups.exceptions.saveBlocked]	Correggi gli orari delle eccezioni prima che le modifiche possano essere salvate
K45::XTM.vuio[fareGroups.linkedLines]	Linee in questo gruppo
K45::XTM.vuio[fareGroups.linkedEmpty]	Nessuna linea collegata
K45::XTM.vuio[fareGroups.availableLines]	Linee disponibili per il collegamento a questo gruppo
K45::XTM.vuio[fareGroups.availableEmpty]	Nessuna linea corrispondente
K45::XTM.vuio[fareGroups.removeLine]	Rimuovi la linea dal gruppo
K45::XTM.vuio[fareGroups.addLine]	Aggiungi linea al gruppo
K45::XTM.vuio[fareGroups.otherGroup.unknown]	un altro gruppo
K45::XTM.vuio[fareGroups.otherGroup.warning]	Appartiene a {group}. Aggiungendolo qui lo rimuoverai da quel gruppo.
K45::XTM.vuio[fareGroups.exceptions.summary]	La tariffa {fare}¢ verrà applicata dalle {start}:00 alle {end}:59
K45::XTM.vuio[fareGroups.exceptions.summaryFree]	Il viaggio gratuito verrà applicato dalle {start}:00 alle {end}:59
K45::XTM.vuio[fareGroups.filterAssigned]	Linee già assegnate a un gruppo
K45::XTM.vuio[fareGroups.addAllFiltered]	Aggiungi tutte le linee filtrate a questo gruppo
K45::XTM.vuio[fareGroups.removeAllLines]	Rimuovi tutte le righe da questo gruppo
K45::XTM.vuio[fareGroups.ticketPrice.managedBy]	Questa linea appartiene al gruppo tariffario {name}. Tariffa attuale: <{fare}>.\nLa modifica di questa tariffa avrà effetto su <{count}> linee.
K45::XTM.vuio[fareGroups.ticketPrice.editGroup]	Modifica gruppo tariffario
K45::XTM.vuio[fareGroups.ticketPrice.andOthers]	... e {count} altri
K45::XTM.vuio[vehicleModelGroups.unnamed]	Gruppo di modelli di veicoli senza nome
K45::XTM.vuio[vehicleModelGroups.sort.title]	Ordina i veicoli
K45::XTM.vuio[vehicleModelGroups.sort.name]	Nome
K45::XTM.vuio[vehicleModelGroups.sort.capacity]	Capacità
K45::XTM.vuio[vehicleModelGroups.sort.length]	Lunghezza totale
K45::XTM.vuio[vehicleModelGroups.mode]	Gruppi di modelli di veicoli
K45::XTM.vuio[vehicleModelGroups.screenTitle]	Gruppi di modelli di veicoli
K45::XTM.vuio[vehicleModelGroups.groupCount]	{count} gruppi
K45::XTM.vuio[vehicleModelGroups.listTitle]	Gruppi
K45::XTM.vuio[vehicleModelGroups.addGroup]	Aggiungi gruppo di modelli di veicoli
K45::XTM.vuio[vehicleModelGroups.loading]	Caricamento…
K45::XTM.vuio[vehicleModelGroups.typeMenu.empty]	Nessun tipo di trasporto
K45::XTM.vuio[vehicleModelGroups.typeMenuTitle]	Seleziona il tipo di trasporto da modificare
K45::XTM.vuio[vehicleModelGroups.emptyList]	Nessun gruppo di modelli di veicoli per questo tipo ancora
K45::XTM.vuio[vehicleModelGroups.selectGroup]	Seleziona un gruppo di modelli di veicoli
K45::XTM.vuio[vehicleModelGroups.modelCount]	{count} modelli
K45::XTM.vuio[vehicleModelGroups.lineCount]	{count} righe
K45::XTM.vuio[vehicleModelGroups.delete.tooltip]	Elimina il gruppo di modelli di veicoli
K45::XTM.vuio[vehicleModelGroups.delete.title]	Elimina il gruppo di modelli di veicoli
K45::XTM.vuio[vehicleModelGroups.delete.message]	Sei sicuro di voler eliminare il gruppo di modelli di veicoli "{name}"?
K45::XTM.vuio[vehicleModelGroups.field.name]	Nome
K45::XTM.vuio[vehicleModelGroups.modelsRequired]	Aggiungi almeno una composizione con un veicolo prima di poter salvare le modifiche
K45::XTM.vuio[vehicleModelGroups.compositions]	Composizioni
K45::XTM.vuio[vehicleModelGroups.compositionsEmpty]	Nessuna composizione ancora: aggiungine una per scegliere i veicoli
K45::XTM.vuio[vehicleModelGroups.addComposition]	Aggiungi composizione
K45::XTM.vuio[vehicleModelGroups.removeComposition]	Rimuovi la composizione
K45::XTM.vuio[vehicleModelGroups.pickVehicle]	Scegli il veicolo
K45::XTM.vuio[vehicleModelGroups.pickPrimary]	Scegli motore/primario
K45::XTM.vuio[vehicleModelGroups.pickCarriage]	Scegli la carrozza
K45::XTM.vuio[vehicleModelGroups.linkedLines]	Linee in questo gruppo
K45::XTM.vuio[vehicleModelGroups.linkedEmpty]	Nessuna linea collegata
K45::XTM.vuio[vehicleModelGroups.availableLines]	Linee disponibili per il collegamento a questo gruppo
K45::XTM.vuio[vehicleModelGroups.availableEmpty]	Nessuna linea corrispondente
K45::XTM.vuio[vehicleModelGroups.filterAssigned]	Linee già assegnate a un gruppo
K45::XTM.vuio[vehicleModelGroups.addAllFiltered]	Aggiungi tutte le linee filtrate a questo gruppo
K45::XTM.vuio[vehicleModelGroups.addLine]	Aggiungi linea al gruppo
K45::XTM.vuio[vehicleModelGroups.removeLine]	Rimuovi la linea dal gruppo
K45::XTM.vuio[vehicleModelGroups.removeAllLines]	Rimuovi tutte le righe da questo gruppo
K45::XTM.vuio[vehicleModelGroups.otherGroup.unknown]	un altro gruppo
K45::XTM.vuio[vehicleModelGroups.otherGroup.warning]	Appartiene a {group}. Aggiungendolo qui lo rimuoverai da quel gruppo.
K45::XTM.vuio[vehicleModelGroups.carriage]	Trasporto
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltip]	Capacità passeggeri
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltipCargo]	Capacità di carico
K45::XTM.vuio[vehicleModelGroups.stat.units]	UNITÀ
K45::XTM.vuio[vehicleModelGroups.stat.units.tooltip]	Conteggio delle unità di composizione
K45::XTM.vuio[vehicleModelGroups.stat.len.unit.tooltip]	Lunghezza del singolo veicolo
K45::XTM.vuio[vehicleModelGroups.stat.len]	LUNGHEZZA
K45::XTM.vuio[vehicleModelGroups.stat.len.tooltip]	Lunghezza totale del veicolo
K45::XTM.vuio[vehicleModelGroups.stat.len.paired.tooltip]	Lunghezza totale della composizione:\nunità × (motrice + carri × (automobili − 1))
K45::XTM.vuio[vehicleModelGroups.stat.unit.pax]	pace
K45::XTM.vuio[vehicleModelGroups.stat.unit.cars]	automobili
K45::XTM.vuio[vehicleModelGroups.selectVehicles.managedBy]	Questa linea appartiene al gruppo di modelli di veicoli <{name}>.\nLa modifica di questi modelli influenzerà <{count}> linee.
K45::XTM.vuio[vehicleModelGroups.selectVehicles.editGroup]	Modifica il gruppo di modelli di veicoli
K45::XTM.vuio[vehicleModelGroups.selectVehicles.removeFromGroup]	Rimuovi dal gruppo
K45::XTM.vuio[vehicleModelGroups.selectVehicles.moveToGroup]	Passare a un altro gruppo
K45::XTM.vuio[vehicleModelGroups.selectVehicles.andOthers]	... e {count} altri
K45::XTM.vuio[fareGroups.ticketPrice.removeFromGroup]	Rimuovi dal gruppo
K45::XTM.vuio[fareGroups.ticketPrice.moveToGroup]	Passare a un altro gruppo
K45::XTM.vuio[fareGroups.fareTable.title]	Programma tariffario
K45::XTM.vuio[fareGroups.fareTable.default]	Predefinito
K45::XTM.vuio[fareGroups.fareTable.hours]	{start}:00 - {end}:59
K45::XTM.vuio[managedGroups.sip.menuTooltip]	Opzioni gruppi
K45::XTM.vuio[managedGroups.sip.noGroupsAvailable]	<Nessun gruppo disponibile>
K45::XTM.vuio[managedGroups.sip.assignFareTitle]	Assegnare al gruppo tariffario
K45::XTM.vuio[managedGroups.sip.assignModelsTitle]	Assegna al gruppo di modelli di veicolo
K45::XTM.vuio[managedGroups.sip.manageFareGroups]	Gestisci i gruppi tariffari
K45::XTM.vuio[managedGroups.sip.manageModelGroups]	Gestisci gruppi di modelli di veicoli
K45::XTM.vuio[lineViewerEditor.internalNumber]	Numero del percorso interno
K45::XTM.vuio[lineViewerEditor.internalNumber.tooltip]	Utilizzato dalle tavolozze e dai nomi
K45::XTM.vuio[lineViewerEditor.displayIdentifier]	Identificatore del percorso
K45::XTM.vuio[lineViewerEditor.displayIdentifier.tooltip]	Sostituisce il numero di percorso quando vengono generati nome e scudo
K45::XTM.vuio[lineViewerEditor.ignorePalette]	Usa il colore fisso
K45::XTM.vuio[lineViewerEditor.ignorePalette.tooltip]	Ignora le impostazioni della tavolozza per questa riga
K45::XTM.vuio[lineList.editName]	Modifica il nome della riga
K45::XTM.vuio[lineViewer.advancedData]	Statistiche avanzate
K45::XTM.vuio[palettes.section.passengers]	Passeggeri
K45::XTM.vuio[palettes.section.cargo]	Carico
K45::XTM.vuio[palettes.paletteCount]	{count} tavolozze
K45::XTM.vuio[paletteEditor.import.invalidFile]	Non è un file di tavolozza valido
::GEditor	Editore
::LShowEditorPalettesButton	Mostra il pulsante delle tavolozze nell'editor
::DShowEditorPalettesButton	Quando abilitato, un pulsante XTM viene aggiunto alla barra degli strumenti Editor per aprire la libreria delle tavolozze. Ha effetto la prossima volta che si accede alla modalità Editor.
Editor.TOOL[k45__xtm_MainWindow]	XTM: Impostazioni tavolozza
K45::XTM.vuio[paletteEditor.appendPalette]	Aggiungi tavolozza
K45::XTM.vuio[paletteEditor.append.title]	Aggiungi tavolozza
K45::XTM.vuio[paletteEditor.append.prompt]	Seleziona un file .hex da aggiungere. I suoi colori verranno aggiunti alla fine della tavolozza corrente
K45::XTM.vuio[paletteEditor.copyPalette]	Copia tavolozza
K45::XTM.vuio[paletteEditor.pasteReplacePalette]	Incolla tavolozza (sostituisci)
K45::XTM.vuio[paletteEditor.pasteAppendPalette]	Incolla tavolozza (aggiungi)
K45::XTM.vuio[paletteEditor.resetChanges]	Reimposta le modifiche
K45::XTM.vuio[paletteEditor.clipboard.invalid]	Gli appunti non contengono una tavolozza .hex valida
K45::XTM.vuio[paletteEditor.clipboard.copyFailed]	Impossibile copiare negli appunti
K45::XTM.vuio[paletteEditor.clipboard.pasteFailed]	Impossibile leggere gli appunti
K45::XTM.vuio[paletteEditor.clipboard.copied]	Tavolozza copiata
K45::XTM.vuio[paletteEditor.reset.title]	Reimposta le modifiche
K45::XTM.vuio[paletteEditor.reset.message]	Eliminare le modifiche non salvate a questa tavolozza? Questa operazione non può essere annullata.
K45::XTM.vuio[glossary.toggleXtm]	Glossario XTM
K45::XTM.vuio[glossary.title]	Enciclopedia XTM
K45::XTM.vuio[glossary.tab.overview]	Panoramica dell'XTM
K45::XTM.vuio[glossary.index.title]	Gestore dei trasporti esteso
K45::XTM.vuio[glossary.index.intro]	XTM estende il trasporto pubblico di Cities: Skylines II con una gestione delle linee più ricca, informazioni sull'occupazione, gruppi tariffari, gruppi di modelli di veicoli e tavolozze. Questo glossario documenterà questi strumenti: inizia da qui per una panoramica di ciò che aggiunge la mod.
K45::XTM.vuio[glossary.index.sectionsHeading]	Documentazione in arrivo
K45::XTM.vuio[glossary.index.bodyHeading]	Benvenuto
K45::XTM.vuio[glossary.index.body]	Utilizza il pulsante XTM sulla destra di questo pannello per passare dall'Enciclopedia del gioco all'aiuto di XTM. Le sezioni dettagliate appariranno nell'elenco a sinistra man mano che vengono scritte.
K45::XTM.vuio[glossary.index.placeholderNote]	Le voci delle sezioni per ora sono segnaposto: i contenuti seguiranno in un aggiornamento successivo.
K45::XTM.vuio[glossary.index.placeholder.overview]	Panoramica della modalità
K45::XTM.vuio[glossary.index.placeholder.lines]	Linee e elenco riepilogativo
K45::XTM.vuio[glossary.index.placeholder.fares]	Tariffe e prezzi dei biglietti
K45::XTM.vuio[glossary.index.placeholder.vehicles]	Gruppi di modelli di veicoli
K45::XTM.vuio[glossary.index.placeholder.palettes]	Tavolozze di colori delle linee
K45::XTM.vuio[glossary.search.placeholder]	Ricerca…
K45::XTM.vuio[glossary.packFilter]	Confezioni
K45::XTM.vuio[glossary.packFilter.all]	Tutti i pacchetti
K45::XTM.vuio[glossary.tableOfContents]	Sommario
K45::XTM.vuio[glossary.tab.all]	Tutto
K45::XTM.vuio[glossary.tab.start]	Inizia qui
K45::XTM.vuio[glossary.tab.lines]	Linee e percorsi
K45::XTM.vuio[glossary.tab.map]	Mappa e rete
K45::XTM.vuio[glossary.tab.statistics]	Statistiche
K45::XTM.vuio[glossary.tab.groups]	Tariffe e modelli di veicoli
K45::XTM.vuio[glossary.tab.appearance]	Tavolozze e integrazioni
K45::XTM.vuio[glossary.category.start.overview]	Panoramica
K45::XTM.vuio[glossary.category.start.gettingAround]	Andare in giro
K45::XTM.vuio[glossary.category.start.settings]	Impostazioni e supporto
K45::XTM.vuio[glossary.category.lines.listing]	Elenco e filtri
K45::XTM.vuio[glossary.category.lines.identity]	Identità e aspetto
K45::XTM.vuio[glossary.category.lines.scheduling]	Pianificazione e azioni
K45::XTM.vuio[glossary.category.lines.stopOrder]	Ferma l'ordine
K45::XTM.vuio[glossary.category.map.linear]	Mappa lineare XTM
K45::XTM.vuio[glossary.category.map.stops]	Fermate e geografia
K45::XTM.vuio[glossary.category.map.interchanges]	Interscambi
K45::XTM.vuio[glossary.category.map.vehicles]	Veicoli
K45::XTM.vuio[glossary.category.map.advanced]	Dati di linea avanzati
K45::XTM.vuio[glossary.category.statistics.occupancy]	Occupazione e affollamento
K45::XTM.vuio[glossary.category.groups.fareBasics]	Gruppi tariffari
K45::XTM.vuio[glossary.category.groups.fareTime]	Tariffe basate sul tempo
K45::XTM.vuio[glossary.category.groups.fareMembership]	Abbonamento tariffario
K45::XTM.vuio[glossary.category.groups.modelBasics]	Nozioni di base sui gruppi di modelli
K45::XTM.vuio[glossary.category.groups.compositions]	Composizioni
K45::XTM.vuio[glossary.category.groups.modelMembership]	Appartenenza modello
K45::XTM.vuio[glossary.category.groups.incompatibilities]	Incompatibilità
K45::XTM.vuio[glossary.category.appearance.library]	Libreria di tavolozze
K45::XTM.vuio[glossary.category.appearance.editing]	Modifica della tavolozza
K45::XTM.vuio[glossary.category.appearance.autoColor]	Colorazione automatica
