key	de-DE
K45::XTM.vuio[lineViewer.dataTotalCargoLoaded]	Ladung in Fahrzeuge verladen
K45::XTM.vuio[lineViewer.dataLineFullLapAverageTime]	Erwartete Hin- und Rückfahrtzeit
K45::XTM.vuio[lineViewerEditor.lineFixedColor]	Feste Linienfarbe
K45::XTM.vuio[loadBtn]	Laden
K45::XTM.vuio[paletteEditor.addColor]	Farbe hinzufügen
K45::XTM.vuio[paletteEditor.addNewPalette]	Palette hinzufügen
K45::XTM.vuio[paletteEditor.deletePalette]	Palette löschen
K45::XTM.vuio[paletteEditor.importPalette]	Palette importieren
K45::XTM.vuio[paletteEditor.noPalettes]	Keine Paletten!
K45::XTM.vuio[paletteEditor.noPaletteSelected]	Keine Palette ausgewählt
K45::XTM.vuio[paletteEditor.saveChanges]	Änderungen speichern
K45::XTM.vuio[paletteEditor.renamePalette]	Palette umbenennen
K45::XTM.vuio[paletteEditor.addPalette.title]	Neue Palette
K45::XTM.vuio[paletteEditor.addPalette.prompt]	Geben Sie den Namen für die neue Palette ein
K45::XTM.vuio[paletteEditor.rename.title]	Palette umbenennen
K45::XTM.vuio[paletteEditor.rename.prompt]	Geben Sie einen neuen Namen für die Palette ein
K45::XTM.vuio[paletteEditor.delete.title]	Palette löschen
K45::XTM.vuio[paletteEditor.delete.message]	Sind Sie sicher, dass Sie die Palette „{palette}" löschen möchten? Diese Aktion kann nicht rückgängig gemacht werden.
K45::XTM.vuio[paletteEditor.import.title]	Palette importieren
K45::XTM.vuio[paletteEditor.import.prompt]	Wählen Sie eine .hex-Datei zum Importieren aus. Die Datei muss eine RGB-Farbe (#RRGGBB) pro Zeile haben
K45::XTM.vuio[paletteEditor.import.libraryBookmark]	Standardbibliothek
K45::XTM.vuio[paletteEditor.import.bookmarksTitle]	XTM-Standardeinstellungen
K45::XTM.vuio[paletteEditor.shuffleColors]	Farben mischen
K45::XTM.vuio[palettesSettings.cargoModalsTitle]	Frachtmodalitäten
K45::XTM.vuio[palettesSettings.modalSettings]	Passagiermodalitäten
K45::XTM.vuio[palettesSettings.title]	Modal zu Paletteneinstellungen
K45::XTM.vuio[saveBtn]	Speichern
K45::XTM.vuio[seeXtmMap]	Siehe XTM-Karte
K45::XTM.vuio[weIntegrationBlinds.addKeyframe]	Keyframe hinzufügen
K45::XTM.vuio[weIntegrationBlinds.addStep]	Schritt hinzufügen
K45::XTM.vuio[weIntegrationBlinds.cancel]	Stornieren
K45::XTM.vuio[weIntegrationBlinds.copyToClipboard]	In die Zwischenablage kopieren
K45::XTM.vuio[weIntegrationBlinds.editStep]	Bearbeiten
K45::XTM.vuio[weIntegrationBlinds.fixedStringShort]	Text korrigiert
K45::XTM.vuio[weIntegrationBlinds.framesLblShort]	Dauer (Frames)
K45::XTM.vuio[weIntegrationBlinds.framesNumberFmt]	wird während {frames} Frames angezeigt
K45::XTM.vuio[weIntegrationBlinds.keyframesTitle]	Schlüsselbilder
K45::XTM.vuio[weIntegrationBlinds.pasteFromClipboard]	Alles löschen und aus der Zwischenablage einfügen
K45::XTM.vuio[weIntegrationBlinds.prefixShort]	Präfix
K45::XTM.vuio[weIntegrationBlinds.removeStep]	Entfernen
K45::XTM.vuio[weIntegrationBlinds.sampleFormat]	Statisches Beispiel: „{sampleValue}" ({sampleType}) – Keyframes insgesamt: {keyframeCount}
K45::XTM.vuio[weIntegrationBlinds.saveStep]	Schritt speichern
K45::XTM.vuio[weIntegrationBlinds.staticKeyframeIdx]	Keyframe zur Verwendung als statischer Blind
K45::XTM.vuio[weIntegrationBlinds.suffixShort]	Suffix
K45::XTM.vuio[weIntegrationBlinds.theEndOfLine]	<Ende der Zeile>
K45::XTM.vuio[weIntegrationBlinds.title]	Write Everywhere – Individuelle Jalousien
K45::XTM.vuio[weIntegrationBlinds.useUntilStop]	Bis zum Ende verwenden
K45::XTM.vuio[weIntegrationBlinds.deleteStep]	Schritt löschen
K45::XTM.vuio[weIntegrationBlinds.moveDown]	Bewegen Sie sich nach unten
K45::XTM.vuio[weIntegrationBlinds.moveUp]	Bewegen Sie sich nach oben
K45::XTM.vuio[weIntegrationBlinds.resetDefaults]	Auf Standardeinstellungen zurücksetzen
K45::XTM.vuio[weIntegrationBlinds.useUntil]	Benutzen bis: {stationName}
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityName]	Zielstopp des Schritts
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityNameOrDistrict]	Zielhaltestelle oder Bezirk oder Straße
K45::XTM.vuio[weIntegrationBlinds.keyframeType.FixedString]	Statischer Text
K45::XTM.vuio[weIntegrationBlinds.keyframeType.NextStopSimple]	Nächster Halt
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteName]	Routenname
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteNumber]	Routennummer
K45::XTM.vuio[lineStationDetail.waiting.cargo]	Fracht gelagert, wartend: {quantity}
K45::XTM.vuio[lineStationDetail.waiting.passengers]	Wartende Passagiere: {quantity}
::TUI	Benutzeroberfläche
::GLineListing	Zeilenauflistung
::LUseXtmLineListingDefault	Verwenden Sie standardmäßig die XTM-Zeilenliste
::DUseXtmLineListingDefault	Wenn diese Option aktiviert ist, wird die Transportübersicht mit der Liste der XTM-Karten geöffnet. Wenn es deaktiviert ist, wird es mit der Vanilla-Tabelle geöffnet. Der Header-Schalter wechselt weiterhin den Stil für die aktuelle Sitzung.
K45::XTM.vuio[lineList.toggleXtmListing]	Alternative XTM-Zeilenauflistung
K45::XTM.vuio[lineList.showAll]	Alle anzeigen
K45::XTM.vuio[lineList.hideAll]	Alles ausblenden
K45::XTM.vuio[lineList.passengerLines]	Passagierlinien
K45::XTM.vuio[lineList.cargoRoutes]	Frachtrouten
K45::XTM.vuio[lineList.linesCurrentFilterFormat]	{LINECOUNT} Zeilen
K45::XTM.vuio[lineList.title]	Linien
K45::XTM.vuio[lineList.filterDisabled]	Deaktiviert
K45::XTM.vuio[lineList.filterDayNight]	Tag und Nacht
K45::XTM.vuio[lineList.filterDay]	Nur Tag
K45::XTM.vuio[lineList.filterNight]	Nur Nacht
K45::XTM.vuio[lineList.lineDisabled]	Leitung deaktiviert
K45::XTM.vuio[lineList.sort.title]	Zeilen sortieren
K45::XTM.vuio[lineList.sort.routeNumber]	Zeilennummer
K45::XTM.vuio[lineList.sort.acronym]	Linienakronym
K45::XTM.vuio[lineList.sort.length]	Leitungslänge
K45::XTM.vuio[lineList.sort.usage]	Leitungsnutzung (%)
K45::XTM.vuio[lineList.sort.cargo]	Passagiere/Fracht pro Monat
K45::XTM.vuio[lineList.sort.schedule]	Planungsstatus
K45::XTM.vuio[lineList.openDetails]	Einzelheiten
K45::XTM.vuio[lineList.editColor]	Linienfarbe ändern
K45::XTM.vuio[lineList.restorePalette]	Palettenfarbe wiederherstellen
K45::XTM.vuio[lineList.editIdentity]	Akronym/Nummer der Zeile bearbeiten
K45::XTM.vuio[lineList.edit.acronym]	Linienakronym
K45::XTM.vuio[lineList.edit.internalNumber]	Interne Zeilennummer
K45::XTM.vuio[lineList.noMatchingLines]	Keine passenden Zeilen
K45::XTM.vuio[lineList.noLinesInCity]	Keine Warteschlangen in der Stadt
K45::XTM.vuio[lineStationDetail.crowdness]	{waiting} / {capacity} ({percent})
K45::XTM.vuio[lineViewer.showPlatformCrowdnessLbl]	Zeigen Sie die Menschenmenge auf den Plattformen
K45::XTM.vuio[lineViewer.occupancyTooltip]	Durchschnittliche Fahrzeugbelegung zwischen {startHour} und {endHour}.
K45::XTM.vuio[lineViewer.occupancyHeadingTo]	Fahrzeuge fahren nach: {to}
K45::XTM.vuio[lineViewer.occupancyDayAverage]	Durchschnittliche Belegung pro Tag: {value}
K45::XTM.vuio[lineViewer.segmentOccupancyDisplayed]	Angezeigte Segmentbelegung: {mode}
K45::XTM.vuio[lineViewer.segmentOccupancyMenuTitle]	Segmentbelegung
K45::XTM.vuio[lineViewer.segmentOccupancyMode.none]	Keiner
K45::XTM.vuio[lineViewer.segmentOccupancyMode.currentHour]	Aktuelle Stunde
K45::XTM.vuio[lineViewer.segmentOccupancyMode.dayAverage]	Tagesdurchschnitt
K45::XTM.vuio[lineViewer.segmentOccupancyMode.00_04]	0h ~ 4h
K45::XTM.vuio[lineViewer.segmentOccupancyMode.04_08]	4h ~ 8h
K45::XTM.vuio[lineViewer.segmentOccupancyMode.08_12]	8h ~ 12h
K45::XTM.vuio[lineViewer.segmentOccupancyMode.12_16]	12h ~ 16h
K45::XTM.vuio[lineViewer.segmentOccupancyMode.16_20]	16h ~ 20h
K45::XTM.vuio[lineViewer.segmentOccupancyMode.20_24]	20h ~ 24h
K45::XTM.vuio[lineViewer.occupancyDayAverageTooltip]	Durchschnittliche Fahrzeugbelegung im Laufe des Tages.
K45::XTM.vuio[lineViewer.lineHistoricalOccupancy]	Historische Belegung
K45::XTM.vuio[occupancyReport.changeMode]	Modus ändern
K45::XTM.vuio[occupancyReport.mode.listing]	Zeilenauflistung
K45::XTM.vuio[occupancyReport.mode.occupancyPassengers]	Belegungsbericht: Passagiere
K45::XTM.vuio[occupancyReport.mode.occupancyCargo]	Belegungsbericht: Fracht
K45::XTM.vuio[occupancyReport.refreshData]	Daten aktualisieren
K45::XTM.vuio[occupancyReport.dataAsOf]	Daten vom {datetime}
K45::XTM.vuio[occupancyReport.topLinesTitle]	Top-Linien nach 30.-Perzentil-Belegung
K45::XTM.vuio[occupancyReport.topSegmentsTitle]	Top-Segmente nach Auslastung
K45::XTM.vuio[occupancyReport.columnOverall]	Gesamt
K45::XTM.vuio[occupancyReport.noData]	Keine Daten
K45::XTM.vuio[occupancyReport.loading]	Laden…
K45::XTM.vuio[occupancyReport.backToOverview]	Zurück zur Übersicht
K45::XTM.vuio[occupancyReport.topLimited]	Top {count}
K45::XTM.vuio[fareGroups.mode]	Tarifgruppen
K45::XTM.vuio[fareGroups.screenTitle]	Tarifgruppen
K45::XTM.vuio[fareGroups.groupCount]	{count} Gruppen
K45::XTM.vuio[fareGroups.listTitle]	Gruppen
K45::XTM.vuio[fareGroups.addGroup]	Tarifgruppe hinzufügen
K45::XTM.vuio[fareGroups.loading]	Laden…
K45::XTM.vuio[fareGroups.emptyList]	Noch keine Tarifgruppen
K45::XTM.vuio[fareGroups.selectGroup]	Wählen Sie eine Tarifgruppe aus
K45::XTM.vuio[fareGroups.unnamed]	Unbenannte Gruppe
K45::XTM.vuio[fareGroups.fareFree]	Frei
K45::XTM.vuio[fareGroups.lineCount]	{count} Zeilen
K45::XTM.vuio[fareGroups.delete.tooltip]	Tarifgruppe löschen
K45::XTM.vuio[fareGroups.delete.title]	Tarifgruppe löschen
K45::XTM.vuio[fareGroups.delete.message]	Sind Sie sicher, dass Sie die Tarifgruppe „{name}" löschen möchten?
K45::XTM.vuio[fareGroups.field.name]	Name
K45::XTM.vuio[fareGroups.field.defaultFare]	Standardtarif
K45::XTM.vuio[fareGroups.exceptions.title]	Stundenausnahmen
K45::XTM.vuio[fareGroups.exceptions.empty]	Keine Ausnahmen
K45::XTM.vuio[fareGroups.exceptions.startHour]	Start
K45::XTM.vuio[fareGroups.exceptions.endHour]	Ende
K45::XTM.vuio[fareGroups.exceptions.fare]	Fahrpreis
K45::XTM.vuio[fareGroups.exceptions.remove]	Ausnahme entfernen
K45::XTM.vuio[fareGroups.exceptions.add]	Ausnahme hinzufügen
K45::XTM.vuio[fareGroups.exceptions.errorMax]	Maximal {count} Ausnahmen
K45::XTM.vuio[fareGroups.exceptions.errorOverlap]	Ausnahmezeiten dürfen sich nicht überschneiden
K45::XTM.vuio[fareGroups.exceptions.errorInvalid]	Ungültiger Stundenbereich
K45::XTM.vuio[fareGroups.exceptions.saveBlocked]	Beheben Sie Ausnahmestunden, bevor Änderungen gespeichert werden können
K45::XTM.vuio[fareGroups.linkedLines]	Zeilen in dieser Gruppe
K45::XTM.vuio[fareGroups.linkedEmpty]	Keine Linien verknüpft
K45::XTM.vuio[fareGroups.availableLines]	Verfügbare Zeilen zum Verknüpfen mit dieser Gruppe
K45::XTM.vuio[fareGroups.availableEmpty]	Keine passenden Zeilen
K45::XTM.vuio[fareGroups.removeLine]	Zeile aus Gruppe entfernen
K45::XTM.vuio[fareGroups.addLine]	Zeile zur Gruppe hinzufügen
K45::XTM.vuio[fareGroups.otherGroup.unknown]	eine andere Gruppe
K45::XTM.vuio[fareGroups.otherGroup.warning]	Gehört zu {group}. Wenn Sie es hier hinzufügen, wird es aus dieser Gruppe entfernt.
K45::XTM.vuio[fareGroups.exceptions.summary]	Der Tarif {fare}¢ gilt von {start}:00 bis {end}:59
K45::XTM.vuio[fareGroups.exceptions.summaryFree]	Von {start}:00 bis {end}:59 gilt die kostenlose Fahrt
K45::XTM.vuio[fareGroups.filterAssigned]	Leitungen, die bereits einer Gruppe zugeordnet sind
K45::XTM.vuio[fareGroups.addAllFiltered]	Fügen Sie alle gefilterten Zeilen zu dieser Gruppe hinzu
K45::XTM.vuio[fareGroups.removeAllLines]	Alle Zeilen aus dieser Gruppe entfernen
K45::XTM.vuio[fareGroups.ticketPrice.managedBy]	Diese Linie gehört zur Tarifgruppe {name}. Aktueller Tarif: <{fare}>.\nEine Änderung dieses Tarifs wirkt sich auf <{count}> Linien aus.
K45::XTM.vuio[fareGroups.ticketPrice.editGroup]	Tarifgruppe bearbeiten
K45::XTM.vuio[fareGroups.ticketPrice.andOthers]	... und {count} andere
K45::XTM.vuio[vehicleModelGroups.unnamed]	Unbenannte Fahrzeugmodellgruppe
K45::XTM.vuio[vehicleModelGroups.sort.title]	Fahrzeuge sortieren
K45::XTM.vuio[vehicleModelGroups.sort.name]	Name
K45::XTM.vuio[vehicleModelGroups.sort.capacity]	Kapazität
K45::XTM.vuio[vehicleModelGroups.sort.length]	Gesamtlänge
K45::XTM.vuio[vehicleModelGroups.mode]	Fahrzeugmodellgruppen
K45::XTM.vuio[vehicleModelGroups.screenTitle]	Fahrzeugmodellgruppen
K45::XTM.vuio[vehicleModelGroups.groupCount]	{count} Gruppen
K45::XTM.vuio[vehicleModelGroups.listTitle]	Gruppen
K45::XTM.vuio[vehicleModelGroups.addGroup]	Fahrzeugmodellgruppe hinzufügen
K45::XTM.vuio[vehicleModelGroups.loading]	Laden…
K45::XTM.vuio[vehicleModelGroups.typeMenu.empty]	Keine Transportart
K45::XTM.vuio[vehicleModelGroups.typeMenuTitle]	Wählen Sie den zu bearbeitenden Transporttyp aus
K45::XTM.vuio[vehicleModelGroups.emptyList]	Für diesen Typ gibt es noch keine Fahrzeugmodellgruppen
K45::XTM.vuio[vehicleModelGroups.selectGroup]	Wählen Sie eine Fahrzeugmodellgruppe aus
K45::XTM.vuio[vehicleModelGroups.modelCount]	{count} Modelle
K45::XTM.vuio[vehicleModelGroups.lineCount]	{count} Zeilen
K45::XTM.vuio[vehicleModelGroups.delete.tooltip]	Fahrzeugmodellgruppe löschen
K45::XTM.vuio[vehicleModelGroups.delete.title]	Fahrzeugmodellgruppe löschen
K45::XTM.vuio[vehicleModelGroups.delete.message]	Sind Sie sicher, dass Sie die Fahrzeugmodellgruppe "{name}" löschen möchten?
K45::XTM.vuio[vehicleModelGroups.field.name]	Name
K45::XTM.vuio[vehicleModelGroups.modelsRequired]	Fügen Sie mindestens eine Komposition mit einem Fahrzeug hinzu, bevor Änderungen gespeichert werden können
K45::XTM.vuio[vehicleModelGroups.compositions]	Kompositionen
K45::XTM.vuio[vehicleModelGroups.compositionsEmpty]	Noch keine Kompositionen – fügen Sie eine hinzu, um Fahrzeuge auszuwählen
K45::XTM.vuio[vehicleModelGroups.addComposition]	Komposition hinzufügen
K45::XTM.vuio[vehicleModelGroups.removeComposition]	Zusammensetzung entfernen
K45::XTM.vuio[vehicleModelGroups.pickVehicle]	Fahrzeug auswählen
K45::XTM.vuio[vehicleModelGroups.pickPrimary]	Wählen Sie Motor/Primär aus
K45::XTM.vuio[vehicleModelGroups.pickCarriage]	Wagen auswählen
K45::XTM.vuio[vehicleModelGroups.linkedLines]	Zeilen in dieser Gruppe
K45::XTM.vuio[vehicleModelGroups.linkedEmpty]	Keine Linien verknüpft
K45::XTM.vuio[vehicleModelGroups.availableLines]	Verfügbare Zeilen zum Verknüpfen mit dieser Gruppe
K45::XTM.vuio[vehicleModelGroups.availableEmpty]	Keine passenden Zeilen
K45::XTM.vuio[vehicleModelGroups.filterAssigned]	Leitungen, die bereits einer Gruppe zugeordnet sind
K45::XTM.vuio[vehicleModelGroups.addAllFiltered]	Fügen Sie alle gefilterten Zeilen zu dieser Gruppe hinzu
K45::XTM.vuio[vehicleModelGroups.addLine]	Zeile zur Gruppe hinzufügen
K45::XTM.vuio[vehicleModelGroups.removeLine]	Zeile aus Gruppe entfernen
K45::XTM.vuio[vehicleModelGroups.removeAllLines]	Entfernen Sie alle Zeilen aus dieser Gruppe
K45::XTM.vuio[vehicleModelGroups.otherGroup.unknown]	eine andere Gruppe
K45::XTM.vuio[vehicleModelGroups.otherGroup.warning]	Gehört zu {group}. Wenn Sie es hier hinzufügen, wird es aus dieser Gruppe entfernt.
K45::XTM.vuio[vehicleModelGroups.carriage]	Wagen
K45::XTM.vuio[vehicleModelGroups.stat.cap]	KAPPE
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltip]	Passagierkapazität
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltipCargo]	Ladekapazität
K45::XTM.vuio[vehicleModelGroups.stat.units]	EINHEITEN
K45::XTM.vuio[vehicleModelGroups.stat.units.tooltip]	Anzahl der Kompositionseinheiten
K45::XTM.vuio[vehicleModelGroups.stat.len.unit]	ULEN
K45::XTM.vuio[vehicleModelGroups.stat.len.unit.tooltip]	Einzelfahrzeuglänge
K45::XTM.vuio[vehicleModelGroups.stat.len]	LEN
K45::XTM.vuio[vehicleModelGroups.stat.len.tooltip]	Gesamtlänge des Fahrzeugs
K45::XTM.vuio[vehicleModelGroups.stat.len.paired.tooltip]	Gesamtlänge der Komposition:\nEinheiten × (Motor + Waggons × (Wagen − 1))
K45::XTM.vuio[vehicleModelGroups.stat.unit.pax]	pax
K45::XTM.vuio[vehicleModelGroups.stat.unit.weight]	kg
K45::XTM.vuio[vehicleModelGroups.stat.unit.cars]	Autos
K45::XTM.vuio[vehicleModelGroups.stat.unit.meters]	M
K45::XTM.vuio[vehicleModelGroups.selectVehicles.managedBy]	Diese Linie gehört zur Fahrzeugmodellgruppe <{name}>.\nEine Änderung dieser Modelle wirkt sich auf <{count}> Linien aus.
K45::XTM.vuio[vehicleModelGroups.selectVehicles.editGroup]	Fahrzeugmodellgruppe bearbeiten
K45::XTM.vuio[vehicleModelGroups.selectVehicles.removeFromGroup]	Aus der Gruppe entfernen
K45::XTM.vuio[vehicleModelGroups.selectVehicles.moveToGroup]	In eine andere Gruppe wechseln
K45::XTM.vuio[vehicleModelGroups.selectVehicles.andOthers]	... und {count} andere
K45::XTM.vuio[fareGroups.ticketPrice.removeFromGroup]	Aus der Gruppe entfernen
K45::XTM.vuio[fareGroups.ticketPrice.moveToGroup]	In eine andere Gruppe wechseln
K45::XTM.vuio[fareGroups.fareTable.title]	Tarifplan
K45::XTM.vuio[fareGroups.fareTable.default]	Standard
K45::XTM.vuio[fareGroups.fareTable.hours]	{start}:00 - {end}:59
K45::XTM.vuio[managedGroups.sip.menuTooltip]	Gruppenoptionen
K45::XTM.vuio[managedGroups.sip.noGroupsAvailable]	<Keine Gruppen verfügbar>
K45::XTM.vuio[managedGroups.sip.assignFareTitle]	Einer Tarifgruppe zuordnen
K45::XTM.vuio[managedGroups.sip.assignModelsTitle]	Der Fahrzeugmodellgruppe zuordnen
K45::XTM.vuio[managedGroups.sip.manageFareGroups]	Tarifgruppen verwalten
K45::XTM.vuio[managedGroups.sip.manageModelGroups]	Fahrzeugmodellgruppen verwalten
K45::XTM.vuio[lineViewerEditor.internalNumber]	Interne Routennummer
K45::XTM.vuio[lineViewerEditor.internalNumber.tooltip]	Wird von Paletten und Benennungen verwendet
K45::XTM.vuio[lineViewerEditor.displayIdentifier]	Routenkennung
K45::XTM.vuio[lineViewerEditor.displayIdentifier.tooltip]	Überschreibt die Routennummer, wenn Name und Schild generiert werden
K45::XTM.vuio[lineViewerEditor.ignorePalette]	Verwenden Sie eine feste Farbe
K45::XTM.vuio[lineViewerEditor.ignorePalette.tooltip]	Ignorieren Sie die Paletteneinstellungen für diese Zeile
K45::XTM.vuio[lineList.editName]	Leitungsnamen bearbeiten
K45::XTM.vuio[lineViewer.advancedData]	Erweiterte Statistiken
K45::XTM.vuio[palettes.section.passengers]	Passagiere
K45::XTM.vuio[palettes.section.cargo]	Ladung
K45::XTM.vuio[palettes.paletteCount]	{count} Paletten
K45::XTM.vuio[paletteEditor.import.invalidFile]	Keine gültige Palettendatei
::GEditor	Editor
::LShowEditorPalettesButton	Schaltfläche "Paletten anzeigen" im Editor
::DShowEditorPalettesButton	Wenn diese Option aktiviert ist, wird der Editor-Symbolleiste eine XTM-Schaltfläche hinzugefügt, um die Palettenbibliothek zu öffnen. Wird wirksam, wenn der Editor-Modus das nächste Mal aufgerufen wird.
Editor.TOOL[k45__xtm_MainWindow]	XTM: Paletteneinstellungen
K45::XTM.vuio[paletteEditor.appendPalette]	Palette anhängen
K45::XTM.vuio[paletteEditor.append.title]	Palette anhängen
K45::XTM.vuio[paletteEditor.append.prompt]	Wählen Sie eine .hex-Datei zum Anhängen aus. Seine Farben werden am Ende der aktuellen Palette hinzugefügt
K45::XTM.vuio[paletteEditor.copyPalette]	Palette kopieren
K45::XTM.vuio[paletteEditor.pasteReplacePalette]	Palette einfügen (ersetzen)
K45::XTM.vuio[paletteEditor.pasteAppendPalette]	Palette einfügen (anhängen)
K45::XTM.vuio[paletteEditor.resetChanges]	Änderungen zurücksetzen
K45::XTM.vuio[paletteEditor.clipboard.invalid]	Die Zwischenablage enthält keine gültige .hex-Palette
K45::XTM.vuio[paletteEditor.clipboard.copyFailed]	Konnte nicht in die Zwischenablage kopieren
K45::XTM.vuio[paletteEditor.clipboard.pasteFailed]	Zwischenablage konnte nicht gelesen werden
K45::XTM.vuio[paletteEditor.clipboard.copied]	Palette kopiert
K45::XTM.vuio[paletteEditor.reset.title]	Änderungen zurücksetzen
K45::XTM.vuio[paletteEditor.reset.message]	Nicht gespeicherte Änderungen an dieser Palette verwerfen? Dies kann nicht rückgängig gemacht werden.
K45::XTM.vuio[glossary.toggleXtm]	XTM-Glossar
K45::XTM.vuio[glossary.title]	XTM-Enzyklopädie
K45::XTM.vuio[glossary.tab.overview]	XTM-Übersicht
K45::XTM.vuio[glossary.index.title]	Erweiterter Transportmanager
K45::XTM.vuio[glossary.index.intro]	XTM erweitert den öffentlichen Nahverkehr von Cities: Skylines II um ein umfassenderes Linienmanagement, Einblicke in die Belegung, Tarifgruppen, Fahrzeugmodellgruppen und Paletten. In diesem Glossar werden diese Tools dokumentiert. Beginnen Sie hier, um einen Überblick darüber zu erhalten, was der Mod hinzufügt.
K45::XTM.vuio[glossary.index.sectionsHeading]	Kommende Dokumentation
K45::XTM.vuio[glossary.index.bodyHeading]	Willkommen
K45::XTM.vuio[glossary.index.body]	Verwenden Sie die XTM-Schaltfläche rechts in diesem Bereich, um zwischen der Spiele-Enzyklopädie und der XTM-eigenen Hilfe zu wechseln. Detaillierte Abschnitte werden beim Schreiben in der Liste links angezeigt.
K45::XTM.vuio[glossary.index.placeholderNote]	Abschnittseinträge sind vorerst Platzhalter – Inhalte folgen in einem späteren Update.
K45::XTM.vuio[glossary.index.placeholder.overview]	Mod-Übersicht
K45::XTM.vuio[glossary.index.placeholder.lines]	Linien- und Übersichtsliste
K45::XTM.vuio[glossary.index.placeholder.fares]	Fahrpreise und Ticketpreise
K45::XTM.vuio[glossary.index.placeholder.vehicles]	Fahrzeugmodellgruppen
K45::XTM.vuio[glossary.index.placeholder.palettes]	Linienfarbpaletten
K45::XTM.vuio[glossary.search.placeholder]	Suchen…
K45::XTM.vuio[glossary.packFilter]	Packungen
K45::XTM.vuio[glossary.packFilter.all]	Alle Packungen
K45::XTM.vuio[glossary.tableOfContents]	Inhaltsverzeichnis
K45::XTM.vuio[glossary.tab.all]	Alle
K45::XTM.vuio[glossary.tab.start]	Beginnen Sie hier
K45::XTM.vuio[glossary.tab.lines]	Linien und Routen
K45::XTM.vuio[glossary.tab.map]	Karte und Netzwerk
K45::XTM.vuio[glossary.tab.statistics]	Statistiken
K45::XTM.vuio[glossary.tab.groups]	Tarife und Fahrzeugmodelle
K45::XTM.vuio[glossary.tab.appearance]	Paletten und Integrationen
K45::XTM.vuio[glossary.category.start.overview]	Überblick
K45::XTM.vuio[glossary.category.start.gettingAround]	Sich fortbewegen
K45::XTM.vuio[glossary.category.start.settings]	Einstellungen & Support
