key	ko-KR
K45::XTM.vuio[lineList.edit.internalNumber]	내부 노선 번호
K45::XTM.vuio[lineList.noMatchingLines]	일치하는 노선 없음
K45::XTM.vuio[lineList.noLinesInCity]	도시에 노선이 없음
K45::XTM.vuio[lineStationDetail.crowdness]	{waiting} / {capacity} ({percent})
K45::XTM.vuio[lineViewer.showPlatformCrowdnessLbl]	플랫폼 혼잡도 표시
K45::XTM.vuio[lineViewer.occupancyTooltip]	{startHour}부터 {endHour}까지 평균 차량 점유율입니다.
K45::XTM.vuio[lineViewer.occupancyHeadingTo]	다음으로 향하는 차량: {to}
K45::XTM.vuio[lineViewer.occupancyDayAverage]	하루 평균 점유율: {value}
K45::XTM.vuio[lineViewer.segmentOccupancyDisplayed]	표시된 세그먼트 점유율: {mode}
K45::XTM.vuio[lineViewer.segmentOccupancyMenuTitle]	세그먼트 점유
K45::XTM.vuio[lineViewer.segmentOccupancyMode.none]	없음
K45::XTM.vuio[lineViewer.segmentOccupancyMode.currentHour]	현재 시간
K45::XTM.vuio[lineViewer.segmentOccupancyMode.dayAverage]	일일 평균
K45::XTM.vuio[lineViewer.segmentOccupancyMode.00_04]	0시 ~ 4시
K45::XTM.vuio[lineViewer.segmentOccupancyMode.04_08]	4시간 ~ 8시간
K45::XTM.vuio[lineViewer.segmentOccupancyMode.08_12]	8시 ~ 12시
K45::XTM.vuio[lineViewer.segmentOccupancyMode.12_16]	12시 ~ 16시
K45::XTM.vuio[lineViewer.segmentOccupancyMode.16_20]	16시 ~ 20시
K45::XTM.vuio[lineViewer.segmentOccupancyMode.20_24]	20시 ~ 24시
K45::XTM.vuio[lineViewer.occupancyDayAverageTooltip]	하루 평균 차량 점유율입니다.
K45::XTM.vuio[lineViewer.lineHistoricalOccupancy]	역사적 점유
K45::XTM.vuio[occupancyReport.changeMode]	모드 변경
K45::XTM.vuio[occupancyReport.mode.listing]	라인 목록
K45::XTM.vuio[occupancyReport.mode.occupancyPassengers]	점유 보고서: 승객
K45::XTM.vuio[occupancyReport.mode.occupancyCargo]	점유 보고서: 화물
K45::XTM.vuio[occupancyReport.refreshData]	데이터 새로 고침
K45::XTM.vuio[occupancyReport.dataAsOf]	{datetime} 기준 데이터
K45::XTM.vuio[occupancyReport.topLinesTitle]	30번째 백분위수 점유율 기준 상위 라인
K45::XTM.vuio[occupancyReport.topSegmentsTitle]	점유율별 상위 세그먼트
K45::XTM.vuio[occupancyReport.columnOverall]	전반적인
K45::XTM.vuio[occupancyReport.noData]	데이터 없음
K45::XTM.vuio[occupancyReport.loading]	로드 중…
K45::XTM.vuio[occupancyReport.backToOverview]	개요로 돌아가기
K45::XTM.vuio[occupancyReport.topLimited]	상위 {count}
K45::XTM.vuio[fareGroups.mode]	요금 그룹
K45::XTM.vuio[fareGroups.screenTitle]	요금 그룹
K45::XTM.vuio[fareGroups.groupCount]	{count}개 그룹
K45::XTM.vuio[fareGroups.listTitle]	여러 떼
K45::XTM.vuio[fareGroups.addGroup]	운임 그룹 추가
K45::XTM.vuio[fareGroups.loading]	로드 중…
K45::XTM.vuio[fareGroups.emptyList]	아직 요금 그룹이 없습니다.
K45::XTM.vuio[fareGroups.selectGroup]	운임 그룹을 선택하세요
K45::XTM.vuio[fareGroups.unnamed]	이름 없는 그룹
K45::XTM.vuio[fareGroups.fareFree]	무료
K45::XTM.vuio[fareGroups.lineCount]	{count}줄
K45::XTM.vuio[fareGroups.delete.tooltip]	운임 그룹 삭제
K45::XTM.vuio[fareGroups.delete.title]	운임 그룹 삭제
K45::XTM.vuio[fareGroups.delete.message]	"{name}" 요금 그룹을 삭제하시겠습니까?
K45::XTM.vuio[fareGroups.field.name]	이름
K45::XTM.vuio[fareGroups.field.defaultFare]	기본 운임
K45::XTM.vuio[fareGroups.exceptions.title]	시간 예외
K45::XTM.vuio[fareGroups.exceptions.empty]	예외 없음
K45::XTM.vuio[fareGroups.exceptions.startHour]	시작
K45::XTM.vuio[fareGroups.exceptions.endHour]	끝
K45::XTM.vuio[fareGroups.exceptions.fare]	요금
K45::XTM.vuio[fareGroups.exceptions.remove]	예외 제거
K45::XTM.vuio[fareGroups.exceptions.add]	예외 추가
K45::XTM.vuio[fareGroups.exceptions.errorMax]	최대 {count}개의 예외
K45::XTM.vuio[fareGroups.exceptions.errorOverlap]	예외 시간은 중복되어서는 안 됩니다.
K45::XTM.vuio[fareGroups.exceptions.errorInvalid]	잘못된 시간 범위
K45::XTM.vuio[fareGroups.exceptions.saveBlocked]	변경사항을 저장하기 전에 예외 시간 수정
K45::XTM.vuio[fareGroups.linkedLines]	이 그룹의 라인
K45::XTM.vuio[fareGroups.linkedEmpty]	연결된 노선 없음
K45::XTM.vuio[fareGroups.availableLines]	이 그룹에 연결할 수 있는 라인
K45::XTM.vuio[fareGroups.availableEmpty]	일치하는 줄이 없습니다.
K45::XTM.vuio[fareGroups.removeLine]	그룹에서 라인 제거
K45::XTM.vuio[fareGroups.addLine]	그룹에 라인 추가
K45::XTM.vuio[fareGroups.otherGroup.unknown]	다른 그룹
K45::XTM.vuio[fareGroups.otherGroup.warning]	{group}에 속해 있습니다. 여기에 추가하면 해당 그룹에서 제거됩니다.
K45::XTM.vuio[fareGroups.exceptions.summary]	{start}:00부터 {end}:59까지 운임 {fare}¢가 적용됩니다.
K45::XTM.vuio[fareGroups.exceptions.summaryFree]	{start}:00부터 {end}:59까지 무료 여행이 적용됩니다.
K45::XTM.vuio[fareGroups.filterAssigned]	그룹에 이미 할당된 라인
K45::XTM.vuio[fareGroups.addAllFiltered]	필터링된 모든 라인을 이 그룹에 추가
K45::XTM.vuio[fareGroups.removeAllLines]	이 그룹에서 모든 줄을 제거합니다.
K45::XTM.vuio[fareGroups.ticketPrice.managedBy]	이 노선은 요금 그룹 {name}에 속합니다. 현재 요금: <{fare}>.\n이 요금을 변경하면 <{count}>개 노선에 영향을 미칩니다.
K45::XTM.vuio[fareGroups.ticketPrice.editGroup]	운임 그룹 수정
K45::XTM.vuio[fareGroups.ticketPrice.andOthers]	... 외 {count}명
K45::XTM.vuio[vehicleModelGroups.unnamed]	이름이 없는 차량 모델 그룹
K45::XTM.vuio[vehicleModelGroups.sort.title]	차량 정렬
K45::XTM.vuio[vehicleModelGroups.sort.name]	이름
K45::XTM.vuio[vehicleModelGroups.sort.capacity]	용량
K45::XTM.vuio[vehicleModelGroups.sort.length]	총 길이
K45::XTM.vuio[vehicleModelGroups.mode]	차량 모델 그룹
K45::XTM.vuio[vehicleModelGroups.screenTitle]	차량 모델 그룹
K45::XTM.vuio[vehicleModelGroups.groupCount]	{count}개 그룹
K45::XTM.vuio[vehicleModelGroups.listTitle]	여러 떼
K45::XTM.vuio[vehicleModelGroups.addGroup]	차량 모델 그룹 추가
K45::XTM.vuio[vehicleModelGroups.loading]	로드 중…
K45::XTM.vuio[vehicleModelGroups.typeMenu.empty]	운송 유형 없음
K45::XTM.vuio[vehicleModelGroups.typeMenuTitle]	편집할 운송 유형을 선택하세요.
K45::XTM.vuio[vehicleModelGroups.emptyList]	이 유형에 대한 차량 모델 그룹이 아직 없습니다.
K45::XTM.vuio[vehicleModelGroups.selectGroup]	차량 모델 그룹을 선택하세요
K45::XTM.vuio[vehicleModelGroups.modelCount]	{count} 모델
K45::XTM.vuio[vehicleModelGroups.lineCount]	{count}줄
K45::XTM.vuio[vehicleModelGroups.delete.tooltip]	차량 모델 그룹 삭제
K45::XTM.vuio[vehicleModelGroups.delete.title]	차량 모델 그룹 삭제
K45::XTM.vuio[vehicleModelGroups.delete.message]	차량 모델 그룹 "{name}"을(를) 삭제하시겠습니까?
K45::XTM.vuio[vehicleModelGroups.field.name]	이름
K45::XTM.vuio[vehicleModelGroups.modelsRequired]	변경 사항을 저장하기 전에 차량에 하나 이상의 구성을 추가하세요.
K45::XTM.vuio[vehicleModelGroups.compositions]	작곡
K45::XTM.vuio[vehicleModelGroups.compositionsEmpty]	아직 구성이 없습니다. 차량을 선택하려면 구성을 추가하세요.
K45::XTM.vuio[vehicleModelGroups.addComposition]	구성 추가
K45::XTM.vuio[vehicleModelGroups.removeComposition]	컴포지션 삭제
K45::XTM.vuio[vehicleModelGroups.pickVehicle]	차량 선택
K45::XTM.vuio[vehicleModelGroups.pickPrimary]	엔진/기본 선택
K45::XTM.vuio[vehicleModelGroups.pickCarriage]	캐리지 선택
K45::XTM.vuio[vehicleModelGroups.linkedLines]	이 그룹의 라인
K45::XTM.vuio[vehicleModelGroups.linkedEmpty]	연결된 노선 없음
K45::XTM.vuio[vehicleModelGroups.availableLines]	이 그룹에 연결할 수 있는 라인
K45::XTM.vuio[vehicleModelGroups.availableEmpty]	일치하는 줄이 없습니다.
K45::XTM.vuio[vehicleModelGroups.filterAssigned]	그룹에 이미 할당된 라인
K45::XTM.vuio[vehicleModelGroups.addAllFiltered]	필터링된 모든 라인을 이 그룹에 추가
K45::XTM.vuio[vehicleModelGroups.addLine]	그룹에 라인 추가
K45::XTM.vuio[vehicleModelGroups.removeLine]	그룹에서 라인 제거
K45::XTM.vuio[vehicleModelGroups.removeAllLines]	이 그룹에서 모든 줄을 제거합니다.
K45::XTM.vuio[vehicleModelGroups.otherGroup.unknown]	다른 그룹
K45::XTM.vuio[vehicleModelGroups.otherGroup.warning]	{group}에 속해 있습니다. 여기에 추가하면 해당 그룹에서 제거됩니다.
K45::XTM.vuio[vehicleModelGroups.carriage]	마차
K45::XTM.vuio[vehicleModelGroups.stat.cap]	캡
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltip]	승객 수용력
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltipCargo]	화물 용량
K45::XTM.vuio[vehicleModelGroups.stat.units]	단위
K45::XTM.vuio[vehicleModelGroups.stat.units.tooltip]	구성 단위 수
K45::XTM.vuio[vehicleModelGroups.stat.len.unit]	울렌
K45::XTM.vuio[vehicleModelGroups.stat.len.unit.tooltip]	단일 차량 길이
K45::XTM.vuio[vehicleModelGroups.stat.len]	렌
K45::XTM.vuio[vehicleModelGroups.stat.len.tooltip]	총 차량 길이
K45::XTM.vuio[vehicleModelGroups.stat.len.paired.tooltip]	총 구성 길이:\n대 × (엔진 + 마차 × (자동차 − 1))
K45::XTM.vuio[vehicleModelGroups.stat.unit.pax]	팍스
K45::XTM.vuio[vehicleModelGroups.stat.unit.weight]	kg
K45::XTM.vuio[vehicleModelGroups.stat.unit.cars]	자동차
K45::XTM.vuio[vehicleModelGroups.stat.unit.meters]	중
K45::XTM.vuio[vehicleModelGroups.selectVehicles.managedBy]	이 라인은 차량 모델 그룹 <{name}>에 속합니다.\n이 모델을 변경하면 <{count}>개 라인에 영향을 미칩니다.
K45::XTM.vuio[vehicleModelGroups.selectVehicles.editGroup]	차량 모델 그룹 수정
K45::XTM.vuio[vehicleModelGroups.selectVehicles.removeFromGroup]	그룹에서 제거
K45::XTM.vuio[vehicleModelGroups.selectVehicles.moveToGroup]	다른 그룹으로 이동
K45::XTM.vuio[vehicleModelGroups.selectVehicles.andOthers]	... 외 {count}명
K45::XTM.vuio[fareGroups.ticketPrice.removeFromGroup]	그룹에서 제거
K45::XTM.vuio[fareGroups.ticketPrice.moveToGroup]	다른 그룹으로 이동
K45::XTM.vuio[fareGroups.fareTable.title]	요금표
K45::XTM.vuio[fareGroups.fareTable.default]	기본
K45::XTM.vuio[fareGroups.fareTable.hours]	{start}:00 - {end}:59
K45::XTM.vuio[managedGroups.sip.menuTooltip]	그룹 옵션
K45::XTM.vuio[managedGroups.sip.noGroupsAvailable]	<사용 가능한 그룹 없음>
K45::XTM.vuio[managedGroups.sip.assignFareTitle]	운임 그룹에 할당
K45::XTM.vuio[managedGroups.sip.assignModelsTitle]	차량 모델 그룹에 할당
K45::XTM.vuio[managedGroups.sip.manageFareGroups]	운임 그룹 관리
K45::XTM.vuio[managedGroups.sip.manageModelGroups]	차량 모델 그룹 관리
K45::XTM.vuio[lineViewerEditor.internalNumber]	내부 경로 번호
K45::XTM.vuio[lineViewerEditor.internalNumber.tooltip]	팔레트 및 명명에 사용
K45::XTM.vuio[lineViewerEditor.displayIdentifier]	경로 식별자
K45::XTM.vuio[lineViewerEditor.displayIdentifier.tooltip]	이름 생성 시 노선 번호보다 우선함
K45::XTM.vuio[lineViewerEditor.ignorePalette]	고정 색상 사용
K45::XTM.vuio[lineViewerEditor.ignorePalette.tooltip]	이 노선에 대한 팔레트 설정 무시
K45::XTM.vuio[lineList.editName]	라인 이름 수정
K45::XTM.vuio[lineViewer.advancedData]	고급 통계
K45::XTM.vuio[palettes.section.passengers]	승객
K45::XTM.vuio[palettes.section.cargo]	화물
K45::XTM.vuio[palettes.paletteCount]	팔레트 {count}개
K45::XTM.vuio[paletteEditor.import.invalidFile]	유효하지 않은 팔레트 파일
::GEditor	에디터
::LShowEditorPalettesButton	에디터에 팔레트 버튼 표시
::DShowEditorPalettesButton	활성화하면 에디터 도구 모음에 XTM 버튼이 추가되어 팔레트 라이브러리를 엽니다. 다음에 에디터 모드에 들어갈 때 적용됩니다.
Editor.TOOL[k45__xtm_MainWindow]	XTM: 팔레트 설정
K45::XTM.vuio[paletteEditor.appendPalette]	팔레트 이어붙이기
K45::XTM.vuio[paletteEditor.append.title]	팔레트 이어붙이기
K45::XTM.vuio[paletteEditor.append.prompt]	이어붙일 .hex 파일을 선택하세요. 색상이 현재 팔레트 끝에 추가됩니다.
K45::XTM.vuio[paletteEditor.copyPalette]	팔레트 복사
K45::XTM.vuio[paletteEditor.pasteReplacePalette]	팔레트 붙여넣기(교체)
K45::XTM.vuio[paletteEditor.pasteAppendPalette]	팔레트 붙여넣기(추가)
K45::XTM.vuio[paletteEditor.resetChanges]	변경 사항 재설정
K45::XTM.vuio[paletteEditor.clipboard.invalid]	클립보드에 유효한 .hex 팔레트가 포함되어 있지 않습니다.
K45::XTM.vuio[paletteEditor.clipboard.copyFailed]	클립보드에 복사할 수 없습니다.
K45::XTM.vuio[paletteEditor.clipboard.pasteFailed]	클립보드를 읽을 수 없습니다.
K45::XTM.vuio[paletteEditor.clipboard.copied]	팔레트가 복사되었습니다.
K45::XTM.vuio[paletteEditor.reset.title]	변경 사항 재설정
K45::XTM.vuio[paletteEditor.reset.message]	이 팔레트에 저장되지 않은 변경사항을 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.
K45::XTM.vuio[glossary.toggleXtm]	XTM 용어집
K45::XTM.vuio[glossary.title]	XTM 백과사전
K45::XTM.vuio[glossary.tab.overview]	XTM 개요
K45::XTM.vuio[glossary.index.title]	확장된 운송 관리자
K45::XTM.vuio[glossary.index.intro]	XTM은 더욱 풍부한 노선 관리, 점유 통찰력, 요금 그룹, 차량 모델 그룹 및 팔레트를 통해 Cities: Skylines II 대중 교통을 확장합니다. 이 용어집은 해당 도구를 문서화합니다. 모드가 추가하는 내용에 대한 개요를 보려면 여기에서 시작하세요.
K45::XTM.vuio[glossary.index.sectionsHeading]	향후 문서
K45::XTM.vuio[glossary.index.bodyHeading]	환영
K45::XTM.vuio[glossary.index.body]	이 패널 오른쪽에 있는 XTM 버튼을 사용하면 게임 백과사전과 XTM 자체 도움말 사이를 전환할 수 있습니다. 세부 섹션이 작성되면 왼쪽 목록에 나타납니다.
K45::XTM.vuio[glossary.index.placeholderNote]	섹션 항목은 현재 자리 표시자입니다. 콘텐츠는 향후 업데이트에 따라 제공됩니다.
K45::XTM.vuio[glossary.index.placeholder.overview]	모드 개요
K45::XTM.vuio[glossary.index.placeholder.lines]	라인 및 개요 목록
K45::XTM.vuio[glossary.index.placeholder.fares]	운임 및 항공권 가격
K45::XTM.vuio[glossary.index.placeholder.vehicles]	차량 모델 그룹
K45::XTM.vuio[glossary.index.placeholder.palettes]	라인 색상 팔레트
K45::XTM.vuio[glossary.search.placeholder]	찾다…
K45::XTM.vuio[glossary.packFilter]	팩
K45::XTM.vuio[glossary.packFilter.all]	모든 팩
K45::XTM.vuio[glossary.tableOfContents]	목차
K45::XTM.vuio[glossary.tab.all]	모두
K45::XTM.vuio[glossary.tab.start]	여기서 시작하세요
K45::XTM.vuio[glossary.tab.lines]	노선 및 노선
K45::XTM.vuio[glossary.tab.map]	지도 및 네트워크
K45::XTM.vuio[glossary.tab.statistics]	통계
K45::XTM.vuio[glossary.tab.groups]	요금 및 차량 모델
K45::XTM.vuio[glossary.tab.appearance]	팔레트 및 통합
K45::XTM.vuio[glossary.category.start.overview]	개요
K45::XTM.vuio[glossary.category.start.gettingAround]	돌아다니기
K45::XTM.vuio[glossary.category.start.settings]	설정 및 지원
K45::XTM.vuio[glossary.category.lines.listing]	목록 및 필터
K45::XTM.vuio[glossary.category.lines.identity]	아이덴티티 & 외모
K45::XTM.vuio[glossary.category.lines.scheduling]	일정 및 작업
K45::XTM.vuio[glossary.category.lines.stopOrder]	중지 주문
K45::XTM.vuio[glossary.category.map.linear]	XTM 선형 지도
K45::XTM.vuio[glossary.category.map.stops]	정류장 및 지리
K45::XTM.vuio[glossary.category.map.interchanges]	인터체인지
K45::XTM.vuio[glossary.category.map.vehicles]	차량
K45::XTM.vuio[glossary.category.map.advanced]	고급 라인 데이터
K45::XTM.vuio[glossary.category.statistics.occupancy]	점유 및 혼잡
K45::XTM.vuio[glossary.category.groups.fareBasics]	운임 그룹
K45::XTM.vuio[glossary.category.groups.fareTime]	시간별 운임
K45::XTM.vuio[glossary.category.groups.fareMembership]	요금회원
K45::XTM.vuio[glossary.category.groups.modelBasics]	모델 그룹 기본사항
K45::XTM.vuio[glossary.category.groups.compositions]	작곡
K45::XTM.vuio[glossary.category.groups.modelMembership]	모델 멤버십
K45::XTM.vuio[glossary.category.groups.incompatibilities]	비호환성
K45::XTM.vuio[glossary.category.appearance.library]	팔레트 라이브러리
K45::XTM.vuio[glossary.category.appearance.editing]	팔레트 편집
K45::XTM.vuio[glossary.category.appearance.autoColor]	자동채색
K45::XTM.vuio[glossary.category.appearance.we]	어디서나 쓰기
K45::XTM.vuio[glossary.section.start.overview.whatAdds]	XTM이 추가하는 것
K45::XTM.vuio[glossary.section.start.overview.mainScreens]	메인 화면과 XTM 토글
K45::XTM.vuio[glossary.section.start.overview.linesVsCargo]	여객선과 화물선
K45::XTM.vuio[glossary.section.start.gettingAround.overview]	교통 개요
K45::XTM.vuio[glossary.section.start.gettingAround.sip]	선택한 정보 패널
K45::XTM.vuio[glossary.section.start.gettingAround.linearMap]	선형 지도
K45::XTM.vuio[glossary.section.start.gettingAround.editorPalettes]	편집기 팔레트 도구
K45::XTM.vuio[glossary.section.start.settings.uiDefaults]	UI 기본값
