key	ja-JP
K45::XTM.vuio[paletteEditor.import.prompt]	インポートする .hex ファイルを選択します。ファイルには 1 行につき 1 つの RGB カラー (#RRGGBB) が含まれます。
K45::XTM.vuio[paletteEditor.import.libraryBookmark]	デフォルトのライブラリ
K45::XTM.vuio[paletteEditor.import.bookmarksTitle]	XTMのデフォルト
K45::XTM.vuio[paletteEditor.shuffleColors]	カラーをシャッフルする
K45::XTM.vuio[palettesSettings.cargoModalsTitle]	貨物モーダル
K45::XTM.vuio[palettesSettings.modalSettings]	旅客モーダル
K45::XTM.vuio[palettesSettings.title]	モーダルからパレット設定へ
K45::XTM.vuio[saveBtn]	保存
K45::XTM.vuio[seeXtmMap]	XTM マップを参照
K45::XTM.vuio[weIntegrationBlinds.addKeyframe]	キーフレームを追加する
K45::XTM.vuio[weIntegrationBlinds.addStep]	ステップの追加
K45::XTM.vuio[weIntegrationBlinds.cancel]	キャンセル
K45::XTM.vuio[weIntegrationBlinds.copyToClipboard]	クリップボードにコピー
K45::XTM.vuio[weIntegrationBlinds.editStep]	編集
K45::XTM.vuio[weIntegrationBlinds.fixedStringShort]	固定テキスト
K45::XTM.vuio[weIntegrationBlinds.framesLblShort]	継続時間 (フレーム)
K45::XTM.vuio[weIntegrationBlinds.framesNumberFmt]	{frames} フレーム中に表示される
K45::XTM.vuio[weIntegrationBlinds.keyframesTitle]	キーフレーム
K45::XTM.vuio[weIntegrationBlinds.pasteFromClipboard]	すべて消去してクリップボードから貼り付けます
K45::XTM.vuio[weIntegrationBlinds.prefixShort]	プレフィックス
K45::XTM.vuio[weIntegrationBlinds.removeStep]	取り除く
K45::XTM.vuio[weIntegrationBlinds.sampleFormat]	静的サンプル: 「{sampleValue}」({sampleType}) - 合計キーフレーム数: {keyframeCount}
K45::XTM.vuio[weIntegrationBlinds.saveStep]	ステップの保存
K45::XTM.vuio[weIntegrationBlinds.staticKeyframeIdx]	静的ブラインドとして使用するキーフレーム
K45::XTM.vuio[weIntegrationBlinds.suffixShort]	サフィックス
K45::XTM.vuio[weIntegrationBlinds.theEndOfLine]	<行末>
K45::XTM.vuio[weIntegrationBlinds.title]	どこでも書き込み - カスタムブラインド
K45::XTM.vuio[weIntegrationBlinds.useUntilStop]	停止するまで使用する
K45::XTM.vuio[weIntegrationBlinds.deleteStep]	ステップの削除
K45::XTM.vuio[weIntegrationBlinds.moveDown]	下に移動
K45::XTM.vuio[weIntegrationBlinds.moveUp]	上に移動
K45::XTM.vuio[weIntegrationBlinds.resetDefaults]	デフォルトにリセットする
K45::XTM.vuio[weIntegrationBlinds.useUntil]	使用期限: {stationName}
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityName]	ステップの目的地ストップ
K45::XTM.vuio[weIntegrationBlinds.keyframeType.EntityNameOrDistrict]	目的地の停留所、地区、または道路
K45::XTM.vuio[weIntegrationBlinds.keyframeType.FixedString]	静的テキスト
K45::XTM.vuio[weIntegrationBlinds.keyframeType.NextStopSimple]	次の停留所
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteName]	路線名
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteNumber]	路線番号
K45::XTM.vuio[lineStationDetail.waiting.cargo]	待機中の貨物保管: {quantity}
K45::XTM.vuio[lineStationDetail.waiting.passengers]	待っている乗客: {quantity}
::GLineListing	ラインリスト
::LUseXtmLineListingDefault	デフォルトで XTM 回線リストを使用する
::DUseXtmLineListingDefault	「有効にすると、トランスポート概要が開き、XTM カードのリストが表示されます。無効にすると、バニラのテーブルが開きます。ヘッダーのトグルは、現在のセッションのスタイルを切り替えます。」
K45::XTM.vuio[lineList.toggleXtmListing]	代替 XTM 回線リスト
K45::XTM.vuio[lineList.showAll]	すべて表示
K45::XTM.vuio[lineList.hideAll]	すべて隠す
K45::XTM.vuio[lineList.passengerLines]	旅客路線
K45::XTM.vuio[lineList.cargoRoutes]	貨物ルート
K45::XTM.vuio[lineList.linesCurrentFilterFormat]	{LINECOUNT} 行
K45::XTM.vuio[lineList.title]	ライン
K45::XTM.vuio[lineList.filterDisabled]	無効
K45::XTM.vuio[lineList.filterDayNight]	昼も夜も
K45::XTM.vuio[lineList.filterDay]	当日のみ
K45::XTM.vuio[lineList.filterNight]	夜のみ
K45::XTM.vuio[lineList.lineDisabled]	回線が無効になっています
K45::XTM.vuio[lineList.sort.title]	行のソート
K45::XTM.vuio[lineList.sort.routeNumber]	行番号
K45::XTM.vuio[lineList.sort.acronym]	行の頭字語
K45::XTM.vuio[lineList.sort.length]	線の長さ
K45::XTM.vuio[lineList.sort.usage]	回線使用率 (%)
K45::XTM.vuio[lineList.sort.cargo]	月あたりの旅客数/貨物数
K45::XTM.vuio[lineList.sort.schedule]	スケジュール状態
K45::XTM.vuio[lineList.openDetails]	詳細
K45::XTM.vuio[lineList.editColor]	線の色を変更する
K45::XTM.vuio[lineList.restorePalette]	パレットの色を復元する
K45::XTM.vuio[lineList.editIdentity]	行の頭字語/番号を編集する
K45::XTM.vuio[lineList.edit.acronym]	行の頭字語
K45::XTM.vuio[lineList.edit.internalNumber]	内部回線番号
K45::XTM.vuio[lineList.noMatchingLines]	一致する行はありません
K45::XTM.vuio[lineList.noLinesInCity]	市内に行列はありません
K45::XTM.vuio[lineStationDetail.crowdness]	{waiting} / {capacity} ({percent})
K45::XTM.vuio[lineViewer.showPlatformCrowdnessLbl]	プラットフォームの混雑状況を表示する
K45::XTM.vuio[lineViewer.occupancyTooltip]	{startHour} から {endHour} までの平均車両乗車率。
K45::XTM.vuio[lineViewer.occupancyHeadingTo]	向かう車両: {to}
K45::XTM.vuio[lineViewer.occupancyDayAverage]	1 日の平均占有率: {value}
K45::XTM.vuio[lineViewer.segmentOccupancyDisplayed]	表示されるセグメント占有率: {mode}
K45::XTM.vuio[lineViewer.segmentOccupancyMenuTitle]	セグメント占有率
K45::XTM.vuio[lineViewer.segmentOccupancyMode.none]	なし
K45::XTM.vuio[lineViewer.segmentOccupancyMode.currentHour]	現在の時間
K45::XTM.vuio[lineViewer.segmentOccupancyMode.dayAverage]	日平均
K45::XTM.vuio[lineViewer.segmentOccupancyMode.00_04]	0時間～4時間
K45::XTM.vuio[lineViewer.segmentOccupancyMode.04_08]	4時間～8時間
K45::XTM.vuio[lineViewer.segmentOccupancyMode.08_12]	8時間～12時間
K45::XTM.vuio[lineViewer.segmentOccupancyMode.12_16]	12時～16時
K45::XTM.vuio[lineViewer.segmentOccupancyMode.16_20]	16時～20時
K45::XTM.vuio[lineViewer.segmentOccupancyMode.20_24]	20時間～24時間
K45::XTM.vuio[lineViewer.occupancyDayAverageTooltip]	1 日を通しての平均車両乗車率。
K45::XTM.vuio[lineViewer.lineHistoricalOccupancy]	歴史的な占有状況
K45::XTM.vuio[occupancyReport.changeMode]	モード変更
K45::XTM.vuio[occupancyReport.mode.listing]	ラインリスト
K45::XTM.vuio[occupancyReport.mode.occupancyPassengers]	占有レポート: 乗客
K45::XTM.vuio[occupancyReport.mode.occupancyCargo]	占有レポート: 貨物
K45::XTM.vuio[occupancyReport.refreshData]	データを更新する
K45::XTM.vuio[occupancyReport.dataAsOf]	{datetime} 時点のデータ
K45::XTM.vuio[occupancyReport.topLinesTitle]	占有率 30 パーセント別のトップライン
K45::XTM.vuio[occupancyReport.topSegmentsTitle]	占有率別の上位セグメント
K45::XTM.vuio[occupancyReport.columnOverall]	全体
K45::XTM.vuio[occupancyReport.noData]	データなし
K45::XTM.vuio[occupancyReport.loading]	読み込み中…
K45::XTM.vuio[occupancyReport.backToOverview]	概要に戻る
K45::XTM.vuio[occupancyReport.topLimited]	トップ {count}
K45::XTM.vuio[fareGroups.mode]	運賃グループ
K45::XTM.vuio[fareGroups.screenTitle]	運賃グループ
K45::XTM.vuio[fareGroups.groupCount]	{count} グループ
K45::XTM.vuio[fareGroups.listTitle]	グループ
K45::XTM.vuio[fareGroups.addGroup]	運賃グループの追加
K45::XTM.vuio[fareGroups.loading]	読み込み中…
K45::XTM.vuio[fareGroups.emptyList]	まだ運賃グループはありません
K45::XTM.vuio[fareGroups.selectGroup]	運賃グループを選択してください
K45::XTM.vuio[fareGroups.unnamed]	名前のないグループ
K45::XTM.vuio[fareGroups.fareFree]	無料
K45::XTM.vuio[fareGroups.lineCount]	{count} 行
K45::XTM.vuio[fareGroups.delete.tooltip]	運賃グループの削除
K45::XTM.vuio[fareGroups.delete.title]	運賃グループの削除
K45::XTM.vuio[fareGroups.delete.message]	「運賃グループ「{name}」を削除してもよろしいですか?」
K45::XTM.vuio[fareGroups.field.name]	名前
K45::XTM.vuio[fareGroups.field.defaultFare]	デフォルト運賃
K45::XTM.vuio[fareGroups.exceptions.title]	時間の例外
K45::XTM.vuio[fareGroups.exceptions.empty]	例外はありません
K45::XTM.vuio[fareGroups.exceptions.startHour]	始める
K45::XTM.vuio[fareGroups.exceptions.endHour]	終わり
K45::XTM.vuio[fareGroups.exceptions.fare]	運賃
K45::XTM.vuio[fareGroups.exceptions.remove]	例外を削除する
K45::XTM.vuio[fareGroups.exceptions.add]	例外を追加
K45::XTM.vuio[fareGroups.exceptions.errorMax]	最大 {count} 個の例外
K45::XTM.vuio[fareGroups.exceptions.errorOverlap]	例外時間は重複してはなりません
K45::XTM.vuio[fareGroups.exceptions.errorInvalid]	無効な時間範囲です
K45::XTM.vuio[fareGroups.exceptions.saveBlocked]	変更を保存できるようになるまでの例外時間を修正
K45::XTM.vuio[fareGroups.linkedLines]	このグループの行
K45::XTM.vuio[fareGroups.linkedEmpty]	線がリンクされていません
K45::XTM.vuio[fareGroups.availableLines]	このグループにリンクできる回線
K45::XTM.vuio[fareGroups.availableEmpty]	一致する行はありません
K45::XTM.vuio[fareGroups.removeLine]	グループから行を削除する
K45::XTM.vuio[fareGroups.addLine]	グループに行を追加
K45::XTM.vuio[fareGroups.otherGroup.unknown]	別のグループ
K45::XTM.vuio[fareGroups.otherGroup.warning]	{group}に所属しています。ここに追加すると、そのグループから削除されます。
K45::XTM.vuio[fareGroups.exceptions.summary]	運賃 {fare}¢ は、{start}:00 から {end}:59 まで適用されます
K45::XTM.vuio[fareGroups.exceptions.summaryFree]	無料旅行は {start}:00 から {end}:59 まで適用されます
K45::XTM.vuio[fareGroups.filterAssigned]	すでにグループに割り当てられている回線
K45::XTM.vuio[fareGroups.addAllFiltered]	フィルタリングされたすべての行をこのグループに追加します
K45::XTM.vuio[fareGroups.removeAllLines]	このグループからすべての行を削除します
K45::XTM.vuio[fareGroups.ticketPrice.managedBy]	この路線は運賃グループ {name} に属しています。現在の運賃: <{fare}>。\nこの運賃を変更すると、<{count}> 行に影響します。
K45::XTM.vuio[fareGroups.ticketPrice.editGroup]	運賃グループを編集する
K45::XTM.vuio[fareGroups.ticketPrice.andOthers]	...他にも {count} 件あります
K45::XTM.vuio[vehicleModelGroups.unnamed]	無名の車両モデルグループ
K45::XTM.vuio[vehicleModelGroups.sort.title]	車両を分類する
K45::XTM.vuio[vehicleModelGroups.sort.name]	名前
K45::XTM.vuio[vehicleModelGroups.sort.capacity]	容量
K45::XTM.vuio[vehicleModelGroups.sort.length]	全長
K45::XTM.vuio[vehicleModelGroups.mode]	車両モデルグループ
K45::XTM.vuio[vehicleModelGroups.screenTitle]	車両モデルグループ
K45::XTM.vuio[vehicleModelGroups.groupCount]	{count} グループ
K45::XTM.vuio[vehicleModelGroups.listTitle]	グループ
K45::XTM.vuio[vehicleModelGroups.addGroup]	車種グループを追加
K45::XTM.vuio[vehicleModelGroups.loading]	読み込み中…
K45::XTM.vuio[vehicleModelGroups.typeMenu.empty]	トランスポートタイプなし
K45::XTM.vuio[vehicleModelGroups.typeMenuTitle]	編集するトランスポート タイプを選択します
K45::XTM.vuio[vehicleModelGroups.emptyList]	このタイプの車両モデル グループはまだありません
K45::XTM.vuio[vehicleModelGroups.selectGroup]	車種グループを選択してください
K45::XTM.vuio[vehicleModelGroups.modelCount]	{count} 個のモデル
K45::XTM.vuio[vehicleModelGroups.lineCount]	{count} 行
K45::XTM.vuio[vehicleModelGroups.delete.tooltip]	車種グループの削除
K45::XTM.vuio[vehicleModelGroups.delete.title]	車種グループの削除
K45::XTM.vuio[vehicleModelGroups.delete.message]	「車両モデル グループ ""{name}"" を削除してもよろしいですか?」
K45::XTM.vuio[vehicleModelGroups.field.name]	名前
K45::XTM.vuio[vehicleModelGroups.modelsRequired]	変更を保存する前に、車両を含むコンポジションを少なくとも 1 つ追加してください
K45::XTM.vuio[vehicleModelGroups.compositions]	組成物
K45::XTM.vuio[vehicleModelGroups.compositionsEmpty]	まだ構成がありません — 車両を選択するために構成を追加してください
K45::XTM.vuio[vehicleModelGroups.addComposition]	コンポジションを追加する
K45::XTM.vuio[vehicleModelGroups.removeComposition]	コンポジションを削除する
K45::XTM.vuio[vehicleModelGroups.pickVehicle]	車両を選択してください
K45::XTM.vuio[vehicleModelGroups.pickPrimary]	エンジン/プライマリを選択
K45::XTM.vuio[vehicleModelGroups.pickCarriage]	ピックキャリッジ
K45::XTM.vuio[vehicleModelGroups.linkedLines]	このグループの行
K45::XTM.vuio[vehicleModelGroups.linkedEmpty]	線がリンクされていません
K45::XTM.vuio[vehicleModelGroups.availableLines]	このグループにリンクできる回線
K45::XTM.vuio[vehicleModelGroups.availableEmpty]	一致する行はありません
K45::XTM.vuio[vehicleModelGroups.filterAssigned]	すでにグループに割り当てられている回線
K45::XTM.vuio[vehicleModelGroups.addAllFiltered]	フィルタリングされたすべての行をこのグループに追加します
K45::XTM.vuio[vehicleModelGroups.addLine]	グループに行を追加
K45::XTM.vuio[vehicleModelGroups.removeLine]	グループから行を削除する
K45::XTM.vuio[vehicleModelGroups.removeAllLines]	このグループからすべての行を削除します
K45::XTM.vuio[vehicleModelGroups.otherGroup.unknown]	別のグループ
K45::XTM.vuio[vehicleModelGroups.otherGroup.warning]	{group}に所属しています。ここに追加すると、そのグループから削除されます。
K45::XTM.vuio[vehicleModelGroups.carriage]	キャリッジ
K45::XTM.vuio[vehicleModelGroups.stat.cap]	キャップ
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltip]	乗客定員
K45::XTM.vuio[vehicleModelGroups.stat.cap.tooltipCargo]	貨物積載量
K45::XTM.vuio[vehicleModelGroups.stat.units]	単位
K45::XTM.vuio[vehicleModelGroups.stat.units.tooltip]	構成単位数
K45::XTM.vuio[vehicleModelGroups.stat.len.unit]	ウレン
K45::XTM.vuio[vehicleModelGroups.stat.len.unit.tooltip]	車両単体の長さ
K45::XTM.vuio[vehicleModelGroups.stat.len]	レン
K45::XTM.vuio[vehicleModelGroups.stat.len.tooltip]	車両全長
K45::XTM.vuio[vehicleModelGroups.stat.len.paired.tooltip]	総構成長: \n ユニット × (エンジン + 貨車 × (車両 − 1))
K45::XTM.vuio[vehicleModelGroups.stat.unit.pax]	パックス
K45::XTM.vuio[vehicleModelGroups.stat.unit.cars]	車
K45::XTM.vuio[vehicleModelGroups.stat.unit.meters]	メートル
K45::XTM.vuio[vehicleModelGroups.selectVehicles.managedBy]	この行は車両モデル グループ <{name}> に属しています。\nこれらのモデルを変更すると、<{count}> 行に影響します。
K45::XTM.vuio[vehicleModelGroups.selectVehicles.editGroup]	車両モデルグループの編集
K45::XTM.vuio[vehicleModelGroups.selectVehicles.removeFromGroup]	グループから削除
K45::XTM.vuio[vehicleModelGroups.selectVehicles.moveToGroup]	別のグループに移動する
K45::XTM.vuio[vehicleModelGroups.selectVehicles.andOthers]	...他にも {count} 件あります
K45::XTM.vuio[fareGroups.ticketPrice.removeFromGroup]	グループから削除
K45::XTM.vuio[fareGroups.ticketPrice.moveToGroup]	別のグループに移動する
K45::XTM.vuio[fareGroups.fareTable.title]	運賃表
K45::XTM.vuio[fareGroups.fareTable.default]	デフォルト
K45::XTM.vuio[fareGroups.fareTable.hours]	{start}:00 - {end}:59
K45::XTM.vuio[managedGroups.sip.menuTooltip]	グループオプション
K45::XTM.vuio[managedGroups.sip.noGroupsAvailable]	<利用可能なグループはありません>
K45::XTM.vuio[managedGroups.sip.assignFareTitle]	運賃グループに割り当てる
K45::XTM.vuio[managedGroups.sip.assignModelsTitle]	車種グループに割り当てる
K45::XTM.vuio[managedGroups.sip.manageFareGroups]	運賃グループの管理
K45::XTM.vuio[managedGroups.sip.manageModelGroups]	車両モデルグループの管理
K45::XTM.vuio[lineViewerEditor.internalNumber]	内部ルート番号
K45::XTM.vuio[lineViewerEditor.internalNumber.tooltip]	パレットと名前付けで使用されます
K45::XTM.vuio[lineViewerEditor.displayIdentifier]	ルート識別子
K45::XTM.vuio[lineViewerEditor.displayIdentifier.tooltip]	名前とシールドが生成されるときにルート番号を上書きします
K45::XTM.vuio[lineViewerEditor.ignorePalette]	固定色を使用する
K45::XTM.vuio[lineViewerEditor.ignorePalette.tooltip]	この行に対するパレットの設定を無視します
K45::XTM.vuio[lineList.editName]	行名を編集する
K45::XTM.vuio[lineViewer.advancedData]	高度な統計
K45::XTM.vuio[palettes.section.passengers]	乗客
K45::XTM.vuio[palettes.section.cargo]	貨物
K45::XTM.vuio[palettes.paletteCount]	{count} パレット
K45::XTM.vuio[paletteEditor.import.invalidFile]	有効なパレット ファイルではありません
::GEditor	エディタ
::LShowEditorPalettesButton	エディターにパレット ボタンを表示
::DShowEditorPalettesButton	「有効にすると、パレット ライブラリを開くための XTM ボタンがエディター ツールバーに追加されます。次回エディター モードに入ったときに有効になります。」
Editor.TOOL[k45__xtm_MainWindow]	XTM: パレット設定
K45::XTM.vuio[paletteEditor.appendPalette]	パレットの追加
K45::XTM.vuio[paletteEditor.append.title]	パレットの追加
K45::XTM.vuio[paletteEditor.append.prompt]	追加する .hex ファイルを選択します。その色は現在のパレットの最後に追加されます
K45::XTM.vuio[paletteEditor.copyPalette]	コピーパレット
K45::XTM.vuio[paletteEditor.pasteAppendPalette]	パレットの貼り付け（追加）
K45::XTM.vuio[paletteEditor.resetChanges]	変更をリセットする
K45::XTM.vuio[paletteEditor.clipboard.invalid]	クリップボードに有効な .hex パレットが含まれていません
K45::XTM.vuio[paletteEditor.clipboard.copyFailed]	クリップボードにコピーできませんでした
K45::XTM.vuio[paletteEditor.clipboard.pasteFailed]	クリップボードを読み取れませんでした
K45::XTM.vuio[paletteEditor.clipboard.copied]	パレットをコピーしました
K45::XTM.vuio[paletteEditor.reset.title]	変更をリセットする
K45::XTM.vuio[paletteEditor.reset.message]	このパレットへの未保存の変更を破棄しますか?これを元に戻すことはできません。
K45::XTM.vuio[glossary.toggleXtm]	XTM用語集
K45::XTM.vuio[glossary.title]	XTM エンサイクロペディア
K45::XTM.vuio[glossary.tab.overview]	XTM の概要
K45::XTM.vuio[glossary.index.title]	拡張トランスポートマネージャー
K45::XTM.vuio[glossary.index.intro]	「XTM は、Cities: Skylines II の公共交通機関を、より豊富な路線管理、占有率に関する洞察、運賃グループ、車両モデル グループ、およびパレットで拡張します。この用語集はこれらのツールを文書化します。MOD が追加する内容の概要については、ここから始めてください。」
K45::XTM.vuio[glossary.index.sectionsHeading]	今後のドキュメント
K45::XTM.vuio[glossary.index.bodyHeading]	いらっしゃいませ
K45::XTM.vuio[glossary.index.body]	このパネルの右側にある XTM ボタンを使用して、ゲーム エンサイクロペディアと XTM 独自のヘルプを切り替えます。詳細なセクションは、作成されると左側のリストに表示されます。
K45::XTM.vuio[glossary.index.placeholderNote]	セクションのエントリは現時点ではプレースホルダーです。コンテンツは後の更新で続きます。
K45::XTM.vuio[glossary.index.placeholder.overview]	MODの概要
K45::XTM.vuio[glossary.index.placeholder.lines]	ラインと概要リスト
K45::XTM.vuio[glossary.index.placeholder.fares]	運賃と航空券の価格
K45::XTM.vuio[glossary.index.placeholder.vehicles]	車種グループ
K45::XTM.vuio[glossary.index.placeholder.palettes]	線のカラーパレット
K45::XTM.vuio[glossary.search.placeholder]	検索…
K45::XTM.vuio[glossary.packFilter]	パック
K45::XTM.vuio[glossary.packFilter.all]	すべてのパック
K45::XTM.vuio[glossary.tableOfContents]	目次
K45::XTM.vuio[glossary.tab.all]	全て
K45::XTM.vuio[glossary.tab.start]	ここから始めましょう
K45::XTM.vuio[glossary.tab.lines]	路線と路線
K45::XTM.vuio[glossary.tab.map]	地図とネットワーク
K45::XTM.vuio[glossary.tab.statistics]	統計
K45::XTM.vuio[glossary.tab.groups]	運賃と車種
K45::XTM.vuio[glossary.tab.appearance]	パレットと統合
K45::XTM.vuio[glossary.category.start.overview]	概要
K45::XTM.vuio[glossary.category.start.gettingAround]	移動手段
K45::XTM.vuio[glossary.category.start.settings]	設定とサポート
K45::XTM.vuio[glossary.category.lines.listing]	リストとフィルター
K45::XTM.vuio[glossary.category.lines.identity]	アイデンティティと外観
K45::XTM.vuio[glossary.category.lines.scheduling]	スケジュールとアクション
K45::XTM.vuio[glossary.category.lines.stopOrder]	逆指値注文
K45::XTM.vuio[glossary.category.map.linear]	XTM 線形マップ
K45::XTM.vuio[glossary.category.map.stops]	停留所と地理
K45::XTM.vuio[glossary.category.map.interchanges]	インターチェンジ
K45::XTM.vuio[glossary.category.map.vehicles]	乗り物
K45::XTM.vuio[glossary.category.map.advanced]	高度なラインデータ
K45::XTM.vuio[glossary.category.statistics.occupancy]	占有率と混雑状況
K45::XTM.vuio[glossary.category.groups.fareBasics]	運賃グループ
K45::XTM.vuio[glossary.category.groups.fareTime]	時間制運賃
K45::XTM.vuio[glossary.category.groups.fareMembership]	運賃会員権
K45::XTM.vuio[glossary.category.groups.modelBasics]	モデルグループの基本
K45::XTM.vuio[glossary.category.groups.compositions]	組成物
K45::XTM.vuio[glossary.category.groups.modelMembership]	モデルメンバーシップ
K45::XTM.vuio[glossary.category.groups.incompatibilities]	非互換性
K45::XTM.vuio[glossary.category.appearance.library]	パレットライブラリ
K45::XTM.vuio[glossary.category.appearance.editing]	パレット編集
K45::XTM.vuio[glossary.category.appearance.autoColor]	自動着色
K45::XTM.vuio[glossary.category.appearance.we]	どこでも書く
K45::XTM.vuio[glossary.section.start.overview.whatAdds]	XTM が追加するもの
K45::XTM.vuio[glossary.section.start.overview.mainScreens]	メイン画面と XTM トグル
K45::XTM.vuio[glossary.section.start.overview.linesVsCargo]	旅客路線と貨物路線
K45::XTM.vuio[glossary.section.start.gettingAround.overview]	交通概要
K45::XTM.vuio[glossary.section.start.gettingAround.sip]	選択された情報パネル
K45::XTM.vuio[glossary.section.start.gettingAround.linearMap]	線形マップ
K45::XTM.vuio[glossary.section.start.gettingAround.editorPalettes]	エディタパレットツール
K45::XTM.vuio[glossary.section.start.settings.uiDefaults]	UIのデフォルト
K45::XTM.vuio[glossary.section.start.settings.logging]	ロギングと診断
K45::XTM.vuio[glossary.section.start.settings.localization]	ローカリゼーション
K45::XTM.vuio[glossary.section.start.settings.support]	サポートリンク
K45::XTM.vuio[glossary.section.lines.listing.modes]	輸送モード
K45::XTM.vuio[glossary.section.lines.listing.passengerCargo]	乗客および貨物フィルター
K45::XTM.vuio[glossary.section.lines.listing.serviceState]	サービス状態フィルター
K45::XTM.vuio[glossary.section.lines.listing.sorting]	仕分け
K45::XTM.vuio[glossary.section.lines.listing.cards]	ラインカードの読み取り
K45::XTM.vuio[glossary.section.lines.identity.name]	路線名
K45::XTM.vuio[glossary.section.lines.identity.routeNumber]	内部ルート番号
K45::XTM.vuio[glossary.section.lines.identity.displayId]	表示識別子
K45::XTM.vuio[glossary.section.lines.identity.shields]	盾の形状とバッジ
K45::XTM.vuio[glossary.section.lines.identity.color]	固定カラーとパレットカラー
K45::XTM.vuio[glossary.section.lines.scheduling.dayNight]	昼も夜も
K45::XTM.vuio[glossary.section.lines.scheduling.dayOnly]	当日のみ
K45::XTM.vuio[glossary.section.lines.scheduling.nightOnly]	夜のみ
K45::XTM.vuio[glossary.section.lines.scheduling.disabled]	無効
